SYMBOL	n_observations	min_adj_p	max_logfc	mean_logfc	sd_logfc	n_datasets
NECAP2	4	0.0012531981169542	0.233234027777778	-0.0711930328691328	0.202179907224621	3
PMFBP1	4	0.0012533638141057	1.07470111111111	0.36480464535184	0.513720269816426	3
HYI	4	0.00125424171180793	0.285435424277301	-0.0687607931667671	0.144532733565043	3
EFCAB7	4	0.0012544018637375	0.196843333333333	0.00151979134965015	0.143662679600497	3
SPEF1	5	0.00125614578175346	393.75	-78.7992532166081	176.062893841303	4
STC1	5	0.0012575122244832	0.730034861111115	0.097997859515398	0.423731109653325	4
OTTHUMG00000020645	2	0.001258488000682	0.198997222222222	0.110497430555556	0.125157605642192	1
AFG3L2	5	0.00125875046227465	1.136997426625	0.214028863205922	0.521604090472386	4
FLNA	4	0.00125915424966	0.500895	-0.17060384026976	0.361665024430239	3
LDOC1	4	0.0012600956306454	0.799008888888888	0.418500960236395	0.423352681879378	3
OTTHUMG00000155092	2	0.0012601549010133	0.327241666666667	0.167974930555556	0.22523717824323	1
PTK7	6	0.0012606741001307	0.258053472222223	-0.0825354016327233	0.108516173277966	4
SNAP91	5	0.0012627477091495	0.530771944444444	0.174077333357401	0.251719572370741	4
OTTHUMG00000086614	2	0.0012640187470444	0.446137222222221	-0.371256944444444	0.105896704387598	1
ST6GALNAC5	4	0.0012645014741049	0.34577	-0.0178521921333657	0.251527293123619	3
OTTHUMG00000152350	2	0.0012647866038892	0.54046263888889	-0.349976041666668	0.269388729241968	1
C16ORF13	2	0.0012658083233553	0.197738333333333	0.0936307638888879	0.147230336654033	1
MFN2	5	0.00126742937114987	0.135447027557295	-0.0240708482672075	0.103195435771195	4
NDFIP2	4	0.00126808378837097	0.251284282440508	0.147775069890622	0.0896298367978249	3
OTTHUMG00000016713	2	0.0012683698064947	0.362680555555558	0.228666805555558	0.189524062794478	1
OTTHUMG00000018169	2	0.0012690394887498	0.294997916666667	0.181060347222222	0.16113205597216	1
DYNC2I1	1	0.00127253924974913	0.054428880450522	0.054428880450522		1
KRTAP20	11	0.00127280624368999	0.168526111111114	-0.000652206463816704	0.0825449563609505	2
OTTHUMG00000066049	2	0.0012737138483398	0.166326666666668	0.161196388888891	0.00725530841207355	1
SSTR1	6	0.0012746011120629	0.604334280333334	0.191849418125531	0.223571211451287	4
CACNG4	4	0.0012757469305788	0.628957916666664	0.0821327344375235	0.370122380156859	3
DGCR6	5	0.00127603154717682	0.197255749248532	0.00108253806371132	0.123011840051631	4
ZNF663	2	0.0012772915717623	0.241705000000001	-0.11453888888889	0.179840039007577	1
CDC27	5	0.00127880270745388	0.132726532833332	0.0358231470647871	0.0918864399983624	4
ZNF304	4	0.0012795067251363	0.133199027777778	-0.0398484610199051	0.067760476161322	3
OTTHUMG00000150549	2	0.0012795067251363	0.216028333333333	0.188164722222223	0.0394050967300221	1
MARCH5	3	0.00127997970972622	0.278263333333332	-0.0912364693708007	0.219996805713559	2
KCNIP2-AS1	3	0.0012800516514077	0.244611666666667	0.12276614212884	0.169638924590516	1
PCDHB18	2	0.0012800516514077	0.84537375	0.285213541666666	0.792186163726739	1
DTD1	4	0.0012804871610699	0.36157	-0.062225782102843	0.228958029951859	3
SLC4A2	5	0.00128049797913426	0.132726532833332	-0.0151416197156194	0.101035002957775	4
LBH	7	0.00128074060559923	0.20910611111111	0.0035903894969135	0.100953372172078	3
OTTHUMG00000164088	2	0.0012832920689287	0.236838888888887	-0.165079027777776	0.101483768817342	1
KANSL1-AS1	9	0.0012837696187679	0.303166666666665	-0.167519184356333	0.10435614775611	2
ANO2	4	0.0012881662918376	0.44467638888889	-0.201035723192236	0.272093708884839	3
COG7	4	0.0012885299846371	0.286850277777777	-0.0438381598566796	0.215740998335265	3
PCOLCE-AS1	3	0.0012893872419982	0.278567849045182	-0.0389142830150607	0.210633895936155	2
CFAP298	3	0.00129035626591381	0.0700511194921205	-0.0225714524520247	0.0427207004376418	1
ZNF813	3	0.0012906945569892	0.222290555555555	-0.0899198179695923	0.139688250358367	2
OCLM	3	0.0012907582880334	0.431740555555556	0.190109901444923	0.209562124496249	2
ZNF165	5	0.00129102331797558	0.868107908333334	0.156884196395507	0.403142051100467	4
PGLYRP3	4	0.00129148157746789	0.0556300000000003	-0.000141971626285351	0.0395742994166702	2
TFPI2	4	0.0012915344178794	1.42208333333333	0.671899569581826	0.609220129689057	3
DQX1	4	0.0012922360750878	0.274252507907213	0.0014662609879872	0.192560495409197	3
HSD17B8	75	0.00129224529486603	0.391820512458334	0.0163863198281745	0.0507300000123999	4
ARHGAP42	4	0.00129288734283128	0.454086250000002	-0.107622098930454	0.242924353029139	3
GFRA4	4	0.00129311388376157	0.146138917577358	-0.0255844310943201	0.0888959137851702	2
LOC441455	3	0.0012945540614347	0.217103333333333	0.0725628678971713	0.128629592674579	2
PPP3R2	5	0.0012952096342065	0.295227675958333	-0.00630746689994355	0.18414029708631	4
UGT1A1	3	0.0012982837093216	0.133904722222223	0.0708445464962956	0.0710484907648564	1
CEBPE	4	0.00129834022986671	0.501387429625001	-0.158589688087266	0.233083873143946	3
