"probeid","logfc","aveexpr","t","p.value","adj.p.val","b","entrezgene_id","hgnc_symbol","gene_display","logFC","P.Value","adj.P.Val","GeneSymbol","GeneSymbol_clean","Dataset"
"ILMN_2054019",0.32727423324843,8.4206882958135,3.55201005943828,0.00043091373683422,0.00817694451002848,-0.601437555651341,9636,"ISG15","ISG15",0.32727423324843,0.00043091373683422,0.00817694451002848,"ISG15","ISG15","GSE112680"
"ILMN_2357419",0.394130009596147,8.92636623203711,7.23119896104565,2.70242949371398e-12,2.0153367949372e-09,17.4464119018019,353514,"LILRA5","LILRA5",0.394130009596147,2.70242949371398e-12,2.0153367949372e-09,"LILRA5","LILRA5","GSE112680"
"ILMN_1678170",0.356592133615855,10.0734884434176,6.23595974693067,1.2087766424421e-09,2.81705735107524e-07,11.5463686398032,4311,"MME","MME",0.356592133615855,1.2087766424421e-09,2.81705735107524e-07,"MME","MME","GSE112680"
"ILMN_1796316",0.369576940388349,10.2524405266396,3.98286741709809,8.17686645794264e-05,0.00219546288425229,0.944183634611981,4318,"MMP9","MMP9",0.369576940388349,8.17686645794264e-05,0.00219546288425229,"MMP9","MMP9","GSE112680"
"ILMN_2326071",0.418069339876919,12.2023423915833,8.19693552161284,3.93163221315503e-15,1.30311765464905e-11,23.788875216006,4637,"MYL6","MYL6",0.418069339876919,3.93163221315503e-15,1.30311765464905e-11,"MYL6","MYL6","GSE112680"
"ILMN_2369580",-0.31724175445841,9.07470058292001,-4.65189403443241,4.56389714674438e-06,0.000214395357302968,3.66265843558701,8131,"NPRL3","NPRL3",-0.31724175445841,4.56389714674438e-06,0.000214395357302968,"NPRL3","NPRL3","GSE112680"
"ILMN_1814998",-0.351705109943733,10.762520524266,-4.33140007813584,1.90350648810362e-05,0.00068576809831076,2.31286925944235,440915,"POTEKP","POTEKP",-0.351705109943733,1.90350648810362e-05,0.00068576809831076,"POTEKP","POTEKP","GSE112680"
"ILMN_1796962",-0.359935103887922,8.53838628094437,-7.45105433682188,6.42400113577117e-13,5.47508439657298e-10,18.8393330625501,5534,"PPP3R1","PPP3R1",-0.359935103887922,6.42400113577117e-13,5.47508439657298e-10,"PPP3R1","PPP3R1","GSE112680"
"ILMN_2101278",0.305268707579717,7.91042950288354,4.24929206545504,2.70770384026303e-05,0.000918894261149558,1.98103990428303,64407,"RGS18","RGS18",0.305268707579717,2.70770384026303e-05,0.000918894261149558,"RGS18","RGS18","GSE112680"
"ILMN_1780533",0.309075668070152,8.44452794854368,6.33708450501857,6.70690872832486e-10,1.89618310838492e-07,12.114314583066,6039,"RNASE6","RNASE6",0.309075668070152,6.70690872832486e-10,1.89618310838492e-07,"RNASE6","RNASE6","GSE112680"
"ILMN_1656807",0.494754656116067,10.8549304144189,6.95222802709942,1.59941003071634e-11,9.33532489665206e-09,15.7243788295932,6155,"RPL27","RPL27",0.494754656116067,1.59941003071634e-11,9.33532489665206e-09,"RPL27","RPL27","GSE112680"
"ILMN_2319994",0.316119511758307,11.6097108255599,6.5795215429482,1.58675633578172e-10,5.70276403570709e-08,13.5056343754236,6122,"RPL3","RPL3",0.316119511758307,1.58675633578172e-10,5.70276403570709e-08,"RPL3","RPL3","GSE112680"
"ILMN_1769277",0.595734401606968,9.27691932935579,5.95816757672151,5.87140813523889e-09,9.570716102414e-07,10.0245533498933,6133,"RPL9","RPL9",0.595734401606968,5.87140813523889e-09,9.570716102414e-07,"RPL9","RPL9","GSE112680"
"ILMN_2255310",0.518496864059966,8.55736815232157,7.75257004855739,8.52515456610809e-14,1.31468098666119e-10,20.7993660311894,6210,"RPS15A","RPS15A",0.518496864059966,8.52515456610809e-14,1.31468098666119e-10,"RPS15A","RPS15A","GSE112680"
"ILMN_2175465",0.304823109994147,7.29699558868377,4.52473543280612,8.12343560057488e-06,0.000344207505632313,3.11679225447325,51187,"RSL24D1","RSL24D1",0.304823109994147,8.12343560057488e-06,0.000344207505632313,"RSL24D1","RSL24D1","GSE112680"
"ILMN_1729801",0.433086926266487,11.9320296251213,5.17255878112517,3.7641228044993e-07,2.83544907217713e-05,6.03651931280014,6279,"S100A8","S100A8",0.433086926266487,3.7641228044993e-07,2.83544907217713e-05,"S100A8","S100A8","GSE112680"
"ILMN_1801216",0.499964009910467,8.68133710030158,5.34265642331963,1.59099034590256e-07,1.43815884903859e-05,6.85935424223256,6286,"S100P","S100P",0.499964009910467,1.59099034590256e-07,1.43815884903859e-05,"S100P","S100P","GSE112680"
"ILMN_1766165",-0.36932035091686,9.98055669010708,-3.97913768270258,8.30089526552439e-05,0.00222076866161966,0.930104428146463,6622,"SNCA","SNCA",-0.36932035091686,8.30089526552439e-05,0.00222076866161966,"SNCA","SNCA","GSE112680"
"ILMN_1719224",0.337450708949071,9.97170815411561,5.67209306498594,2.81865056491517e-08,3.47439447733138e-06,8.51739651752908,125144,"SNHG29","SNHG29",0.337450708949071,2.81865056491517e-08,3.47439447733138e-06,"SNHG29","SNHG29","GSE112680"
"ILMN_2369785",0.310410305053761,10.0050319319229,4.79528522236005,2.34530796348942e-06,0.000125570099649783,4.2943196974179,6633,"SNRPD2","SNRPD2",0.310410305053761,2.34530796348942e-06,0.000125570099649783,"SNRPD2","SNRPD2","GSE112680"
"ILMN_1788095",-0.348716361401522,11.3266177138617,-3.78890011422234,0.000176162107416588,0.00407990346602236,0.228108381562331,84926,"SPRYD3","SPRYD3",-0.348716361401522,0.000176162107416588,0.00407990346602236,"SPRYD3","SPRYD3","GSE112680"
"ILMN_1760347",0.419543871243901,12.3522294213239,6.64692412153002,1.05517113256664e-10,4.14154669532407e-08,13.8997992053662,5552,"SRGN","SRGN",0.419543871243901,1.05517113256664e-10,4.14154669532407e-08,"SRGN","SRGN","GSE112680"
"ILMN_2374770",0.34237188394429,8.27060724854924,6.86184547674196,2.81425268376303e-11,1.42286707723138e-08,15.1776055192299,8887,"TAX1BP1","TAX1BP1",0.34237188394429,2.81425268376303e-11,1.42286707723138e-08,"TAX1BP1","TAX1BP1","GSE112680"
"ILMN_1792455",-0.303981804826666,8.10473073343913,-4.16993766509517,3.78642126690644e-05,0.00119160750819333,1.66581676832666,25907,"TMEM158","TMEM158",-0.303981804826666,3.78642126690644e-05,0.00119160750819333,"TMEM158","TMEM158","GSE112680"
"ILMN_1674402",0.333451420485559,9.25019366610287,5.99573603267363,4.75697915825078e-09,8.10861075946405e-07,10.227038476772,137835,"TMEM71","TMEM71",0.333451420485559,4.75697915825078e-09,8.10861075946405e-07,"TMEM71","TMEM71","GSE112680"
"ILMN_1785732",0.408870702085144,8.40571932431271,5.83934608109537,1.1347649712786e-08,1.64320578122527e-06,9.3910651913699,7130,"TNFAIP6","TNFAIP6",0.408870702085144,1.1347649712786e-08,1.64320578122527e-06,"TNFAIP6","TNFAIP6","GSE112680"
"ILMN_1801307",0.403928883891076,9.42501817695742,7.65132032842491,1.69025703509518e-13,2.10084863987038e-10,20.1348725775985,8743,"TNFSF10","TNFSF10",0.403928883891076,1.69025703509518e-13,2.10084863987038e-10,"TNFSF10","TNFSF10","GSE112680"
"ILMN_1758418",0.338228866525135,10.0840176584409,6.30775133376351,7.96256052114772e-10,2.15930163950761e-07,11.9488126133548,10673,"TNFSF13B","TNFSF13B",0.338228866525135,7.96256052114772e-10,2.15930163950761e-07,"TNFSF13B","TNFSF13B","GSE112680"
"ILMN_1789614",0.426543119869017,9.93069856936998,5.62356418674986,3.65592152356292e-08,4.24342953493704e-06,8.2678856624519,7178,"TPT1","TPT1",0.426543119869017,3.65592152356292e-08,4.24342953493704e-06,"TPT1","TPT1","GSE112680"
"ILMN_1678939",0.469936133601838,11.0357143328661,7.55758270118284,3.16745167054098e-13,3.14950277774124e-10,19.5253434227618,8875,"VNN2","VNN2",0.469936133601838,3.16745167054098e-13,3.14950277774124e-10,"VNN2","VNN2","GSE112680"
"ILMN_2087303",0.301605793710852,8.719817298051,7.07493843684376,7.36234981771971e-12,4.87517812814657e-09,16.4754978261849,55113,"XKR8","XKR8",0.301605793710852,7.36234981771971e-12,4.87517812814657e-09,"XKR8","XKR8","GSE112680"
"ILMN_1711069",0.333142175321148,8.52523401685135,5.92215122809389,7.1772295498823e-09,1.12092543179575e-06,9.83141975302317,51646,"YPEL5","YPEL5",0.333142175321148,7.1772295498823e-09,1.12092543179575e-06,"YPEL5","YPEL5","GSE112680"
"ILMN_1668270",0.307996017549634,9.48395869277228,6.75136809907954,5.57309586188828e-11,2.34148520507222e-08,14.5168044228764,84243,"ZDHHC18","ZDHHC18",0.307996017549634,5.57309586188828e-11,2.34148520507222e-08,"ZDHHC18","ZDHHC18","GSE112680"
