Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
GFAP,-0.17767458139085202,0.286829347484783,0.6,0.958,0.777674581390852,ambiguous
ENO2,-0.6333376044532635,0.816585392727576,0.014,0.985,0.6473376044532635,ambiguous
PRDX3,1.3537457027229445,0.822136144276097,0.549,0.975,-0.8047457027229444,concordant_up
GNAQ,-1.4381058549572538,0.417067560815029,-0.313,0.942,1.125105854957254,ambiguous
SCP2,1.2781404821558466,0.822136144276097,-0.882,0.956,-2.1601404821558465,discordant_HIGH
CTNND2,0.5204459319210675,0.298001192210937,0.493,0.925,-0.02744593192106748,ambiguous
EIF3E,-0.164350299929458,0.300488064247222,-0.314,0.975,-0.149649700070542,ambiguous
RPS27A,-0.14774215706196897,0.300488064247222,0.387,0.939,0.534742157061969,ambiguous
EIF2S1,0.5371884018024569,0.950649076432901,-1.35,0.911,-1.887188401802457,discordant_HIGH
AKT3,1.4553736130062813,0.822136144276097,-0.238,0.978,-1.6933736130062813,ambiguous
CSE1L,-0.5216771797236694,0.822136144276097,-0.693,0.313,-0.1713228202763305,concordant_down
RPL14,0.6872892614443885,0.327973984303357,0.127,0.983,-0.5602892614443885,ambiguous
HNRNPA2B1,-0.394792075400705,0.327973984303357,0.286,0.962,0.680792075400705,ambiguous
HIP1,1.6274660796265925,0.639489104960224,-0.377,0.98,-2.0044660796265923,ambiguous
ALDH1A1,0.824014730459999,0.338380654530771,0.558,0.957,-0.2660147304599989,concordant_up
FLNB,-0.07700406925770747,0.338804249979426,1.09,0.905,1.1670040692577075,ambiguous
MAOB,0.8083933364323941,0.338804249979426,1.31,0.262,0.501606663567606,concordant_up
EIF3A,-0.47352430892902986,0.822136144276097,-0.293,0.973,0.18052430892902988,ambiguous
GSTP1,0.9798218844606066,0.364902445731945,0.458,0.969,-0.5218218844606066,ambiguous
DLG4,-0.7581693880798969,0.992592373133688,-0.874,0.911,-0.11583061192010313,concordant_down
FUBP3,-0.257460202380116,0.682981944404063,0.798,0.901,1.055460202380116,ambiguous
DYNLL1,-0.36979674935863777,0.98629696196134,-0.00667,0.985,0.36312674935863776,ambiguous
EXOC5,-0.947714927823705,0.452194004635257,-0.529,0.971,0.418714927823705,concordant_down
EIF4G2,-0.4486104629052888,0.822136144276097,0.134,0.981,0.5826104629052888,ambiguous
AP3B2,-1.427689273056535,0.432499743618821,-1.26,0.448,0.16768927305653492,concordant_down
FKBP4,-0.39041473831762885,0.705547414011014,-0.459,0.973,-0.06858526168237117,ambiguous
PIK3R4,1.1388004030687584,0.822136144276097,-0.582,0.952,-1.7208004030687585,discordant_HIGH
SLC25A11,1.5513994222895486,0.822136144276097,-0.0576,0.983,-1.6089994222895487,ambiguous
PEBP1,-0.35185070834839904,0.353730835837479,0.409,0.961,0.7608507083483991,ambiguous
PRDX1,-0.31110755308272425,0.710328703646205,0.486,0.816,0.7971075530827243,ambiguous
PRKACB,-0.42345023999007736,0.822136144276097,-0.359,0.956,0.06445023999007737,ambiguous
COPS5,-0.32446399479563903,0.519303232244197,-0.32,0.975,0.004463994795639026,ambiguous
NEFM,-1.103036860576735,0.366750561621996,-0.523,0.833,0.5800368605767349,concordant_down
ACLY,-0.3574330157316188,0.984320887476184,-0.706,0.476,-0.3485669842683812,ambiguous
ACTB,-0.37415621729965354,0.394001191784177,0.0138,0.985,0.3879562172996535,ambiguous
GNAI3,1.2377661484013394,0.37589411339447,0.658,0.806,-0.5797661484013393,concordant_up
ANXA11,0.6002743766848805,0.688834978393268,1.0,0.861,0.3997256233151195,concordant_up
GCLM,1.0121488048293128,0.912023765462897,-0.166,0.984,-1.1781488048293127,ambiguous
CCT5,1.7842398112702504,0.935896021953226,-0.121,0.976,-1.9052398112702504,ambiguous
NDUFA12,-0.3108990279250325,0.862937845722359,0.627,0.969,0.9378990279250325,ambiguous
VSNL1,-0.7109104370168685,0.648712101136954,-0.158,0.979,0.5529104370168685,ambiguous
SOD1,-0.3350379204848059,0.822136144276097,0.411,0.981,0.7460379204848059,ambiguous
MTMR2,1.09562833233254,0.890091832162102,-0.0991,0.979,-1.19472833233254,ambiguous
RGS7,-0.5403597851026644,0.822136144276097,-1.04,0.726,-0.4996402148973357,concordant_down
KIF5B,-1.343718473270445,0.446393842797979,-0.117,0.981,1.226718473270445,ambiguous
MYL6,-1.3408547068531969,0.8631372758572,1.03,0.125,2.370854706853197,discordant_LOW
COPA,-0.3016711455970822,0.809992425543539,0.0477,0.983,0.3493711455970822,ambiguous
PRKAA1,-0.9655621593465824,0.605538176465061,-0.517,0.966,0.4485621593465824,concordant_down
CRABP1,-0.10024018806434348,0.394598378481868,-0.561,0.973,-0.46075981193565657,ambiguous
ARPC1B,0.48270848975513797,0.394598378481868,0.733,0.893,0.250291510244862,ambiguous
FNTA,-0.5042641773269795,0.395841532423038,-0.119,0.982,0.3852641773269795,ambiguous
APBA2,-1.5684797720531085,0.48541508983182,-0.367,0.96,1.2014797720531085,ambiguous
HADHB,0.5049101668972199,0.616006343358089,0.13,0.976,-0.3749101668972199,ambiguous
CCDC6,-1.3038085120513045,0.874556739320875,-0.455,0.969,0.8488085120513045,ambiguous
ANXA6,-0.5001995463085004,0.677213778209236,-0.0191,0.985,0.4810995463085004,ambiguous
FYN,-0.16610681375048947,0.499673568816023,0.441,0.774,0.6071068137504895,ambiguous
YWHAE,-0.4969298554148054,0.440634811194491,0.00665,0.986,0.5035798554148054,ambiguous
PDXK,1.5895404451253305,0.624101470801635,-0.385,0.901,-1.9745404451253306,ambiguous
YWHAB,-0.3266239958128477,0.839711486844877,-0.182,0.976,0.14462399581284768,ambiguous
SMG1,-1.0696820506953035,0.822136144276097,0.0777,0.984,1.1473820506953036,ambiguous
LMAN1,-0.5625192151471154,0.406711768497805,-0.116,0.983,0.44651921514711546,ambiguous
TUFM,1.4461905552696517,0.971400925280805,0.274,0.959,-1.1721905552696517,ambiguous
ALDH2,0.4050915147051688,0.769312273620455,0.524,0.946,0.11890848529483122,ambiguous
RPS6,-0.17294876211587612,0.822136144276097,-0.942,0.957,-0.7690512378841239,ambiguous
CYFIP1,0.7870338154049765,0.409519490625113,-0.286,0.98,-1.0730338154049766,ambiguous
HSPH1,-1.403287426680829,0.637729742956285,-0.481,0.904,0.9222874266808291,ambiguous
PGM1,0.3158689704163442,0.822136144276097,0.0317,0.985,-0.2841689704163442,ambiguous
INSR,-1.0375643744585694,0.795842005713586,-0.338,0.976,0.6995643744585693,ambiguous
PRKCB,-0.5709972304075894,0.67839527212574,-0.239,0.974,0.33199723040758944,ambiguous
DCTN2,-0.2430921310589054,0.726906230655763,-0.292,0.968,-0.048907868941094584,ambiguous
CNTN1,-1.2225724219613034,0.475286265620778,0.308,0.954,1.5305724219613035,ambiguous
TWF1,0.9382105212412465,0.724696226156014,-0.337,0.978,-1.2752105212412466,ambiguous
AGFG1,-0.262887131977361,0.425203369186986,-0.332,0.979,-0.069112868022639,ambiguous
KANK1,0.5786272192548756,0.426410213582754,0.143,0.981,-0.4356272192548756,ambiguous
GRIA2,-0.4979113431062995,0.426410213582754,-0.107,0.984,0.3909113431062995,ambiguous
EEF1A2,-0.5935303522509998,0.929751416426271,-0.156,0.977,0.4375303522509998,ambiguous
KIAA0513,-0.4258886995332091,0.763945610731772,-0.216,0.979,0.20988869953320913,ambiguous
RPL12,0.8915215639762425,0.430624745842832,0.442,0.975,-0.4495215639762425,ambiguous
PPP6C,-0.7506707554028589,0.436741451347157,0.511,0.971,1.261670755402859,discordant_LOW
GDI1,-0.4736971999173155,0.74178802572587,0.16,0.978,0.6336971999173155,ambiguous
MAP2,0.9224458270079156,0.441758858700505,0.202,0.972,-0.7204458270079155,ambiguous
HSPB1,0.48260006610134,0.491533470303912,0.52,0.466,0.03739993389866003,ambiguous
GCN1L1,-1.2153902614825516,0.508705452892458,0.816,0.796,2.0313902614825516,discordant_LOW
NDRG1,-0.244885510909793,0.447943995641456,-0.338,0.978,-0.09311448909020703,ambiguous
HERC1,-0.88338948861865,0.448759158403397,-1.97,0.33,-1.08661051138135,concordant_down
PMP2,0.7735245485142559,0.449189023281369,0.725,0.952,-0.048524548514255916,concordant_up
MLC1,1.0800438516803699,0.449189023281369,1.82,0.772,0.7399561483196302,concordant_up
ANXA1,1.5068155654906985,0.784219883089867,1.88,0.27,0.3731844345093014,concordant_up
ACTN2,-1.0882229409267778,0.449189023281369,-0.328,0.981,0.7602229409267778,ambiguous
RPS16,0.620848863487306,0.449189023281369,0.00593,0.986,-0.614918863487306,ambiguous
MTMR6,-0.4452077715050661,0.6371940492572,0.0853,0.984,0.5305077715050661,ambiguous
NNT,1.1524764683003124,0.886013612584118,-0.0122,0.985,-1.1646764683003124,ambiguous
PSMD2,-0.22172648443152268,0.822136144276097,-0.104,0.976,0.11772648443152268,ambiguous
ACSL1,-0.17447127661155049,0.451400745124543,-0.257,0.974,-0.08252872338844952,ambiguous
HSPD1,-0.2551868580437979,0.822136144276097,-0.0953,0.982,0.15988685804379793,ambiguous
BGN,0.5023342325647905,0.453499290876976,0.827,0.963,0.3246657674352095,concordant_up
WARS,-0.2731483216206085,0.892469998055765,1.0,0.871,1.2731483216206085,ambiguous
NME1,-0.2758206382198743,0.860217408396845,-0.325,0.978,-0.04917936178012572,ambiguous
GSN,-0.17225641901263256,0.45955131059646,0.232,0.954,0.40425641901263254,ambiguous
TLN2,-0.534467843513757,0.460758336107774,0.184,0.973,0.718467843513757,ambiguous
YWHAQ,-0.30519478941667966,0.822136144276097,-0.234,0.969,0.07119478941667964,ambiguous
SPTAN1,0.25529286316901095,0.467288248448329,-0.0366,0.983,-0.291892863169011,ambiguous
PAICS,-0.35836909603525396,0.822136144276097,0.762,0.895,1.120369096035254,ambiguous
AP2S1,-0.32225307875736,0.91811907542248,-0.699,0.415,-0.37674692124264,ambiguous
CYP27A1,1.092680633398936,0.667855366093078,0.585,0.966,-0.5076806333989361,concordant_up
YARS,-0.43983094939594625,0.968276515287762,-0.506,0.968,-0.06616905060405376,ambiguous
OCRL,0.8128019756280341,0.822136144276097,-0.247,0.978,-1.0598019756280341,ambiguous
CYFIP2,-0.392318939513306,0.476199758412844,-0.215,0.981,0.177318939513306,ambiguous
DPYSL3,0.40217693949125227,0.476568646993209,0.264,0.961,-0.13817693949125226,ambiguous
IMMT,-0.2702630470335486,0.478433303104092,0.055,0.984,0.3252630470335486,ambiguous
GMFB,-0.3355706527893103,0.529350654206571,-0.562,0.976,-0.22642934721068975,ambiguous
HADHA,1.6763718993562342,0.822136144276097,-0.091,0.98,-1.7673718993562342,ambiguous
FLOT2,-0.2607897820500484,0.980014915734609,-0.217,0.978,0.04378978205004838,ambiguous
CSTB,0.373718521861534,0.481090551995735,-0.319,0.982,-0.6927185218615339,ambiguous
EEF1A1,0.44875901518063954,0.484098415815851,0.133,0.973,-0.31575901518063954,ambiguous
DNM1L,-1.316542370394137,0.987258846729594,-0.33,0.929,0.986542370394137,ambiguous
GRSF1,-0.7438642233168963,0.485326492279407,-0.284,0.982,0.4598642233168963,ambiguous
ATIC,0.40218957103001146,0.727464040914245,-0.136,0.977,-0.5381895710300115,ambiguous
HNRNPF,0.621887591912693,0.486515258526269,0.593,0.453,-0.028887591912693078,concordant_up
HK1,-0.329524389718548,0.486515258526269,-0.116,0.979,0.21352438971854804,ambiguous
NCAM1,-0.6435494967024082,0.81186454207862,0.513,0.937,1.1565494967024081,discordant_LOW
CPNE1,0.3435724243552248,0.49443380237343,-0.626,0.951,-0.9695724243552248,ambiguous
RARS,1.1446725878211335,0.78390426048725,-0.322,0.973,-1.4666725878211335,ambiguous
CALR,1.2562639458756075,0.513187866303401,0.363,0.976,-0.8932639458756075,ambiguous
RPLP1,0.5153626655241295,0.495073761664864,1.14,0.965,0.6246373344758704,concordant_up
PRKCA,-0.6865397968882401,0.495073761664864,0.0706,0.981,0.7571397968882401,ambiguous
ACTR1A,0.2571121443188205,0.714335688173087,-0.319,0.877,-0.5761121443188205,ambiguous
CNTNAP1,0.608555504977895,0.822136144276097,0.19,0.98,-0.418555504977895,ambiguous
IFIT5,-0.815595745274344,0.822136144276097,-0.339,0.972,0.47659574527434395,ambiguous
GARS,-0.41441776814036696,0.822136144276097,-0.602,0.904,-0.18758223185963302,ambiguous
COL6A1,-0.31933739980228104,0.780458954050483,0.514,0.958,0.833337399802281,ambiguous
RANBP2,-1.2447194858921296,0.505125736505654,-0.164,0.981,1.0807194858921296,ambiguous
IQGAP1,0.3956679360223155,0.507765387094101,0.774,0.952,0.37833206397768454,ambiguous
TJP2,0.871845245566522,0.508994221007869,0.408,0.954,-0.463845245566522,ambiguous
EIF3B,0.884512507354264,0.508994221007869,-0.459,0.96,-1.343512507354264,ambiguous
SLC12A5,-1.431682217850437,0.534859417558056,-0.592,0.928,0.839682217850437,concordant_down
PLA2G16,-0.15180963782669699,0.510437935056874,-0.321,0.972,-0.16919036217330302,ambiguous
PDK3,0.599425545472768,0.510789540279084,-0.101,0.982,-0.700425545472768,ambiguous
SLC3A2,1.8206846303940183,0.989325765963229,0.604,0.971,-1.2166846303940182,concordant_up
ABCD3,1.039658724750814,0.822136144276097,0.0328,0.984,-1.006858724750814,ambiguous
CDC37,-0.321389684917838,0.822136144276097,-0.0353,0.985,0.286089684917838,ambiguous
MYH10,0.9298211786958623,0.510789540279084,0.0403,0.983,-0.8895211786958623,ambiguous
CKB,0.797892527454467,0.515108252150754,-0.504,0.888,-1.301892527454467,discordant_HIGH
STXBP3,0.3824124925107781,0.764538236957103,-0.346,0.939,-0.728412492510778,ambiguous
STOM,0.683046350434109,0.516974559449485,0.0958,0.982,-0.587246350434109,ambiguous
RPS18,1.075797129442378,0.518650511803548,0.22,0.979,-0.8557971294423781,ambiguous
NEFH,-1.39745335755798,0.599596505583369,-0.546,0.786,0.8514533575579799,concordant_down
TROVE2,1.2618013984735934,0.523437227714434,-0.555,0.967,-1.8168013984735936,discordant_HIGH
PRPH,-1.607186878198301,0.940487568724256,0.573,0.96,2.1801868781983007,discordant_LOW
DNM2,1.8467873490142679,0.723079717543861,-0.0461,0.983,-1.892887349014268,ambiguous
ILK,-0.9864346912134614,0.934524529773803,0.568,0.749,1.5544346912134612,discordant_LOW
UBE2L3,0.8884966272725873,0.969347733350333,1.14,0.883,0.25150337272741263,concordant_up
RPS15,0.628482451998915,0.530824414217528,0.454,0.944,-0.17448245199891493,ambiguous
FERMT2,0.2559832540699535,0.530824414217528,-1.08,0.905,-1.3359832540699537,ambiguous
KIF1A,-1.4331081716806766,0.822136144276097,-0.237,0.966,1.1961081716806765,ambiguous
SPTBN1,-0.304270628284836,0.822136144276097,-0.0947,0.978,0.20957062828483597,ambiguous
ARCN1,-0.2071118574500847,0.76043106721438,-0.554,0.969,-0.34688814254991535,ambiguous
LIMK1,-1.2089057897415763,0.998504887713847,-0.297,0.972,0.9119057897415763,ambiguous
MYO5A,-0.8616554093455431,0.534801127214867,-0.223,0.937,0.6386554093455431,ambiguous
GNA13,0.8999906180741635,0.538110105784586,-0.0496,0.984,-0.9495906180741635,ambiguous
NDUFA9,1.353354300170107,0.994911621869132,-0.0461,0.984,-1.399454300170107,ambiguous
RBP1,0.42066105760199346,0.540233679911293,0.322,0.978,-0.09866105760199345,ambiguous
FHL1,-0.11160150186094801,0.540732049635059,-0.383,0.972,-0.271398498139052,ambiguous
ARF6,0.948306921108021,0.540732049635059,-0.114,0.979,-1.062306921108021,ambiguous
ANXA2,0.38728987754881594,0.822136144276097,1.17,0.475,0.782710122451184,ambiguous
CCT2,0.7903884228237109,0.911370275079141,-0.296,0.83,-1.0863884228237108,ambiguous
DNAJB4,-0.975048527875107,0.767523205048551,-0.51,0.941,0.465048527875107,concordant_down
BLVRB,0.25091704729963293,0.971510717576295,-0.217,0.98,-0.4679170472996329,ambiguous
PURA,-0.3597616442105732,0.762761624656142,-0.522,0.915,-0.1622383557894268,ambiguous
PPP2CA,-0.2104554912453256,0.932784546954909,-0.186,0.964,0.02445549124532559,ambiguous
XPO1,-0.19693928497289132,0.896308908562325,-0.292,0.955,-0.09506071502710867,ambiguous
CCT8,0.8365557666179974,0.822136144276097,-0.177,0.969,-1.0135557666179973,ambiguous
MTMR1,0.9634608955733798,0.996896294055364,0.113,0.983,-0.8504608955733798,ambiguous
ATP5A1,1.2051728824962287,0.543722529645012,-0.198,0.965,-1.4031728824962286,ambiguous
PPAP2B,0.42015910643652443,0.544200941986241,0.228,0.983,-0.19215910643652442,ambiguous
GNAO1,-0.40965932500879054,0.956198353430383,0.0525,0.982,0.46215932500879053,ambiguous
HINT1,0.834871771761869,0.883923528974029,-0.0483,0.984,-0.883171771761869,ambiguous
USP5,-0.36884181999264753,0.547045281770067,-0.236,0.97,0.13284181999264755,ambiguous
NF1,1.0780041195412964,0.822136144276097,-0.102,0.981,-1.1800041195412965,ambiguous
RAB2A,1.119171320683444,0.822136144276097,-0.0545,0.985,-1.173671320683444,ambiguous
COPS6,-0.18098875843065038,0.594070318483739,-0.397,0.944,-0.21601124156934964,ambiguous
HMOX2,-0.941114200295144,0.550508358913773,-0.116,0.977,0.825114200295144,ambiguous
PHB,-1.1149524100775785,0.982820579920454,0.115,0.983,1.2299524100775785,ambiguous
CYB5R3,-0.5440701922713843,0.728927030853706,-0.0201,0.985,0.5239701922713843,ambiguous
HNRNPK,-0.4755012289271212,0.550508358913773,0.0725,0.983,0.5480012289271212,ambiguous
RPS5,0.6793604587057465,0.550508358913773,0.502,0.978,-0.17736045870574646,concordant_up
PTPRN,-0.33139308654576427,0.822136144276097,-0.638,0.951,-0.30660691345423574,ambiguous
ATP6V0A1,-0.24447831126564584,0.822136144276097,-0.225,0.982,0.019478311265645837,ambiguous
STXBP1,-0.24739423869367275,0.954103474336747,-0.535,0.473,-0.2876057613063273,ambiguous
PON2,0.4166709747582025,0.550508358913773,0.567,0.974,0.15032902524179748,ambiguous
HNRNPC,0.2154210997109685,0.550508358913773,0.316,0.949,0.10057890028903149,ambiguous
NEDD8,0.20015017293495263,0.980333746152954,0.574,0.883,0.3738498270650473,ambiguous
GART,-0.3708955196212495,0.907034984097086,-0.00658,0.985,0.36431551962124953,ambiguous
AQP4,0.6739386851692265,0.551923247746437,1.31,0.691,0.6360613148307735,concordant_up
PBXIP1,0.7051834266794286,0.552115962357324,0.535,0.919,-0.17018342667942854,concordant_up
SLC25A5,0.434584564823682,0.704080677264227,-0.195,0.969,-0.629584564823682,ambiguous
PSMD5,-0.9191413064245664,0.822136144276097,0.101,0.981,1.0201413064245664,ambiguous
PCBP2,0.3850680624343582,0.553153487967042,-0.0119,0.985,-0.3969680624343582,ambiguous
ATP1B1,-0.3644389915571378,0.920837606328782,0.221,0.98,0.5854389915571379,ambiguous
PTPRA,0.6408776809107685,0.559463074060819,0.275,0.973,-0.36587768091076844,ambiguous
MADD,-0.5199913316284125,0.559463074060819,-0.735,0.819,-0.2150086683715875,concordant_down
PPP1CC,-0.2369085779417306,0.796364213889747,-0.0367,0.984,0.20020857794173058,ambiguous
ADH5,0.4499591462806572,0.978005812832856,0.141,0.983,-0.30895914628065724,ambiguous
MARK2,-1.237436071336583,0.797872235904912,-0.416,0.896,0.8214360713365831,ambiguous
HDLBP,-0.157839055106907,0.996414772840713,0.2,0.954,0.357839055106907,ambiguous
MAPRE1,-0.315105173839418,0.569390799907466,0.0235,0.985,0.338605173839418,ambiguous
PDIA3,0.8902213226608995,0.57053493489043,-0.234,0.977,-1.1242213226608995,ambiguous
RCN1,1.4730941579587251,0.570862159043244,0.729,0.561,-0.7440941579587251,concordant_up
MAP1B,-0.2162587498650264,0.571999293571095,-0.145,0.973,0.07125874986502642,ambiguous
MPI,-0.918297106346543,0.574871815930084,-0.177,0.979,0.741297106346543,ambiguous
PTPN11,0.8983817600592265,0.575592706127104,0.205,0.982,-0.6933817600592266,ambiguous
CRK,1.0343587159136791,0.77247200584202,-0.652,0.967,-1.6863587159136793,discordant_HIGH
AK1,0.6357523446619735,0.979957838042997,-0.257,0.973,-0.8927523446619735,ambiguous
ARHGEF7,-0.2466741224574521,0.822136144276097,-0.723,0.947,-0.47632587754254785,ambiguous
ATP1A1,-0.6082793359660602,0.5830307276062,0.235,0.978,0.8432793359660602,ambiguous
SPARC,0.492231870225452,0.5830307276062,-0.315,0.959,-0.807231870225452,ambiguous
TGM2,0.03613706833905994,0.584623800751903,0.0546,0.985,0.01846293166094006,ambiguous
RPL27,0.3314719984301065,0.584706230220507,-0.294,0.981,-0.6254719984301065,ambiguous
PFKM,0.8148290168651723,0.967873869288382,-0.522,0.918,-1.3368290168651722,discordant_HIGH
LDHB,-0.20287238402819593,0.854475980208159,0.362,0.957,0.564872384028196,ambiguous
PEX5,-0.327072931289712,0.822136144276097,-0.411,0.976,-0.08392706871028799,ambiguous
PSMA5,-0.22595694436982353,0.945031987531334,-0.113,0.983,0.11295694436982352,ambiguous
MAPRE2,-0.2577766606007541,0.822136144276097,-0.0218,0.985,0.23597666060075412,ambiguous
ARHGEF2,0.51926821705102,0.59028662376408,-0.3,0.978,-0.8192682170510199,ambiguous
ATP5C1,0.2716201116601209,0.822136144276097,-0.267,0.914,-0.5386201116601209,ambiguous
NDUFV2,1.017978423028846,0.822136144276097,0.288,0.98,-0.729978423028846,ambiguous
SYT1,-0.355482303735676,0.593357474058287,-0.256,0.979,0.09948230373567601,ambiguous
NEFL,-0.5381220662579779,0.59913747401255,-0.391,0.929,0.14712206625797786,ambiguous
NAP1L1,-0.16409785085810963,0.822136144276097,0.179,0.969,0.3430978508581096,ambiguous
CAPRIN1,0.4929611042333576,0.689025950665943,0.533,0.889,0.040038895766642435,ambiguous
PREP,-0.883264447403477,0.605601801804837,-0.322,0.981,0.5612644474034769,ambiguous
TRAPPC10,-0.460330994319036,0.609275559487405,0.459,0.882,0.919330994319036,ambiguous
ESD,0.2903826228137415,0.609518401263881,0.735,0.903,0.4446173771862585,ambiguous
RPL6,-0.015798147469019003,0.60993269911303,0.319,0.965,0.33479814746901904,ambiguous
ADD2,0.27555720093848374,0.979670371039557,-0.552,0.921,-0.8275572009384837,ambiguous
ATP1A2,-0.713439991485213,0.612119474004877,0.439,0.936,1.152439991485213,ambiguous
TCEB1,0.5409701591550884,0.822136144276097,0.0421,0.983,-0.49887015915508837,ambiguous
PI4KA,-0.1527565847043606,0.822136144276097,-0.694,0.921,-0.5412434152956394,ambiguous
ADAR,0.8646263740999628,0.811284787603093,1.03,0.846,0.16537362590003724,concordant_up
MPZ,-0.6008132125544459,0.971576129023666,0.635,0.98,1.2358132125544459,discordant_LOW
TSN,0.725481168991304,0.619640653996986,-0.738,0.955,-1.4634811689913039,discordant_HIGH
DYNLT3,-0.5132048847444326,0.822136144276097,-0.477,0.949,0.03620488474443262,ambiguous
SLC12A2,-0.691965254138033,0.621304922169123,0.217,0.98,0.908965254138033,ambiguous
PRPS1,0.5893564904183318,0.792995373080433,-0.252,0.976,-0.8413564904183318,ambiguous
CRYAB,0.03568472814031201,0.623175200222288,0.349,0.917,0.313315271859688,ambiguous
HYOU1,-0.19037343820503727,0.881295008172243,-0.089,0.982,0.10137343820503728,ambiguous
LDHA,0.36562441645621746,0.822136144276097,0.288,0.975,-0.07762441645621748,ambiguous
MAST1,-1.054404874392672,0.623175200222288,-0.647,0.93,0.4074048743926719,concordant_down
PIP4K2A,-0.6508362812626025,0.623175200222288,0.113,0.979,0.7638362812626025,ambiguous
LRPPRC,-0.6409283691184134,0.623175200222288,0.0175,0.985,0.6584283691184134,ambiguous
EIF4G3,-0.3126514778698096,0.703603903155269,-0.727,0.861,-0.41434852213019036,ambiguous
AARS,0.11979253412330229,0.868238096448679,-0.298,0.94,-0.4177925341233023,ambiguous
MAP2K1,-0.1766776744869755,0.623175200222288,-0.322,0.941,-0.14532232551302451,ambiguous
CSRP1,0.277361585915725,0.623455466659377,0.204,0.98,-0.07336158591572503,ambiguous
