Gene_Symbol,mRNA_logFC,mRNA_adjPval,protein_logFC,protein_adjPval,protein_significant,discordance_score,quadrant
LUC7L,-0.276659419,0.006178526,0.173711921261349,0.32042218411795,False,0.450371340261349,ambiguous
AMT,-0.366642723,0.006258716,-0.137975250242804,0.59223034177097,False,0.228667472757196,ambiguous
IPO7,0.316713846,0.006266458,-0.057540566237698,0.731565601939078,False,-0.374254412237698,ambiguous
PMM2,-0.384268701,0.006295076,-0.134074805288373,0.793138809745416,False,0.250193895711627,ambiguous
CMTM4,0.209278802,0.006400729,-0.265675433829307,0.616576079350749,False,-0.47495423582930696,ambiguous
RAB22A,0.285510197,0.006416967,-0.171365380743763,0.269641709103589,False,-0.45687557774376303,ambiguous
HSP90AA1,0.560078636,0.006416967,0.287758334778779,0.0744957761725897,False,-0.272320301221221,ambiguous
EIF3J,0.245589996,0.006416967,0.272012694325751,0.12144802069623,False,0.026422698325750976,ambiguous
PALM2,0.384194057,0.006416967,-0.542901709082777,0.216992820598843,False,-0.927095766082777,ambiguous
GDE1,0.262863021,0.006416967,0.0782196175107694,0.735543645045222,False,-0.18464340348923058,ambiguous
EVI5,0.236625419,0.006416967,-0.116872698652247,0.487921048367036,False,-0.35349811765224703,ambiguous
CRK,0.216696694,0.006495505,0.128114624220084,0.329930644899505,False,-0.088582069779916,ambiguous
PEX5L,0.357244902,0.00671477,0.370525667884776,0.225497079027393,False,0.013280765884776002,ambiguous
SETD7,0.341286986,0.006830765,-0.104053087624443,0.629153133003367,False,-0.445340073624443,ambiguous
WDR77,-0.220736218,0.006847101,-0.0977798709176945,0.628965815683487,False,0.12295634708230552,ambiguous
SRRM2,-0.331029392,0.006885949,0.197892731985268,0.605163322776379,False,0.528922123985268,ambiguous
GUCY1A1,0.407715551,0.006885949,-0.345275074211825,0.536386840735071,False,-0.752990625211825,ambiguous
MTDH,0.250676619,0.006956035,0.450849546583985,0.0439949745657354,False,0.20017292758398503,ambiguous
DDAH1,0.296902182,0.007052534,0.0491011869199554,0.853604712343219,False,-0.2478009950800446,ambiguous
PURA,0.254376728,0.007052534,-0.182288820006063,0.28784556015152,False,-0.436665548006063,ambiguous
HLA-C,-0.515720146,0.00707207,2.19717408125903,0.0542607679066734,False,2.71289422725903,discordant_LOW
IRF2BP2,0.358421582,0.007107242,-0.0390662226773824,0.927551184878359,False,-0.39748780467738243,ambiguous
ODF2,-0.336144338,0.007191088,0.28294413180781,0.211934690153621,False,0.61908846980781,ambiguous
MRI1,-0.370912653,0.007312193,0.720018833761474,0.128886571632248,False,1.0909314867614741,ambiguous
CORO6,-0.766949158,0.007336742,0.059835791805793,0.850552279228233,False,0.826784949805793,ambiguous
SKAP2,0.335053872,0.007381314,0.717437405411568,0.00783673574215131,True,0.382383533411568,ambiguous
NSUN2,-0.254350115,0.007396472,-0.0218752912230702,0.915237387113576,False,0.2324748237769298,ambiguous
ABCG2,-0.621626273,0.007471932,-0.0516926964843432,0.803904480308781,False,0.5699335765156568,ambiguous
MX2,-0.622575635,0.007474243,0.393801981027202,0.420097786726228,False,1.016377616027202,ambiguous
SLC29A1,-0.366108164,0.00753627,0.0499992285306119,0.88282368634463,False,0.4161073925306119,ambiguous
F11R,-0.496854802,0.007543483,0.35374130693544,0.34762801376253,False,0.8505961089354399,ambiguous
LNPEP,0.258631325,0.007547714,0.20683662398983,0.407523498963931,False,-0.05179470101017003,ambiguous
GNAQ,0.273219709,0.007638408,0.169254326184092,0.443417328675483,False,-0.10396538281590798,ambiguous
RING1,-0.255053076,0.007712794,0.185090705176393,0.497730281913626,False,0.44014378117639297,ambiguous
SRA1,-0.223172438,0.007895584,0.250138806394627,0.444984365656753,False,0.473311244394627,ambiguous
UBE2G1,0.246846332,0.007943807,-0.0602902736964577,0.765541191779924,False,-0.30713660569645773,ambiguous
USP35,-0.330440007,0.007943807,-0.125842824108298,0.594105862359814,False,0.20459718289170198,ambiguous
SCRN2,-0.326697473,0.0079784,0.410632484305157,0.164329198193454,False,0.737329957305157,ambiguous
OPLAH,-0.535458441,0.008059727,-0.661277362233037,0.0508688580847841,False,-0.12581892123303706,concordant_down
FBXO45,0.314607847,0.008059727,-0.105463369925906,0.498654422545616,False,-0.420071216925906,ambiguous
SMC2,0.401628598,0.008105979,0.608871916291699,0.152927144725482,False,0.207243318291699,ambiguous
RANBP2,0.249361101,0.008156048,0.198083822901319,0.298289222793988,False,-0.05127727809868099,ambiguous
CDC5L,0.253012186,0.008255761,0.24184399977168,0.322833563783599,False,-0.01116818622831997,ambiguous
JMJD7,-0.432248326,0.008255761,0.487453100486263,0.0840056543847542,False,0.9197014264862631,ambiguous
NAA50,0.294329323,0.008267273,0.250532833104611,0.0496870288545842,False,-0.04379648989538898,ambiguous
FAHD2A,-0.205571124,0.008267273,-0.0974749049724739,0.741673045809925,False,0.1080962190275261,ambiguous
CYP2S1,-0.620135929,0.008318864,0.279588478865483,0.175429656423046,False,0.899724407865483,ambiguous
PDGFRB,-0.562254355,0.008342627,0.398084844997281,0.474960746706088,False,0.960339199997281,ambiguous
SHH,-0.552854774,0.008354658,0.323869713589541,0.45032697055942,False,0.876724487589541,ambiguous
PLPBP,0.21400824,0.008466434,-0.0554002725618155,0.843335251583168,False,-0.26940851256181547,ambiguous
MICAL1,-0.54606614,0.008466434,0.239174173797181,0.686246611842305,False,0.785240313797181,ambiguous
WSB2,0.236232653,0.008466434,-0.279648012033819,0.366168368444733,False,-0.515880665033819,ambiguous
RASA4,-0.465041087,0.00847806,-0.974020250411833,0.119938241254446,False,-0.508979163411833,ambiguous
DHRS13,-0.346407404,0.008488527,0.0220336907138146,0.927551184878359,False,0.3684410947138146,ambiguous
PNKP,-0.392577701,0.008488872,-0.198951108845258,0.374447493698638,False,0.193626592154742,ambiguous
CRYZ,0.471619598,0.008612961,0.101097591227809,0.842753571260177,False,-0.370522006772191,ambiguous
MX1,-0.3852816,0.008637571,-0.403021295352935,0.396075059425824,False,-0.017739695352935014,ambiguous
EIF4G2,0.243219137,0.008652306,-0.0319997046621587,0.83364777691969,False,-0.2752188416621587,ambiguous
EPS15,0.296043177,0.008804737,0.144975389932378,0.498271977194443,False,-0.151067787067622,ambiguous
CPD,0.329764739,0.008821813,-0.203209691015562,0.276672305815985,False,-0.532974430015562,ambiguous
URI1,0.300947273,0.008921985,0.0632556591835991,0.836527095958043,False,-0.23769161381640092,ambiguous
ITSN2,0.17677506,0.008921985,0.0302170365394563,0.896146681458031,False,-0.14655802346054372,ambiguous
SRPK2,0.227839548,0.008921985,-0.0519306290410437,0.77338231594187,False,-0.2797701770410437,ambiguous
FXR1,0.367374403,0.008921985,0.0197599922799476,0.885527072623691,False,-0.3476144107200524,ambiguous
XIAP,0.24715376,0.008968557,0.0293009699006932,0.897454332568072,False,-0.2178527900993068,ambiguous
THBS4,-0.286321224,0.008990339,0.0556846886453384,0.856734998794043,False,0.34200591264533836,ambiguous
GNA13,0.436234773,0.009120382,-0.0171087702013519,0.941771413769178,False,-0.4533435432013519,ambiguous
SUSD2,-0.9303993,0.00918402,-0.0768298902086038,0.920837207909066,False,0.8535694097913963,ambiguous
CCDC93,-0.216526088,0.009413627,0.0196041585647233,0.930142605857145,False,0.2361302465647233,ambiguous
ADNP,0.16376608,0.009459657,-0.0369742201101015,0.914155356067808,False,-0.20074030011010152,ambiguous
CALB2,-0.779820162,0.009518701,-0.103136941966484,0.91238368721025,False,0.676683220033516,ambiguous
MROH1,-0.47496566,0.009556921,-0.479269433427602,0.0391527890246399,False,-0.004303773427601965,ambiguous
VWA5A,-0.492053567,0.009559212,-0.120976823972462,0.751719302976953,False,0.371076743027538,ambiguous
RBM4,-0.155386339,0.009561106,0.26586550076212,0.0924791634951733,False,0.42125183976212,ambiguous
PPIL4,0.236185832,0.009694846,-0.0880789529276651,0.700202884292151,False,-0.3242647849276651,ambiguous
OGFR,-0.36978516,0.009777335,0.047734735906289,0.758445392109904,False,0.417519895906289,ambiguous
XPO1,0.316046713,0.00978298,0.0411425983334066,0.769432402770736,False,-0.27490411466659337,ambiguous
ARRDC1,-0.444753491,0.010087545,-0.0874278680888283,0.694185783561235,False,0.3573256229111717,ambiguous
FAM98A,0.269941153,0.010108509,0.401415031258004,0.0299361636684348,False,0.131473878258004,ambiguous
HOOK3,0.19991367,0.010168417,0.148596905258978,0.258114178651137,False,-0.05131676474102198,ambiguous
SET,0.264715221,0.010168417,0.179279476180893,0.377864379741288,False,-0.08543574481910701,ambiguous
ATP2C1,0.244094595,0.010168417,-0.119226691363428,0.548606999543161,False,-0.363321286363428,ambiguous
GIT2,-0.191133401,0.010168417,0.0630831176552036,0.751676986425919,False,0.2542165186552036,ambiguous
MIB1,0.256129019,0.010194801,-0.167158124629433,0.393865613228505,False,-0.423287143629433,ambiguous
MAP2K6,0.323674097,0.010465085,0.140224921285508,0.494112266324305,False,-0.18344917571449199,ambiguous
SPG7,-0.268056758,0.01047631,-0.163836609226296,0.479452901677729,False,0.104220148773704,ambiguous
HECTD1,0.236500787,0.010493913,-0.0303183818608836,0.805471425836267,False,-0.2668191688608836,ambiguous
ACBD5,0.250721986,0.010493913,0.171465061367959,0.395452056378815,False,-0.07925692463204101,ambiguous
YOD1,0.407581279,0.010493913,0.596264925237049,0.0257088507522969,True,0.18868364623704897,ambiguous
AP5Z1,-0.373577773,0.010493913,-0.0113114355135844,0.966266897256291,False,0.3622663374864156,ambiguous
MAU2,-0.349058988,0.010493913,0.0996571822345853,0.648654746640669,False,0.4487161702345853,ambiguous
MFGE8,-0.37820042,0.010493913,1.51045417031458,0.190773598442101,False,1.88865459031458,ambiguous
SAMD8,0.266062172,0.010493913,-0.0967424814678433,0.640253230892672,False,-0.3628046534678433,ambiguous
CLEC16A,-0.213931821,0.010493913,-0.132613640207154,0.412108257823879,False,0.081318180792846,ambiguous
IFFO1,-0.353658456,0.010535315,0.303533516482501,0.376579663449076,False,0.657191972482501,ambiguous
DDX39B,-0.195269338,0.01059976,0.188230276561894,0.191525385523375,False,0.38349961456189396,ambiguous
RAB10,0.25814843,0.010606794,0.074441001199089,0.646862921110726,False,-0.18370742880091098,ambiguous
GPC1,-0.418080951,0.010606794,-0.157041958736748,0.691036899117883,False,0.261038992263252,ambiguous
ATAD3B,-0.455185444,0.010878048,-0.238584996147874,0.103323166423609,False,0.21660044785212598,ambiguous
DLG2,0.227486666,0.010965644,-0.0400363048856036,0.923864455321995,False,-0.2675229708856036,ambiguous
GATB,0.22780918,0.010970871,-0.349817475490349,0.0513480154402169,False,-0.577626655490349,ambiguous
BBS1,-0.249551929,0.01107968,0.0350447368619342,0.847456718467124,False,0.2845966658619342,ambiguous
PHKA2,-0.281465674,0.011123836,0.0624786628961846,0.781833733967669,False,0.3439443368961846,ambiguous
UBE3A,0.240323995,0.011163784,0.0209734520734539,0.91238368721025,False,-0.2193505429265461,ambiguous
EIF4B,0.324612642,0.011257895,0.278460603076663,0.134609906147621,False,-0.046152038923337024,ambiguous
GPATCH11,0.289148066,0.011257895,0.269142748179273,0.229569668018358,False,-0.02000531782072701,ambiguous
SEC62,0.327485676,0.011257895,0.049677475658914,0.82586304442876,False,-0.277808200341086,ambiguous
MCUR1,0.187205669,0.011274153,-0.243775323711963,0.119938241254446,False,-0.430980992711963,ambiguous
PNP,-0.438030036,0.01129342,0.241334554366578,0.546543623419258,False,0.679364590366578,ambiguous
PPM1A,0.33058326,0.01129342,0.140762298479073,0.453624183276928,False,-0.18982096152092698,ambiguous
EIF1AX,0.347897573,0.011322095,-0.11699499564982,0.737419984135165,False,-0.46489256864982,ambiguous
ATRX,0.259893126,0.011347523,0.0992083705839235,0.581852387535928,False,-0.16068475541607646,ambiguous
BRAT1,-0.323461251,0.011429454,-0.509651816810451,0.0303789836328575,False,-0.18619056581045101,ambiguous
HDAC2,0.276541454,0.011429454,0.0397932437516424,0.789043366556754,False,-0.23674821024835763,ambiguous
CACYBP,0.378701506,0.011483508,0.507258890491872,0.018634738802142,False,0.12855738449187198,ambiguous
PIGO,-0.284649839,0.011522393,-0.0696918740792798,0.699880424555265,False,0.21495796492072022,ambiguous
ARHGAP5,0.366123208,0.011522393,-0.166748971131897,0.305720436051776,False,-0.532872179131897,ambiguous
HACD2,0.319689225,0.01153379,0.23313304955874,0.523614606067074,False,-0.08655617544126001,ambiguous
MRPS25,-0.241258915,0.011574908,-0.252030617930089,0.20613537766363,False,-0.010771702930089028,ambiguous
FAM20B,0.29573024,0.011731292,-0.135266479459078,0.533645587727108,False,-0.43099671945907797,ambiguous
KIF2A,0.266233868,0.011822166,-0.0159184108509791,0.955323962994007,False,-0.2821522788509791,ambiguous
SESTD1,0.344303883,0.011822166,0.0360437370965592,0.905738537923612,False,-0.30826014590344075,ambiguous
CAPRIN1,0.195589132,0.011875571,0.0140463788630498,0.949587848112142,False,-0.1815427531369502,ambiguous
KLHL41,-0.373995182,0.012047904,0.366431141701677,0.548379419563366,False,0.740426323701677,ambiguous
GID4,0.15238695,0.012047904,0.153390300615908,0.395614880795047,False,0.0010033506159080052,ambiguous
NAT10,-0.201058918,0.012101354,0.146137951581048,0.420393829585501,False,0.347196869581048,ambiguous
ABCB8,-0.366579166,0.012180326,-0.298536269439262,0.406178381069219,False,0.06804289656073803,ambiguous
SUGT1,0.304906031,0.012180326,0.0875775286033527,0.535393995197336,False,-0.2173285023966473,ambiguous
HSPA4,0.351172489,0.012190441,0.291328054685033,0.022334578292268,False,-0.059844434314967,ambiguous
ATP8A1,0.381628439,0.01230905,-0.479434982814041,0.382184460950992,False,-0.8610634218140409,ambiguous
CAD,-0.290647999,0.01230905,0.271891377275395,0.458046751196347,False,0.562539376275395,ambiguous
STK38L,0.310023117,0.012321161,0.11722876401693,0.546061838961303,False,-0.19279435298307002,ambiguous
MINDY2,0.260926213,0.012389681,-0.0362435857555905,0.843007636731647,False,-0.2971697987555905,ambiguous
PODN,-0.587698425,0.012389681,0.509559860252131,0.451657970735902,False,1.0972582852521309,discordant_LOW
RAB11FIP2,0.270462221,0.012389681,0.132968127077107,0.604779965391109,False,-0.137494093922893,ambiguous
GALNS,-0.3522431,0.012404747,-0.0569700444169072,0.808816756316145,False,0.2952730555830928,ambiguous
KPNA3,0.251129298,0.012496071,0.194903653900896,0.159545081692305,False,-0.056225644099103994,ambiguous
HINT3,0.286212944,0.012500305,0.0970488735208122,0.769432402770736,False,-0.18916407047918782,ambiguous
SLMAP,0.170829958,0.012661445,0.0891795392702068,0.686404768237074,False,-0.0816504187297932,ambiguous
WASH2P,-0.315399293,0.012772348,0.360111033429398,0.0931338862720482,False,0.675510326429398,ambiguous
TMEM201,-0.30251518,0.012859577,0.00907988085624645,0.964419383356727,False,0.31159506085624644,ambiguous
ZFR,0.247055946,0.012957874,0.302040698979367,0.186091813907469,False,0.054984752979366974,ambiguous
EGLN1,0.22682168,0.012966807,-0.109073872599968,0.593879247490599,False,-0.335895552599968,ambiguous
SNX3,0.28424565,0.013027648,-0.0202819802620482,0.935835074182913,False,-0.3045276302620482,ambiguous
DNAJA1,0.422115187,0.013056557,0.119327433296384,0.46215318450534,False,-0.302787753703616,ambiguous
AKTIP,0.21636522,0.013056557,-0.146961960039852,0.298231238246176,False,-0.363327180039852,ambiguous
TAX1BP1,0.296199126,0.013482139,0.22861437632783,0.271986641908362,False,-0.06758474967216999,ambiguous
PARP12,-0.442444991,0.013524158,0.0253235906576927,0.924839194720038,False,0.4677685816576927,ambiguous
WDR41,0.238097963,0.013536661,0.00199869012867104,0.993576518283176,False,-0.23609927287132895,ambiguous
CRABP2,-0.608482687,0.013555656,0.834621427163004,0.364240617142168,False,1.4431041141630039,discordant_LOW
COL5A1,-0.752845004,0.013563972,0.350284373293348,0.655877686388959,False,1.103129377293348,ambiguous
ST13,0.273272678,0.013632165,-0.0568557636051175,0.673560680285033,False,-0.3301284416051175,ambiguous
CSDE1,0.281292096,0.013632165,0.0246213787159402,0.88666019433926,False,-0.25667071728405977,ambiguous
CFDP1,0.247004011,0.013681066,0.491502051641634,0.0374171250715432,False,0.24449804064163402,ambiguous
BCKDHB,0.306158317,0.013681066,-0.417064574564245,0.150454642981173,False,-0.723222891564245,ambiguous
SPOCK1,0.351456324,0.013715699,0.0724873705995241,0.825883256317644,False,-0.2789689534004759,ambiguous
TMED5,0.388758219,0.013806367,-0.125248555464207,0.600192349166123,False,-0.514006774464207,ambiguous
EP400,-0.243651216,0.013903799,-0.0431259615155959,0.950347610673169,False,0.20052525448440411,ambiguous
BLOC1S5,0.226206889,0.014067576,0.279758838208813,0.227706442668362,False,0.05355194920881298,ambiguous
