Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,mRNA_logFC_833,mRNA_logFC_76220,mRNA_adjPval_833,mRNA_adjPval_76220
MNT,-1.056879251391514,0.481090551995735,-2.55698793936977,0.443229436586742,0.481090551995735,0.304984979612026
FLOT2,-0.2607897820500484,0.980014915734609,-0.515812220941752,-0.0057673431583447,0.481090551995735,0.980014915734609
PSEN2,1.0980110626263133,0.481090551995735,2.33814697671665,-0.142124851464023,0.481090551995735,0.286052873594344
CSTB,0.373718521861534,0.481090551995735,0.613897016137084,0.133540027585984,0.481090551995735,0.0771909855054197
TK2,0.9295204781416698,0.983418449145676,1.86532620980197,-0.0062852535186304,0.481090551995735,0.983418449145676
GPM6A,0.41220078880096,0.481379914817449,0.580586001492419,0.243815576109501,0.481379914817449,0.159984517552363
SQLE,-0.9655669689736417,0.738908727580365,-1.99956691254598,0.0684329745986967,0.481379914817449,0.738908727580365
RNF113A,-0.8683292815331329,0.618274100183469,-1.94695667442832,0.210298111362054,0.481739072892404,0.618274100183469
SERTAD2,-1.1038977682566444,0.840231908730463,-2.28910241618093,0.0813068796676412,0.482665155445168,0.840231908730463
RB1CC1,-0.27804413767824543,0.783166711564089,-0.591301141451225,0.0352128660947342,0.482665155445168,0.783166711564089
EEF1A1,0.44875901518063954,0.484098415815851,-0.584517638577061,1.48203566893834,0.484098415815851,0.0868962786002157
TTF1,1.1287738091101556,0.668192921263969,1.81876375348001,0.438783864740301,0.484098415815851,0.668192921263969
DNM1L,-1.316542370394137,0.987258846729594,-2.63106631845851,-0.0020184223297641,0.484098415815851,0.987258846729594
B2M,0.8338776770848444,0.484098415815851,1.43425120955342,0.233504144616269,0.484098415815851,0.0771909855054197
TFDP2,0.8279302377088475,0.620681614328679,1.82718748984643,-0.171327014428735,0.484278483402944,0.620681614328679
GRSF1,-0.7438642233168963,0.485326492279407,-1.433683002961,-0.0540454436727926,0.485326492279407,0.471691687728145
ATIC,0.40218957103001146,0.727464040914245,0.852496446299403,-0.0481173042393801,0.485326492279407,0.727464040914245
MOBP,-0.088469790335933,0.485326492279407,-1.16476936163069,0.987829780958824,0.485326492279407,0.323152650401378
SKIV2L2,1.2596530286729344,0.711872388508489,2.46653648901208,0.052769568333789,0.485326492279407,0.711872388508489
ATF2,-0.8504979121843765,0.576316253338474,-1.82516611064824,0.124170286279487,0.485326492279407,0.576316253338474
BBS9,-0.1311075884454225,0.564903466462252,-0.535779232775781,0.273564055884936,0.485326492279407,0.564903466462252
MRPL3,0.8786108247277975,0.616118861383549,1.63710719840196,0.120114451053635,0.485326492279407,0.616118861383549
CNR1,-0.11234469909564992,0.485368937117666,-2.04106921211781,1.81637981392651,0.485368937117666,0.185126822383325
RPS6KA3,-0.9783862317289534,0.808726810802835,-2.09222544665306,0.135452983195153,0.485368937117666,0.808726810802835
HNRNPF,0.621887591912693,0.486515258526269,0.845805647369206,0.39796953645618,0.486515258526269,0.082572487037975
HK1,-0.329524389718548,0.486515258526269,-0.572311402602709,-0.0867373768343871,0.486515258526269,0.330265439591423
SUPT5H,0.33173694136856036,0.616118861383549,0.573133051340809,0.0903408313963117,0.488182040394187,0.616118861383549
NCOA4,0.8549946463174346,0.488713907200796,1.64521999688215,0.0647692957527193,0.488713907200796,0.330060994159899
CPOX,-0.9821537398349011,0.836008335985748,-2.07472131322922,0.110413833559418,0.488713907200796,0.836008335985748
AFF2,1.0132445359999356,0.490547073161795,1.62989037649009,0.396598695509781,0.490547073161795,0.196108313565361
ATN1,-0.2104212909195045,0.490623131872102,-0.686702968610389,0.26586038677138,0.490623131872102,0.233551329899662
STRN3,-0.629888047406833,0.822136144276097,-1.33835968876563,0.0785835939519639,0.490774514903079,0.822136144276097
PIAS1,1.0113596716245443,0.661421633141565,1.96978365153733,0.0529356917117589,0.493790810095182,0.661421633141565
NCAM1,-0.6435494967024082,0.81186454207862,-1.3209920836837,0.0338930902788834,0.493897518179036,0.81186454207862
CPNE1,0.3435724243552248,0.49443380237343,0.589204857131474,0.0979399915789756,0.49443380237343,0.36840435584501
RARS,1.1446725878211335,0.78390426048725,2.24176078264502,0.047584392997247,0.49443380237343,0.78390426048725
UBE2G1,-1.0574494070503773,0.822136144276097,-2.08344554650234,-0.0314532675984145,0.495073761664864,0.822136144276097
ITGB8,-0.638117786424841,0.495073761664864,-1.83287218607803,0.556636613228348,0.495073761664864,0.105879263914558
CALR,1.2562639458756075,0.513187866303401,2.41625838540529,0.0962695063459251,0.495073761664864,0.513187866303401
COX8A,0.2692253896353417,0.929751416426271,0.564904390487467,-0.0264536112167836,0.495073761664864,0.929751416426271
RPLP1,0.5153626655241295,0.495073761664864,0.559000819194353,0.471724511853906,0.495073761664864,0.163937312394243
CHRNA5,-1.093347179310973,0.735133858622019,-1.46815934092593,-0.718535017696016,0.495073761664864,0.735133858622019
PRKCA,-0.6865397968882401,0.495073761664864,-1.8060430350897,0.43296344131322,0.495073761664864,0.0959857048277318
SEL1L,1.104162917174001,0.886906690937006,2.2000528809278,0.0082729534202021,0.495073761664864,0.886906690937006
SNW1,-0.9354936370090785,0.700283566820444,-2.0179230447702,0.146935770752043,0.495073761664864,0.700283566820444
FUBP1,-0.7371402283468276,0.822136144276097,-1.50627916633926,0.0319987096456049,0.495566723643119,0.822136144276097
ISL1,-0.7979818548198154,0.495670123137738,-1.09525937059503,-0.500704339044601,0.495670123137738,0.431843368244221
TRAC,-0.8721124876567086,0.822136144276097,-1.83371296964466,0.0894879943312428,0.497113151973369,0.822136144276097
PNRC1,-0.208113574793599,0.497113151973369,-0.632521179403623,0.216294029816425,0.497113151973369,0.240535785360012
ACTR1A,0.2571121443188205,0.714335688173087,0.562660652823105,-0.0484363641854639,0.497113151973369,0.714335688173087
CNTNAP1,0.608555504977895,0.822136144276097,1.28019548706519,-0.0630844771093999,0.497165530651805,0.822136144276097
NPTX1,-1.23797650417904,0.497872491565355,-1.91912477533104,-0.55682823302704,0.497872491565355,0.375196771152285
IFIT5,-0.815595745274344,0.822136144276097,-1.68757447710993,0.056382986561242,0.499086247471465,0.822136144276097
MGAT2,0.8524800169248755,0.822136144276097,1.82182569995745,-0.116865666107699,0.499086247471465,0.822136144276097
EPCAM,-0.608168604833869,0.499086247471465,-0.88195837882396,-0.334378830843778,0.499086247471465,0.304473973633411
FN1,2.16253789237371,0.499851289386203,2.72364233237053,1.60143345237689,0.499851289386203,0.101451447896114
TGFBR2,1.64355708773505,0.500408208548823,2.24397196249889,1.04314221297121,0.500408208548823,0.432499743618821
RAPGEF5,-0.3452403818298608,0.50041707432489,-0.779939154935441,0.0894583912757194,0.50041707432489,0.466963648352423
NEU1,1.0165492843802364,0.822136144276097,1.94361057442923,0.0894879943312428,0.500514182411736,0.822136144276097
DUT,-0.14000497012760052,0.500594988339642,-0.732259025276617,0.452249085021416,0.500594988339642,0.212394331171384
DPF2,-0.23786660000197202,0.500594988339642,-0.754830127746096,0.279096927742152,0.500594988339642,0.110070096957848
TGFB3,0.23950487222827999,0.500594988339642,-1.04656962023073,1.52557936468729,0.500594988339642,0.309458167744457
SLC39A14,1.9817898759192252,0.500594988339642,2.89815319262064,1.06542655921781,0.500594988339642,0.185228589212056
GARS,-0.41441776814036696,0.822136144276097,-0.810483151499383,-0.0183523847813509,0.502917124185433,0.822136144276097
COL6A1,-0.31933739980228104,0.780458954050483,-0.857600598186192,0.21892579858163,0.5030226991096,0.780458954050483
HLA-DMB,1.004997885634564,0.5030226991096,0.715554818288348,1.29444095298078,0.5030226991096,0.102992444086983
MOK,-0.4939520720199989,0.945031987531334,-1.03334452531041,0.0454403812704123,0.503848705192034,0.945031987531334
USF2,0.9395061450386901,0.503895242001572,1.44720504869972,0.43180724137766,0.503895242001572,0.189396982701664
RET,-0.9247654908465723,0.503895242001572,-1.75975002728861,-0.0897809544045347,0.503895242001572,0.455983147757452
RANBP2,-1.2447194858921296,0.505125736505654,-2.38766094484421,-0.101778026940049,0.505125736505654,0.260660226568026
SF1,1.3790598980690687,0.822136144276097,2.72067416910808,0.0374456270300574,0.50553159958632,0.822136144276097
FGFR2,-0.11254914760448997,0.506158217463145,-0.991915577146946,0.766817281937966,0.506158217463145,0.323290826337435
IQGAP1,0.3956679360223155,0.507765387094101,0.495289955448415,0.296045916596216,0.507765387094101,0.171124746073448
CD163,1.549609841279582,0.507765387094101,2.13701595111447,0.962203731444694,0.507765387094101,0.286052873594344
BTN2A2,-0.125554848723984,0.508256191704159,-0.745968801228873,0.494859103780905,0.508256191704159,0.451633895920899
TCF12,1.327229491420351,0.508256191704159,1.96255444101159,0.691904541829112,0.508256191704159,0.0880375568430239
CCNG2,-0.44044969258478006,0.508994221007869,-2.20612415694936,1.3252247717798,0.508994221007869,0.0975400388900032
TJP2,0.871845245566522,0.508994221007869,0.566006260857474,1.17768423027557,0.508994221007869,0.133041102834549
AEBP1,0.7019080297919971,0.508994221007869,0.519995030828881,0.883821028755113,0.508994221007869,0.179064896527928
NTRK2,0.66180288033127,0.508994221007869,1.1302115979236,0.19339416273894,0.508994221007869,0.214050882236915
TMF1,-0.757871574180413,0.782425307945779,-1.58280733170632,0.0670641833454941,0.508994221007869,0.782425307945779
CBL,-1.0236045956818989,0.756265740724941,-2.00522342486128,-0.0419857665025178,0.508994221007869,0.756265740724941
NONO,0.332641998230873,0.508994221007869,0.509468730995474,0.155815265466272,0.508994221007869,0.177578343426726
HCLS1,0.708594231675302,0.822136144276097,0.868637442242461,0.548551021108143,0.508994221007869,0.822136144276097
EIF3B,0.884512507354264,0.508994221007869,1.98442894324189,-0.215403928533362,0.508994221007869,0.35203936136528
SLC12A5,-1.431682217850437,0.534859417558056,-2.75731317820628,-0.106051257494594,0.508994221007869,0.534859417558056
SMARCA4,-0.32394392054043397,0.822136144276097,-0.679568719397361,0.031680878316493,0.508994221007869,0.822136144276097
IFNGR2,-0.1724892006938065,0.508994221007869,-0.72399030263497,0.379011901247357,0.508994221007869,0.256247338704907
PIGB,0.9536003980125295,0.508994221007869,1.54592914401542,0.361271652009639,0.508994221007869,0.296704399892338
PLA2G16,-0.15180963782669699,0.510437935056874,-0.443614010424422,0.139994734771028,0.510437935056874,0.371156917173441
PPP2R2B,0.9735574739689359,0.510773675141119,2.00027105935808,-0.0531561114202082,0.510773675141119,0.418374050050838
SLC7A6,1.035254088661517,0.693106296061605,1.98031230775077,0.0901958695722636,0.510789540279084,0.693106296061605
ARSB,1.018554665523817,0.510789540279084,1.53908554533727,0.498023785710364,0.510789540279084,0.312986905788998
FMR1,-0.2020198339787537,0.822136144276097,-0.450752094682541,0.0467124267250336,0.510789540279084,0.822136144276097
PDK3,0.599425545472768,0.510789540279084,1.36514726083593,-0.166296169890394,0.510789540279084,0.181922029534627
MAF,-0.5626150896133171,0.510789540279084,-1.83401156138505,0.708781382158416,0.510789540279084,0.0712458583229047
PSEN1,1.1690661897151324,0.510789540279084,2.25246530539025,0.0856670740400149,0.510789540279084,0.50985567731575
GALNS,-1.172382570190569,0.822136144276097,-2.52140183411116,0.176636693730022,0.510789540279084,0.822136144276097
BCAT1,-0.8986981193312855,0.510789540279084,-1.68571818618219,-0.111678052480381,0.510789540279084,0.325374215675723
SLC3A2,1.8206846303940183,0.989325765963229,3.63293722711836,0.0084320336696763,0.510789540279084,0.989325765963229
ABCD3,1.039658724750814,0.822136144276097,2.10560869185392,-0.0262912423522919,0.510789540279084,0.822136144276097
CYBB,1.2457013594269075,0.510789540279084,1.60416218442067,0.887240534433145,0.510789540279084,0.315557893271299
CYB5A,-0.22196587002129953,0.822136144276097,-0.610489474361492,0.166557734318893,0.510789540279084,0.822136144276097
