#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NUP155	NUP188	9606.ENSP00000231498	9606.ENSP00000361658	0	0	0	0	0.264	0.883	0.8	0.989	0.999
NUP155	NUP205	9606.ENSP00000231498	9606.ENSP00000285968	0	0	0	0	0.754	0.995	0.8	0.996	0.999
NUP160	NUP107	9606.ENSP00000367721	9606.ENSP00000229179	0	0	0	0	0.596	0.999	0.9	0.999	0.999
NUP160	NUP155	9606.ENSP00000367721	9606.ENSP00000231498	0	0	0	0	0.353	0.927	0.5	0.811	0.994
NUP160	NUP210	9606.ENSP00000367721	9606.ENSP00000254508	0	0	0	0	0.171	0.813	0.5	0.816	0.983
NUP160	NUP205	9606.ENSP00000367721	9606.ENSP00000285968	0	0	0	0	0.813	0.886	0.5	0.811	0.997
NUP160	HSPA5	9606.ENSP00000367721	9606.ENSP00000324173	0	0	0	0	0.044	0	0.4	0.064	0.416
NUP160	SRSF7	9606.ENSP00000367721	9606.ENSP00000325905	0	0	0	0	0.137	0	0.4	0.099	0.493
NUP160	NUP43	9606.ENSP00000367721	9606.ENSP00000342262	0	0	0	0	0.166	0.998	0.9	0.997	0.999
NUP160	NUP50	9606.ENSP00000367721	9606.ENSP00000345895	0	0	0	0	0.106	0.45	0.5	0.771	0.936
NUP160	NUP188	9606.ENSP00000367721	9606.ENSP00000361658	0	0	0	0	0.385	0.8	0.5	0.865	0.99
NUP160	SRSF3	9606.ENSP00000367721	9606.ENSP00000362820	0	0	0	0	0.145	0	0.4	0.055	0.472
NUP160	ALYREF	9606.ENSP00000367721	9606.ENSP00000421592	0	0	0	0	0.07	0	0.5	0.194	0.592
NUP160	NUP62	9606.ENSP00000367721	9606.ENSP00000471191	0	0	0	0	0.133	0.83	0.5	0.794	0.982
NUP160	NUP153	9606.ENSP00000367721	9606.ENSP00000444029	0	0	0	0	0.366	0.66	0.5	0.972	0.996
NUP160	SEC13	9606.ENSP00000367721	9606.ENSP00000373312	0	0	0	0	0.08	0.998	0.9	0.996	0.999
NUP160	NUP37	9606.ENSP00000367721	9606.ENSP00000448054	0	0	0	0	0.127	0.953	0.9	0.997	0.999
NUP188	NUP107	9606.ENSP00000361658	9606.ENSP00000229179	0	0	0	0	0.147	0.879	0.5	0.773	0.986
NUP188	NUP155	9606.ENSP00000361658	9606.ENSP00000231498	0	0	0	0	0.264	0.883	0.8	0.989	0.999
NUP188	NUP210	9606.ENSP00000361658	9606.ENSP00000254508	0	0	0	0	0.122	0.8	0.8	0.819	0.992
NUP188	NUP205	9606.ENSP00000361658	9606.ENSP00000285968	0	0	0	0	0.582	0.914	0.8	0.994	0.999
