rank,pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name,query
40,BRD-K76674262,BRD-K76674262,A549,-0.3399,-1.425,15.3525,0.431459,Protein synthesis inhibitor,RPL3,Q2
41,GSK-461364,BRD-K92428232,TMD8,-0.3392,-1.4221,15.3525,0.601804,PLK inhibitor,PLK1,Q2
42,D-4476,BRD-K09132007,PC3,-0.3381,-1.4174,15.3525,0.223167,TGF-beta receptor inhibitor,CSNK1A1|CSNK1D|TGFB1,Q2
43,drospirenone,BRD-A00938334,HELA,-0.3379,-1.4164,15.3525,0.560302,Mineralocorticoid receptor antagonist,NR3C2|PGR|AR,Q2
44,scriptaid,BRD-K22503835,A549,-0.3374,-1.4144,15.3525,0.405232,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,Q2
45,procaterol,BRD-A22684332,HT29,-0.3372,-1.4137,15.3525,0.284627,Adrenergic receptor agonist,ADRB2,Q2
46,cisapride,BRD-A12896037,HT29,-0.3371,-1.4132,15.3525,0.213463,Serotonin receptor agonist,HTR4|KCNH2|CYP2B6|CYP2C8|CYP3A5|CYP3A7|HTR2A|HTR3A,Q2
47,emetine,BRD-A25687296,HCC515,-0.3341,-1.4005,15.3525,0.646463,Protein synthesis inhibitor,RPS2,Q2
48,vemurafenib,BRD-K56343971,PC3,-0.333,-1.3961,15.3525,0.303507,RAF inhibitor,BRAF|CYP2C19|CYP3A4|CYP3A5|RAF1,Q2
49,tiapride,BRD-K57432881,HT29,-0.3325,-1.3938,15.3525,0.306644,Dopamine receptor antagonist,DRD2|DRD3,Q2
50,BRD-A13133631,BRD-A13133631,THP1,-0.3323,-1.3929,15.3525,0.234882,Glucocorticoid receptor agonist,NR3C1,Q2
