pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
BRD-K41871066,BRD-K41871066,PC3,-0.2355,-0.946,0.0716,0.261446,,
vicriviroc,BRD-K84748119,YAPC,-0.2355,-0.9459,0.0716,0.597812,CC chemokine receptor antagonist,CCR5
BRD-K63211622,BRD-K63211622,U2OS,-0.2354,-0.9455,0.0714,0.222139,,
CP-94253,BRD-K33860217,HA1E,-0.2354,-0.9457,0.0715,0.303777,Serotonin receptor agonist,HTR1B
BRD-K21822525,BRD-K21822525,HCC515,-0.2354,-0.9455,0.0714,0.283078,,
BRD-K33116223,BRD-K33116223,HA1E,-0.2354,-0.9456,0.0714,0.209684,,
BRD-K49345388,BRD-K49345388,U2OS,-0.2354,-0.9456,0.0715,0.264614,,
budipine,BRD-K18324993,PC3,-0.2354,-0.9458,0.0715,0.244817,Glutamate receptor antagonist,GRIN1
VU-0415533-1,BRD-A59900482,A549,-0.2354,-0.9458,0.0716,0.225746,,
azacitidine,BRD-K03406345,ASC,-0.2354,-0.9459,0.0716,0.578983,DNA inhibitor,DNMT1|DNMT3A
BRD-K72833997,BRD-K72833997,U2OS,-0.2354,-0.9457,0.0715,0.295051,,
BRD-K91655763,BRD-K91655763,U2OS,-0.2354,-0.9457,0.0715,0.219033,,
piperacillin,BRD-K86873305,HT29,-0.2354,-0.9457,0.0715,0.272739,Bacterial cell wall synthesis inhibitor,
BRD-K39208132,BRD-K39208132,A375,-0.2354,-0.9457,0.0715,0.200358,,
diclofenac,BRD-K08252256,VCAP,-0.2354,-0.9456,0.0714,0.201223,Cyclooxygenase inhibitor,PTGS1|PTGS2|CYP2C8|AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|SCN4A
BRD-K74623475,BRD-K74623475,PC3,-0.2354,-0.9456,0.0715,0.341864,,
BRD-K50511260,BRD-K50511260,PC3,-0.2354,-0.9456,0.0715,0.392933,,
BRD-K99750259,BRD-K99750259,PC3,-0.2354,-0.9456,0.0715,0.206861,,
BRD-K51546355,BRD-K51546355,U2OS,-0.2354,-0.9458,0.0715,0.211384,,
BRD-K27558213,BRD-K27558213,VCAP,-0.2353,-0.9452,0.0713,0.203044,,
BRD-K05197617,BRD-K05197617,HCC515,-0.2353,-0.9451,0.0711,0.285219,,
DBeQ,BRD-K59204667,HT29,-0.2353,-0.9454,0.0713,0.597233,ATPase inhibitor,CASP3
eugenitol,BRD-K46068882,MCF7,-0.2353,-0.9452,0.0713,0.246032,Androgen receptor antagonist|Bacterial quorum sensing inhibitor|Chromone|Monoamine oxidase inhibitor,
SA-97110,BRD-K02924457,MCF7,-0.2353,-0.9452,0.0713,0.354809,,
BRD-K35002913,BRD-K35002913,HA1E,-0.2353,-0.9454,0.0713,0.25804,,
