pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
mitoxantrone,BRD-K21680192,BT20,0.2564,1.0419,0.1098,0.312878,Topoisomerase inhibitor,TOP2A|PIM1
sirolimus,BRD-A79768653,NCIH596,0.2564,1.0419,0.1098,0.253362,MTOR inhibitor,MTOR|FKBP1A|CCR5|FGF2
PF-573228,BRD-K79239947,HEPG2,0.2564,1.0422,0.1098,0.313533,Focal adhesion kinase inhibitor,CDK1|CDK2|CDK7|GSK3B|IKBKB
berbamine,BRD-K50464341,PC3,0.2564,1.0421,0.1098,0.330133,Calmodulin inhibitor,CALM1
BRD-K00824317,BRD-K00824317,HEPG2,0.2564,1.0419,0.1098,0.323073,Glucocorticoid receptor agonist,NR3C1|SERPINA6
pivmecillinam,BRD-K67100011,A375,0.2564,1.0421,0.1098,0.351596,Bacterial cell wall synthesis inhibitor,
amlodipine,BRD-A22032524,A375,0.2565,1.0422,0.1101,0.303861,Calcium channel blocker,CACNA1C|CACNA1D|CACNA1S|CACNA2D1|ABCG2|CA1|CACNA1B|CACNA1F|CACNA2D3|CACNB1|CACNB2|SMPD1
YS-035,BRD-K06208435,HEPG2,0.2565,1.0424,0.1101,0.213836,Calcium channel blocker,
GSK-J4,BRD-K98203492,PC3,0.2565,1.0424,0.1101,0.434551,Histone lysine demethylase inhibitor,KDM6A|KDM6B|TNF
mepireserpate,BRD-A71765365,A375,0.2566,1.0428,0.1101,0.273843,Catechol O methyltransferase inhibitor,SLC18A2|SLC18A1
CDC,BRD-K10870738,SKB,0.2566,1.0429,0.1101,0.2338,Lipoxygenase inhibitor,ALOX12
epirubicin,BRD-K56844688,A375,0.2566,1.043,0.1101,0.743558,Topoisomerase inhibitor,TOP2A|CHD1
QS-11,BRD-K02526760,THP1,0.2566,1.0428,0.1101,0.215428,ARFGAP inhibitor,ARFGAP1
ZM-306416,BRD-K41337261,SKB,0.2567,1.0432,0.1101,0.226221,Abl inhibitor|Src inhibitor|VEGFR inhibitor,FLT1|KDR|EGFR|FLT4
thioridazine,BRD-A84481105,A549,0.2567,1.0433,0.1101,0.294479,Dopamine receptor antagonist,DRD2|HTR2A|DRD1|HTR2C|CHRNA7|MALT1|ADRA1A|ADRA1B|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR6|HTR7|KCNH2
Ro-4987655,BRD-K64538373,HELA,0.2567,1.0431,0.1101,0.317429,MEK inhibitor,MAP2K1
aphidicolin,BRD-K85140930,MCF10A,0.2568,1.0435,0.1101,0.280737,RNA synthesis inhibitor,
curcumin,BRD-K07572174,HT29,0.2568,1.0435,0.1101,0.294047,Cyclooxygenase inhibitor|Histone acetyltransferase inhibitor|Lipoxygenase inhibitor|NFKB inhibitor,PTGS1|PTGS2|CCND1|DNMT1|G6PC|MAPT|APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|XDH
JQ-1-R,BRD-K17588104,HUVEC,0.2568,1.0435,0.1101,0.346244,Bromodomain inhibitor,
doxorubicin,BRD-A52530684,HCC515,0.2568,1.0435,0.1101,0.497334,Topoisomerase inhibitor,TOP2A
MEK-162,BRD-K82244583,A375,0.2568,1.0436,0.1101,0.729476,MEK inhibitor,MAP2K1|MAP2K2|IL1R2|IL6R|TNFRSF1A
BRD-K47869605,BRD-K47869605,YAPC,0.2568,1.0436,0.1101,0.68096,Tubulin inhibitor,IGF1R|TOP2A|TUBA4A|TUBB
cytarabine,BRD-K71847383,HT29,0.2569,1.0441,0.1106,0.607444,Ribonucleoside reductase inhibitor,POLA1|POLB|POLD1|POLE
resveratrol,BRD-K80738081,HA1E,0.2569,1.044,0.1106,0.29744,Cytochrome P450 inhibitor|SIRT activator,PTGS1|SIRT1|PTGS2|APOA1|BACE1|MAOA|SCN5A|TXNRD1|TXNRD2|XDH|CSNK2A1|NQO2
bithionol,BRD-K39120595,HCC515,0.2569,1.0438,0.1104,0.611997,Autotaxin inhibitor,ESR1|ESR2|MCL1
AS-605240,BRD-K41895714,HA1E,0.2569,1.0439,0.1106,0.289822,PI3K inhibitor,PIK3CG
BRD-K61734568,BRD-K61734568,MCF10A,0.2569,1.044,0.1106,0.463207,BCL inhibitor,
bromosporine,BRD-K44665581,PC3,0.2569,1.044,0.1106,0.696662,Bromodomain inhibitor,
PF-03758309,BRD-K37764012,A375,0.2569,1.044,0.1106,0.480462,P21 activated kinase inhibitor,PAK4
niguldipine,BRD-A43331270,HA1E,0.257,1.0443,0.1115,0.281342,Adrenergic receptor antagonist|Calcium channel blocker,ADRA1A|CACNA1C
CAY-10470,BRD-K07403598,PC3,0.257,1.0445,0.1116,0.307074,NFKB inhibitor,NFKB1|TNF
iobenguane,BRD-K43860855,HT29,0.257,1.0444,0.1116,0.410347,Carcinogen,
nitrendipine,BRD-A02006392,A375,0.2571,1.0448,0.112,0.217816,Calcium channel blocker,CACNA1C|CACNA1D|CACNA2D1|CACNA1H|CACNA1S|CACNA2D2|CACNB2|CACNG1|KCNN4
SGC-CBP30,BRD-K24821794,MCF7,0.2571,1.045,0.1122,0.330226,Bromodomain inhibitor,CREBBP|EP300
tivozanib,BRD-K53414658,HT29,0.2571,1.0449,0.1122,0.526943,VEGFR inhibitor,FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB
pyrimethamine,BRD-K88429204,MCF10A,0.2572,1.045,0.1122,0.311798,Dihydrofolate reductase inhibitor,DHFRP1|HEXA|STAT3|DHFR|SLC47A1
ABT-737,BRD-K56301217,U2OS,0.2572,1.0452,0.1122,0.381774,BCL inhibitor,BCL2|BCL2L1|BCL2L2
