Gene_Symbol,in_SetA,in_SetB,in_SetC,in_SetE,SetA_present_in_SC,SetA_present_in_CTX,SetA_cross_tissue,SetA_direction_SC,SetA_direction_CTX,SetA_mRNA_source,SetB_in_SC,SetB_in_CTX,SetE_direction,SetE_SMD,SetE_FDR,n_sets,priority_tier
ITGB2,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
ITGB3,False,True,False,False,,,,,,,False,True,,,,1,Tier3
ITGB8,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
LCP1,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
LCP2,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
LRPPRC,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
MBP,False,True,False,False,,,,,,,True,False,,,,1,Tier3
MDK,False,True,False,False,,,,,,,False,True,,,,1,Tier3
MPZ,False,True,False,False,,,,,,,True,True,,,,1,Tier3
MRPL19,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
MX1,False,True,False,False,,,,,,,True,False,,,,1,Tier3
MYL6,False,True,False,False,,,,,,,True,False,,,,1,Tier3
NCAM1,False,True,False,False,,,,,,,True,False,,,,1,Tier3
NDUFA12,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
NTN1,False,False,True,False,,,,,,,,,,,,1,Tier3
PCCA,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
PEA15,False,True,False,False,,,,,,,True,False,,,,1,Tier3
PODN,False,True,False,False,,,,,,,False,True,,,,1,Tier3
POLR2E,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
PPP6C,False,True,False,False,,,,,,,True,False,,,,1,Tier3
PRODH,True,False,False,False,False,True,False,,DOWN,,,,,,,1,Tier3
PRPH,False,True,False,False,,,,,,,True,False,,,,1,Tier3
PSME1,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
PTPN12,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
PTPRC,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
RBM6,False,False,True,False,,,,,,,,,,,,1,Tier3
RPA2,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
SAA2,False,True,False,False,,,,,,,False,True,,,,1,Tier3
SFPQ,False,True,False,False,,,,,,,True,False,,,,1,Tier3
SH3BP2,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
SLC39A14,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
SPON1,False,False,True,False,,,,,,,,,,,,1,Tier3
STIP1,False,False,True,False,,,,,,,,,,,,1,Tier3
SVIL,False,True,False,False,,,,,,,False,True,,,,1,Tier3
SYPL1,True,False,False,False,True,False,False,UP,,GEO_merged,,,,,,1,Tier3
TFAM,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
THNSL2,False,True,False,False,,,,,,,False,True,,,,1,Tier3
THRA,True,False,False,False,True,False,False,DOWN,,GEO_merged,,,,,,1,Tier3
TNXB,False,True,False,False,,,,,,,False,True,,,,1,Tier3
TYMP,False,True,False,False,,,,,,,False,True,,,,1,Tier3
VGF,False,False,True,False,,,,,,,,,,,,1,Tier3
VTN,False,True,False,False,,,,,,,False,True,,,,1,Tier3
