Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
QARS,-0.186636349,0.037785392,0.328,1,0.514636349,ambiguous
MOGS,-0.2302584,0.038272563,-0.613,1,-0.3827416,ambiguous
RALGAPB,0.136898028,0.038400144,-0.148,1,-0.28489802799999997,ambiguous
CLASP2,0.244564393,0.038488188,-0.654,1,-0.898564393,ambiguous
MTPN,0.273856993,0.038751805,-0.779,1,-1.052856993,ambiguous
RTN4,0.292621116,0.038788589,-0.303,1,-0.595621116,ambiguous
DIS3L2,-0.203350836,0.038948053,-0.648,1,-0.444649164,ambiguous
COPS2,0.290373155,0.039119901,-0.714,1,-1.004373155,ambiguous
RALA,0.225655612,0.039142039,-0.145,1,-0.37065561199999997,ambiguous
ATG4B,-0.212580594,0.039781637,-0.976,1,-0.7634194059999999,ambiguous
YWHAE,0.212820895,0.039990753,-0.225,1,-0.437820895,ambiguous
PDE1A,0.322951135,0.040179189,-0.416,1,-0.738951135,ambiguous
USP9X,0.205466061,0.04051502,-0.285,1,-0.490466061,ambiguous
WDFY3,0.159351046,0.040635746,-0.586,1,-0.7453510459999999,ambiguous
ARL8B,0.277459538,0.041175033,-0.312,1,-0.5894595380000001,ambiguous
PRUNE2,0.346339592,0.041247276,0.19,1,-0.15633959199999997,ambiguous
CSE1L,0.274000113,0.041492555,-0.436,1,-0.710000113,ambiguous
CPEB2,0.26847798,0.041909056,0.374,1,0.10552202,ambiguous
SOD1,0.237153456,0.041926067,0.966,1,0.7288465439999999,ambiguous
RBBP4,0.166365805,0.042028704,-0.224,1,-0.390365805,ambiguous
LIMCH1,0.225667245,0.042392335,0.527,1,0.301332755,ambiguous
EIF3A,0.154289138,0.042837157,-0.555,1,-0.709289138,ambiguous
SCRN1,0.164239428,0.042868063,-0.384,1,-0.548239428,ambiguous
CRKL,0.114677939,0.043564748,-0.25,1,-0.364677939,ambiguous
PPP1R21,0.147682057,0.043593546,-1.33,1,-1.477682057,ambiguous
HACD3,0.223017887,0.043793604,0.398,1,0.17498211300000002,ambiguous
DNAJB6,0.217018778,0.043983479,-1.72,1,-1.9370187779999999,ambiguous
MFF,0.142780596,0.043994028,0.077,1,-0.06578059600000001,ambiguous
TSC2,-0.240435301,0.044048905,0.367,1,0.607435301,ambiguous
NDUFAF4,0.364045338,0.044597045,0.193,1,-0.171045338,ambiguous
NECAB1,0.387953862,0.044788451,-1.55,1,-1.937953862,ambiguous
CCT5,0.226191214,0.045527145,-0.489,1,-0.715191214,ambiguous
CCT7,0.202825277,0.045829331,-0.571,1,-0.7738252769999999,ambiguous
RANBP9,0.181463219,0.046085655,0.0696,1,-0.11186321900000001,ambiguous
NF1,0.147277369,0.046118664,0.241,1,0.093722631,ambiguous
LZTFL1,0.313347195,0.046189968,-1.01,1,-1.323347195,ambiguous
OXCT1,0.288660212,0.04641634,-0.388,1,-0.676660212,ambiguous
CCT2,0.244243335,0.046419975,-0.162,1,-0.406243335,ambiguous
DRG2,-0.180354973,0.046769573,-0.299,1,-0.11864502699999999,ambiguous
ARFGAP1,-0.249971418,0.04735153,0.199,1,0.448971418,ambiguous
EIF2AK2,0.173140904,0.047418567,-0.034,1,-0.20714090400000001,ambiguous
RAB21,0.227838449,0.047518798,-0.61,1,-0.8378384489999999,ambiguous
DLG1,0.260016723,0.047687603,-0.452,1,-0.7120167230000001,ambiguous
SSB,0.194989491,0.047834326,-0.622,1,-0.816989491,ambiguous
RPS6KB1,0.131056677,0.047859909,-0.176,1,-0.307056677,ambiguous
CAPZA1,0.225656658,0.04827978,-0.045,1,-0.270656658,ambiguous
HECW2,0.162021852,0.048565517,-0.911,1,-1.073021852,ambiguous
DNAJC13,0.134607599,0.048902214,-0.47,1,-0.6046075989999999,ambiguous
DMXL1,0.18303408,0.049629868,-0.213,1,-0.39603407999999996,ambiguous
ENDOD1,0.369726106,0.049940317,0.456,1,0.08627389400000002,ambiguous
AGAP1,0.164760029,0.050400057,-0.352,1,-0.516760029,ambiguous
HNRNPA1,0.233869351,0.050652831,0.144,1,-0.08986935100000001,ambiguous
XPOT,0.193888226,0.050842368,-0.561,1,-0.754888226,ambiguous
GDI2,0.23917411,0.051282646,0.378,1,0.13882589,ambiguous
VAPA,0.205651764,0.051349268,1.44,1,1.234348236,ambiguous
AGFG1,0.193528747,0.051349268,-0.345,1,-0.538528747,ambiguous
AIP,0.212558898,0.051349268,0.041,1,-0.171558898,ambiguous
HSPB1,0.776459331,0.051349268,0.0958,1,-0.680659331,ambiguous
BAG2,0.335693056,0.051387194,-0.367,1,-0.702693056,ambiguous
FKBP4,0.334155337,0.051514961,-1.08,1,-1.414155337,ambiguous
CNTN1,0.259963535,0.051561863,-0.0664,1,-0.32636353500000004,ambiguous
NPLOC4,-0.150861404,0.052014537,-0.639,1,-0.488138596,ambiguous
HNRNPR,0.164351958,0.052035461,-0.153,1,-0.317351958,ambiguous
PICALM,0.273318902,0.052537844,-0.92,1,-1.1933189020000001,ambiguous
NPM1,0.249825409,0.052937061,0.284,1,0.034174590999999976,ambiguous
TBC1D15,0.205211473,0.053011733,0.134,1,-0.071211473,ambiguous
COPB2,0.195613896,0.05302022,0.091,1,-0.10461389600000001,ambiguous
PMP2,0.492992052,0.053065266,0.188,1,-0.304992052,ambiguous
WDR26,0.152064317,0.053065266,-0.111,1,-0.263064317,ambiguous
PLEKHA1,0.220225061,0.053105538,-0.103,1,-0.323225061,ambiguous
GAK,-0.211839941,0.053995523,0.0964,1,0.308239941,ambiguous
MTX1,-0.185086728,0.054041934,0.951,1,1.136086728,ambiguous
YWHAQ,0.23092894,0.054669114,-0.307,1,-0.53792894,ambiguous
STK39,0.2258186,0.055070668,-0.0897,1,-0.3155186,ambiguous
ABCD3,0.230229294,0.055089854,0.161,1,-0.069229294,ambiguous
MCU,0.220394746,0.055250241,0.497,1,0.276605254,ambiguous
RPL17,0.298705654,0.055271251,-0.192,1,-0.490705654,ambiguous
PUM1,0.12219305,0.055418597,0.315,1,0.19280695,ambiguous
RANBP6,0.304965913,0.055536983,-0.606,1,-0.910965913,ambiguous
PSD3,0.285616662,0.055694337,-0.389,1,-0.674616662,ambiguous
RPL7A,0.226221203,0.055694337,0.00607,1,-0.22015120300000002,ambiguous
HBS1L,0.224035309,0.055702995,0.0673,1,-0.156735309,ambiguous
CFL2,0.425313706,0.056193658,-0.079,1,-0.504313706,ambiguous
RCN1,0.327884479,0.056193658,0.583,1,0.25511552099999996,ambiguous
LARS,0.136512776,0.056257355,-0.323,1,-0.459512776,ambiguous
SEC22B,0.17932595,0.05735892,-0.388,1,-0.5673259500000001,ambiguous
PAICS,0.177687584,0.057619539,0.388,1,0.210312416,ambiguous
DYNLL1,0.245567369,0.057772992,-0.0399,1,-0.285467369,ambiguous
CKAP5,0.157621892,0.05879486,-0.251,1,-0.408621892,ambiguous
VTA1,0.287219472,0.059548568,-1.93,1,-2.217219472,ambiguous
CD47,0.237347471,0.059597638,0.192,1,-0.045347471,ambiguous
XPO7,0.11459812,0.059949315,-1.3,1,-1.41459812,ambiguous
NPEPPS,0.16063685,0.059949315,0.0636,1,-0.09703685,ambiguous
EXOC8,0.168645381,0.060086469,-0.427,1,-0.595645381,ambiguous
TBK1,0.207758897,0.060792347,-1.11,1,-1.317758897,ambiguous
EPM2AIP1,0.210868558,0.061646952,0.165,1,-0.045868558000000004,ambiguous
RPL6,0.210183621,0.061668897,-0.107,1,-0.31718362099999997,ambiguous
CCT6A,0.214304916,0.061751802,-0.109,1,-0.323304916,ambiguous
MAPK1,0.193043209,0.061802275,-0.243,1,-0.436043209,ambiguous
LSAMP,0.213249703,0.062764509,-0.0865,1,-0.29974970300000003,ambiguous
PPP6R2,-0.177921354,0.06309671,0.166,1,0.343921354,ambiguous
KTN1,0.266360612,0.063140924,0.0599,1,-0.206460612,ambiguous
AGRN,-0.389830381,0.063718869,-0.015,1,0.374830381,ambiguous
AHSA1,0.302860989,0.063747396,0.0356,1,-0.267260989,ambiguous
RPTOR,-0.182157227,0.063909177,0.00613,1,0.188287227,ambiguous
AKT3,0.213493173,0.064502891,-0.0506,1,-0.264093173,ambiguous
SARS2,-0.253939688,0.065300132,-0.448,1,-0.194060312,ambiguous
KIF5C,0.171254556,0.065551108,-0.425,1,-0.596254556,ambiguous
CTNNB1,0.186135949,0.065713175,0.0487,1,-0.137435949,ambiguous
RAP1GAP,-0.31252051,0.066508019,0.0408,1,0.35332051,ambiguous
CAMSAP2,0.188546188,0.066983256,0.31,1,0.121453812,ambiguous
TCP11L1,0.142451331,0.066983256,-0.374,1,-0.516451331,ambiguous
UHRF1BP1L,0.222250312,0.066983256,0.169,1,-0.053250311999999994,ambiguous
MAPK10,0.278409491,0.066983256,-0.398,1,-0.676409491,ambiguous
OPA1,0.2328457,0.067007668,-0.347,1,-0.5798456999999999,ambiguous
RPL15,0.22502737,0.067226355,0.16,1,-0.06502737,ambiguous
DYNC1I2,0.286181086,0.067312464,0.915,1,0.628818914,ambiguous
RPL4,0.21276417,0.067312464,0.162,1,-0.05076417,ambiguous
