Gene_Symbol,protein_logFC,protein_adjPval
NUBPL,0.915,0.755
MYH11,1.65,0.757
LMNA,0.958,0.761
PGD,1.8,0.762
STK38L,-0.595,0.764
MLC1,1.82,0.772
FYN,0.441,0.774
HTT,-0.641,0.774
GPD1,0.989,0.775
THNSL1,0.432,0.776
PARP1,0.772,0.78
SPTBN2,-0.409,0.785
AP5Z1,1.24,0.786
NEFH,-0.546,0.786
LHPP,1.02,0.794
HNRNPH3,0.681,0.795
GCN1L1,0.816,0.796
AKT1,-1.03,0.798
AHSA1,-0.575,0.799
HSPA4L,-0.534,0.803
LAP3,0.681,0.804
GNAI3,0.658,0.806
TAGLN2,1.27,0.807
CADPS,-0.576,0.808
RAB11FIP5,-1.07,0.808
ADAP1,-0.864,0.816
PRDX1,0.486,0.816
PYGM,-0.473,0.818
MADD,-0.735,0.819
NOP58,1.12,0.821
TCP11L1,-0.632,0.821
CAP2,-0.514,0.822
RPL30,1.5,0.822
ENTPD2,1.37,0.823
P0DP25,0.864,0.825
ATP6V1F,-1.36,0.826
CCT2,-0.296,0.83
LIMCH1,-0.774,0.83
NDUFB7,0.884,0.83
PFN2,0.58,0.83
SYN1,-0.429,0.831
HIST1H1E,0.821,0.832
HECTD3,-1.01,0.833
NEFM,-0.523,0.833
TRAP1,-0.538,0.833
NID2,1.06,0.837
SBF2,0.935,0.839
SORD,1.7,0.839
BCAS3,0.831,0.84
HIST1H4A,0.879,0.84
MVD,-1.63,0.841
OSBPL1A,-1.05,0.842
PREX1,0.971,0.843
PACS1,0.703,0.844
SYN3,-0.883,0.844
GNB5,-0.627,0.845
ADAR,1.03,0.846
PSMD3,-0.586,0.846
ATP8A1,-1.05,0.847
COL6A2,1.54,0.848
HEBP1,1.36,0.849
NCL,0.955,0.849
MATR3,0.463,0.85
RPLP2,0.813,0.85
EPPK1,-1.89,0.851
TNFAIP2,1.23,0.851
NSF,-0.408,0.853
SH3BGRL2,1.01,0.854
ACSF2,0.695,0.856
SEPT5,-0.453,0.856
PRKCE,-0.607,0.858
RAB1A,1.24,0.858
GDAP1,-0.426,0.859
ANXA11,1.0,0.861
COMT,0.459,0.861
EIF4G3,-0.727,0.861
EZR,-0.633,0.861
MX1,1.0,0.861
PRKAB2,-1.51,0.862
SRR,0.435,0.862
ACSBG1,1.14,0.867
MCTS1,-0.823,0.868
NFS1,-2.02,0.868
WARS,1.0,0.871
WDR44,-0.97,0.872
TPM3,0.757,0.873
SEC31A,-1.01,0.874
AP2B1,-0.646,0.876
CTBP1,-0.805,0.876
ACTR1A,-0.319,0.877
MLST8,-0.946,0.877
CFL2,1.18,0.878
NUMA1,0.671,0.879
KIF3A,-0.393,0.88
PADI2,0.655,0.881
PSMD12,-0.931,0.881
AGPAT3,0.771,0.882
ATP9A,2.39,0.882
TRAPPC10,0.459,0.882
ACADVL,0.481,0.883
NEDD8,0.574,0.883
SDSL,-0.453,0.883
U2AF1,0.869,0.883
UBE2L3,1.14,0.883
FLNA,0.582,0.884
ACSF3,0.766,0.885
AP2A1,-0.292,0.885
SYNPO,-0.836,0.885
RASGRP2,-1.32,0.886
SH3GL2,-0.698,0.886
ECM29,-0.716,0.887
CCT6A,-0.399,0.888
CKB,-0.504,0.888
ESYT2,-1.08,0.888
CAPRIN1,0.533,0.889
ULK3,-0.823,0.889
EDC4,0.43,0.89
ARHGAP12,-1.08,0.892
CCDC92,-0.65,0.892
CNPY2,-1.2,0.892
NAMPT,0.56,0.892
PHKA1,0.641,0.892
ARPC1B,0.733,0.893
RPL23,0.46,0.894
TBC1D15,0.717,0.894
DYNLL2,-0.391,0.895
EXD2,-1.14,0.895
PAICS,0.762,0.895
RGL2,0.789,0.895
RUFY3,-0.345,0.895
S100A10,1.36,0.895
MARK2,-0.416,0.896
PCYT2,-0.934,0.896
RAB3A,-1.55,0.897
UPF1,0.302,0.898
RPL15,0.98,0.899
GNAS,0.268,0.9
LIMS1,0.411,0.9
RPLP0,0.488,0.9
DDAH2,0.667,0.901
FUBP3,0.798,0.901
PDXK,-0.385,0.901
UBE3C,-0.861,0.901
UHRF1BP1L,-0.976,0.901
ABR,0.346,0.902
FBN1,1.91,0.902
SEC23A,0.303,0.902
SNX27,-0.702,0.902
CYB5R1,-0.963,0.903
ESD,0.735,0.903
HSP90AB2P,-0.386,0.903
HSPA12A,-0.407,0.903
SNX4,0.369,0.903
GARS,-0.602,0.904
GPI,-0.556,0.904
HSPH1,-0.481,0.904
MYEF2,1.01,0.904
RPSA,1.3,0.904
FERMT2,-1.08,0.905
FLNB,1.09,0.905
FSD1L,-0.568,0.905
TPP1,0.571,0.905
ACAT1,0.796,0.906
CLIP2,-0.898,0.906
FAM98B,-1.02,0.906
HEPACAM,0.675,0.906
RABGGTA,-0.581,0.906
RPL38,1.0,0.906
FARSB,-0.427,0.907
MYL12A,0.619,0.907
SCCPDH,0.995,0.907
COL18A1,1.26,0.908
ICA1L,-0.615,0.908
PLXNA1,-0.78,0.908
SYNE1,-0.5,0.908
TRIM3,-0.818,0.908
ACTN4,0.594,0.909
IGBP1,-0.609,0.909
INA,-0.441,0.909
PPP2R1A,-0.356,0.909
VPS41,-0.802,0.909
CACYBP,-0.412,0.911
DLG4,-0.874,0.911
EIF2S1,-1.35,0.911
HSPG2,2.1,0.911
IDH3A,-0.401,0.911
LIN7A,0.689,0.911
RPL32,1.07,0.911
MYPN,-3.12,0.912
SUCLG2,0.483,0.912
BRSK1,-1.13,0.913
GDAP1L1,-0.532,0.913
ATP5C1,-0.267,0.914
AMPH,-0.835,0.915
NRBP2,0.459,0.915
PURA,-0.522,0.915
SRGAP3,-0.827,0.915
CLTC,-0.408,0.916
VWA8,0.614,0.916
AP1M1,-1.22,0.917
ARHGEF6,0.544,0.917
ATXN10,-0.579,0.917
CRYAB,0.349,0.917
DYNC1I1,-0.495,0.917
ELMOD1,-0.665,0.917
GNB4,0.961,0.917
HIST2H2AC,0.746,0.917
FDXR,-0.863,0.918
MAPRE3,-0.472,0.918
PFKM,-0.522,0.918
PPFIA3,-0.274,0.918
PTRF,0.658,0.918
CASP1,0.953,0.919
GLRX5,-1.01,0.919
PBXIP1,0.535,0.919
WARS2,0.997,0.919
ADSS,-1.26,0.92
CBR1,-0.536,0.92
CCAR2,1.05,0.92
RRAS,1.13,0.92
ADD2,-0.552,0.921
INPP4A,-0.843,0.921
LAMC1,0.842,0.921
MPP1,-0.363,0.921
PI4KA,-0.694,0.921
SNAP91,-0.99,0.921
SUGT1,-0.677,0.921
ACACA,-0.347,0.922
ACAT2,-0.484,0.922
RPS13,0.35,0.922
ARHGAP1,0.45,0.923
IARS,-0.778,0.923
SLC4A4,0.619,0.923
TXNDC5,-0.695,0.923
APRT,-1.03,0.924
FGG,1.0,0.924
HSD17B10,-0.66,0.924
PFKFB2,-0.566,0.924
RRAS2,0.905,0.924
UBR4,-0.372,0.924
CTNND2,0.493,0.925
PPP2R5B,-0.849,0.925
FASN,-0.358,0.926
IGHG1,1.28,0.926
PSMD7,-0.325,0.926
QDPR,0.896,0.926
AP1G1,-0.628,0.927
ATG3,0.505,0.927
EIF3L,0.923,0.927
FAM129B,0.905,0.927
KIF21A,-0.28,0.927
MBP,0.545,0.927
SYNGAP1,1.09,0.927
CTNNB1,0.424,0.928
DNAJA4,-0.73,0.928
PLXNC1,0.755,0.928
PRELP,0.979,0.928
SLC12A5,-0.592,0.928
STK24,-0.757,0.928
DNM1L,-0.33,0.929
HNRNPH2,0.368,0.929
LGALS1,0.653,0.929
NEFL,-0.391,0.929
DNM3,-0.302,0.93
HIGD1A,0.698,0.93
MAST1,-0.647,0.93
EHD2,0.377,0.931
GLS,-0.3,0.931
GUK1,-0.314,0.931
HP1BP3,0.95,0.931
MGST3,-0.41,0.931
PPP2R4,-2.28,0.931
ARMC6,-0.99,0.932
COL6A3,0.604,0.932
FH,-0.703,0.932
HSP90B1,-0.72,0.932
LAMA4,1.27,0.932
RAB1B,-0.539,0.932
IGKC,1.39,0.933
NPLOC4,-0.624,0.933
RPL10A,0.424,0.933
SUCLA2,-0.392,0.933
TUBG2,-0.435,0.933
ACTR2,0.248,0.934
CECR5,1.08,0.934
GLRX3,-0.526,0.934
NDUFA13,0.537,0.934
PMVK,0.296,0.934
PPM1E,-0.948,0.934
ADD3,0.484,0.935
CTNNA3,0.385,0.935
HSP90AA1,-0.353,0.935
NCKIPSD,-0.262,0.935
PDXP,-0.761,0.935
PKM,0.356,0.935
SH3BGRL,0.762,0.935
ACSL3,-0.356,0.936
ATP1A2,0.439,0.936
CLIC1,0.702,0.936
GLUD1,0.395,0.936
HBS1L,-0.457,0.936
RANBP6,-0.48,0.936
SGTA,0.573,0.936
VCP,0.406,0.936
BCAN,0.856,0.937
DOCK4,0.453,0.937
MYO5A,-0.223,0.937
NCAM1,0.513,0.937
S100A1,1.23,0.937
SLC4A1,1.07,0.937
COPS7A,-0.633,0.938
EPB41L1,-0.23,0.938
EPHX1,1.09,0.938
GDI2,0.457,0.938
HGS,-0.543,0.938
ARPC1A,-0.242,0.939
NME2,0.313,0.939
NPM1,0.398,0.939
PAFAH1B1,-0.275,0.939
RPS27A,0.387,0.939
STXBP3,-0.346,0.939
UBQLN2,-0.884,0.939
UCHL5,-0.82,0.939
AARS,-0.298,0.94
EPB41L3,-0.217,0.94
HARS,-0.757,0.94
METTL7A,0.665,0.94
PRPF8,1.21,0.94
PRUNE2,-0.723,0.94
TOMM70A,-0.796,0.94
TRIM25,0.474,0.94
CASKIN1,-0.687,0.941
DNAJB4,-0.51,0.941
FIS1,0.782,0.941
H2AFY,0.529,0.941
IMPA1,0.983,0.941
MAP2K1,-0.322,0.941
OPALIN,-0.994,0.941
PFKP,-0.286,0.941
PSMC2,0.349,0.941
RPH3A,-0.527,0.941
SACS,-0.529,0.941
TSC2,0.787,0.941
UFL1,0.263,0.941
AGRN,0.855,0.942
CHDH,0.462,0.942
GNAQ,-0.313,0.942
MTHFD1,-0.373,0.942
MTMR10,-0.562,0.942
NID1,0.725,0.942
RPL17,0.262,0.942
SENP8,-0.653,0.942
SFPQ,1.01,0.942
SIK3,-0.518,0.942
CAMK1,0.944,0.943
MAP1A,-0.241,0.943
MLF2,0.409,0.943
NEK7,0.366,0.943
PPP2R5D,-0.217,0.943
VPS13A,-1.41,0.943
ARF1,-0.392,0.944
ATAD3A,0.396,0.944
CDC42,0.451,0.944
COPS6,-0.397,0.944
CORO1B,0.744,0.944
GID8,-0.584,0.944
NDUFB4,1.0,0.944
NOVA2,-0.584,0.944
OMG,0.461,0.944
RPS15,0.454,0.944
TNPO2,-0.699,0.944
TNR,0.536,0.944
KIF5C,-0.286,0.945
NUDT2,0.977,0.945
PRKAG2,-0.885,0.945
SORBS1,1.08,0.945
TUBB6,0.701,0.945
ALDH2,0.524,0.946
CCT7,-0.26,0.946
HBA1,0.568,0.946
NTMT1,-0.874,0.946
PARK7,0.491,0.946
PEA15,0.7,0.946
PGLS,-0.652,0.946
PRDX2,0.474,0.946
TIGAR,-0.768,0.946
TUBA1A,-0.264,0.946
WDR37,-0.689,0.946
ARHGEF7,-0.723,0.947
CCT3,-0.225,0.947
CPT2,-0.652,0.947
DYNC1H1,-0.218,0.947
FARSA,-0.322,0.947
MAST3,0.708,0.947
ME3,-0.72,0.947
SDR39U1,-0.494,0.947
SLC1A3,0.453,0.947
SYNJ1,-0.765,0.947
ARL6,0.5,0.948
ASNA1,-0.261,0.948
CALB2,-0.701,0.948
DNAJC13,0.342,0.948
HSPA12B,-0.803,0.948
KIAA1217,1.03,0.948
LARP1,-0.407,0.948
MUT,0.419,0.948
PACSIN1,-0.806,0.948
RUVBL1,0.384,0.948
ACADM,-0.606,0.949
ATP6V0C,0.62,0.949
CUL2,-0.668,0.949
DDB1,0.481,0.949
DYNLT3,-0.477,0.949
FLII,-0.666,0.949
GUCY1B3,-0.651,0.949
HNRNPC,0.316,0.949
HNRNPD,0.53,0.949
HSP90AB1,-0.32,0.949
MAPK8IP3,-0.269,0.949
MPP6,0.597,0.949
NDUFS7,-0.677,0.949
PGK1,0.363,0.949
SLC25A12,-0.303,0.949
CDC42BPA,-0.898,0.95
IPO11,-0.379,0.95
MTCH2,0.524,0.95
OLA1,-0.615,0.95
RPL7A,0.412,0.95
SEPT4,-0.325,0.95
CALU,0.241,0.951
COPB1,0.304,0.951
CPNE1,-0.626,0.951
ENO1,0.293,0.951
GOLGA3,0.637,0.951
MAOA,0.957,0.951
MSN,0.378,0.951
NRBP1,-0.424,0.951
PPP6R2,-0.663,0.951
PTPRN,-0.638,0.951
RPL7,0.338,0.951
SNRNP200,0.741,0.951
SPTA1,0.891,0.951
CTNND1,0.259,0.952
IQGAP1,0.774,0.952
PIK3R4,-0.582,0.952
PMP2,0.725,0.952
RBBP4,0.771,0.952
SUSD2,1.11,0.952
TOM1L2,-0.616,0.952
WDR47,-0.977,0.952
AQP1,0.495,0.953
EHD3,-0.285,0.953
KTN1,-0.736,0.953
NDUFA10,-0.239,0.953
NT5E,0.742,0.953
PHYHIPL,-0.892,0.953
RPL10,0.321,0.953
RPL24,0.713,0.953
S100A6,1.45,0.953
CNTN1,0.308,0.954
ECHDC1,-0.95,0.954
GSN,0.232,0.954
HDLBP,0.2,0.954
MAT2A,-0.58,0.954
NDUFV1,-0.267,0.954
PCMT1,0.4,0.954
PDHB,-0.364,0.954
RAP1GDS1,-0.415,0.954
SEPT3,-0.33,0.954
SHMT2,-0.719,0.954
TJP2,0.408,0.954
ACAA2,0.55,0.955
ANKMY2,-0.768,0.955
ARL1,-0.655,0.955
ATG5,-0.595,0.955
ATP6V1H,-0.269,0.955
CORO2B,-0.497,0.955
EFHD2,0.79,0.955
IMPACT,-0.906,0.955
RPL3,0.374,0.955
RPL5,0.84,0.955
TSN,-0.738,0.955
VPS29,-0.594,0.955
XPO1,-0.292,0.955
XPO7,-0.716,0.955
ANLN,-0.367,0.956
COX7A2,-0.805,0.956
DAAM2,-0.416,0.956
DDAH1,0.304,0.956
EEF1B2,-0.86,0.956
GJA1,0.417,0.956
GNAZ,-0.774,0.956
GYS1,-0.247,0.956
MYLK,0.514,0.956
OXCT1,-0.452,0.956
PIP4K2B,-0.339,0.956
PRKACB,-0.359,0.956
PRPF19,0.402,0.956
RPS6KA5,0.672,0.956
SBSPON,0.881,0.956
SCP2,-0.882,0.956
SERPINA1,1.12,0.956
SPTBN4,-0.194,0.956
TRIM2,-0.244,0.956
UGGT1,-0.635,0.956
YWHAG,-0.394,0.956
ALDH1A1,0.558,0.957
CBS,-0.634,0.957
HNRNPU,0.337,0.957
KIF2A,-0.371,0.957
LDHB,0.362,0.957
LRRC40,0.681,0.957
LSAMP,0.606,0.957
MYO6,0.217,0.957
NAPB,-0.28,0.957
NUDCD3,-0.407,0.957
OTUB1,-0.269,0.957
PARVA,0.678,0.957
PPM1F,-0.523,0.957
RHEB,0.726,0.957
RPS6,-0.942,0.957
TARDBP,0.345,0.957
UNC45A,-0.51,0.957
UQCR10,0.62,0.957
AVIL,0.34,0.958
CCT4,-0.201,0.958
COL6A1,0.514,0.958
DOCK7,0.541,0.958
GFAP,0.6,0.958
GRIPAP1,-0.487,0.958
GSTT2B,0.865,0.958
GYG2,-0.588,0.958
HECTD4,-0.763,0.958
IFIT1,0.614,0.958
SNPH,0.759,0.958
STAT6,0.558,0.958
TMOD1,0.488,0.958
CA2,0.809,0.959
CLASP2,-0.778,0.959
DBT,0.635,0.959
DMWD,-0.596,0.959
EPM2A,0.396,0.959
LIPE,-0.336,0.959
MICAL1,0.428,0.959
PRKAA2,-0.245,0.959
PRKAR1A,-0.256,0.959
RPL19,-1.02,0.959
SPARC,-0.315,0.959
TUFM,0.274,0.959
VDAC2,-0.404,0.959
ABLIM2,-0.397,0.96
ANKIB1,0.461,0.96
APBA2,-0.367,0.96
EIF3B,-0.459,0.96
FTL,0.501,0.96
LAMA2,0.806,0.96
LAMB2,0.49,0.96
LANCL2,-0.429,0.96
MARCKSL1,1.04,0.96
NCAN,0.725,0.96
NIT2,-0.7,0.96
PC,0.249,0.96
PRPH,0.573,0.96
PTPRS,-0.226,0.96
QKI,0.28,0.96
RAP1GAP,-0.496,0.96
SLC25A25,-0.353,0.96
STK39,-0.553,0.96
YES1,0.471,0.96
ACTC1,0.269,0.961
ALDH5A1,-1.04,0.961
ASAH1,0.877,0.961
C14orf166,-0.456,0.961
DPYSL3,0.264,0.961
EIF3H,-0.648,0.961
FN3K,-0.203,0.961
HBD,0.793,0.961
HNRNPUL2,0.766,0.961
HSPA9,-0.251,0.961
LRRC8A,0.535,0.961
LUC7L2,0.482,0.961
PAFAH1B3,-0.316,0.961
PCLO,-0.797,0.961
PEBP1,0.409,0.961
PRKAG1,-0.434,0.961
SRP72,-0.442,0.961
TMEM43,0.375,0.961
USP9X,-0.288,0.961
AARSD1,-0.857,0.962
ADAM22,0.464,0.962
AGPAT4,-0.783,0.962
APPL2,0.453,0.962
ARVCF,0.366,0.962
CAND1,0.372,0.962
CLDN11,-0.569,0.962
CTNNA2,0.309,0.962
FAM63A,-0.802,0.962
HNRNPA2B1,0.286,0.962
PITPNA,0.462,0.962
PSMD1,-0.226,0.962
RPS17,-0.835,0.962
SARS,-0.337,0.962
STX1B,-0.389,0.962
WDR7,-0.337,0.962
AK5,0.518,0.963
ANKFY1,0.229,0.963
ATPAF1,-0.585,0.963
BGN,0.827,0.963
CPNE3,0.308,0.963
CRMP1,-0.302,0.963
HNRNPA0,0.355,0.963
IDH3G,-0.196,0.963
IFIT3,0.568,0.963
MMAA,0.465,0.963
NBAS,0.238,0.963
OSBPL2,-0.72,0.963
PDE1B,-0.608,0.963
PDLIM5,0.477,0.963
PTBP1,0.567,0.963
RPS3A,0.382,0.963
SH3PXD2A,-0.316,0.963
SRPRB,-0.736,0.963
STRN4,-0.4,0.963
TNS1,-0.447,0.963
USP14,-0.381,0.963
USP7,-0.506,0.963
VAT1L,-0.361,0.963
VWA1,0.816,0.963
ABCE1,-1.01,0.964
ACTR1B,-0.698,0.964
AGL,0.575,0.964
AKR1C3,1.07,0.964
AP2A2,-0.226,0.964
ATP6V1A,-0.196,0.964
BBOX1,0.615,0.964
CIRBP,-0.615,0.964
EFTUD2,0.227,0.964
HLA-A,0.557,0.964
HNRNPLL,0.531,0.964
LGI3,-0.918,0.964
NT5DC1,0.568,0.964
PFKL,0.18,0.964
PPP2CA,-0.186,0.964
RHOG,-0.336,0.964
RTCA,-0.398,0.964
TJP1,0.612,0.964
TUBA4A,-0.275,0.964
UQCRC2,0.252,0.964
XPOT,-0.652,0.964
ARHGAP35,-0.293,0.965
ATG4B,-0.512,0.965
ATP5A1,-0.198,0.965
AVL9,0.413,0.965
CAPS,0.756,0.965
CC2D1B,-0.632,0.965
CDC42BPB,0.254,0.965
CNRIP1,-0.471,0.965
CRYM,0.648,0.965
H2AFV,0.667,0.965
HBB,0.38,0.965
KIF5A,-0.206,0.965
MVK,-0.889,0.965
NANS,-0.733,0.965
NDRG2,0.313,0.965
PLP1,0.464,0.965
PSMD13,-0.168,0.965
RALA,0.354,0.965
RPL6,0.319,0.965
RPLP1,1.14,0.965
TBC1D4,-0.591,0.965
VARS,-0.348,0.965
VPS26A,-0.612,0.965
VPS52,-0.241,0.965
ATG2B,-0.511,0.966
ATL1,-0.21,0.966
ATP5B,-0.214,0.966
CYP27A1,0.585,0.966
DGKB,0.416,0.966
KIF1A,-0.237,0.966
KNDC1,-0.469,0.966
LAMA5,0.492,0.966
MFF,0.175,0.966
OGDHL,-0.333,0.966
PDCD6IP,-0.244,0.966
PDHA1,0.459,0.966
PRKAA1,-0.517,0.966
RAP2A,-0.781,0.966
TRAPPC9,-0.624,0.966
TUBB2B,0.328,0.966
UBA1,-0.287,0.966
ADCY9,-0.303,0.967
ALDOC,-0.258,0.967
ATP2B1,-0.195,0.967
CHCHD6,-0.585,0.967
CNPY3,-0.437,0.967
CPT1A,-0.543,0.967
CRK,-0.652,0.967
DIS3L2,-0.429,0.967
HIST2H2BE,0.472,0.967
HSPA4,-0.338,0.967
INPP5D,0.426,0.967
MDH2,0.334,0.967
PALM,-0.253,0.967
PHKB,0.396,0.967
PLEKHA5,0.404,0.967
PLIN3,-0.378,0.967
PTPRZ1,0.298,0.967
RPS21,0.456,0.967
RPTOR,-0.425,0.967
SLC44A1,0.883,0.967
SNX3,0.241,0.967
SPG20,-0.652,0.967
SULT1A1,0.759,0.967
TBC1D10B,-0.484,0.967
TPPP,-0.463,0.967
TROVE2,-0.555,0.967
UBXN6,-0.188,0.967
USP11,-0.36,0.967
ACO2,0.233,0.968
ALDH7A1,0.754,0.968
DCTN2,-0.292,0.968
FAM213B,-0.547,0.968
GK,0.408,0.968
GRHPR,0.495,0.968
HIST1H1C,1.33,0.968
IVD,0.314,0.968
MT-CO1,-0.971,0.968
MTPN,0.633,0.968
PSMD6,-0.222,0.968
PTGES3,-0.233,0.968
STK32C,-0.291,0.968
TUBA1B,-0.278,0.968
YARS,-0.506,0.968
AHCYL1,-0.409,0.969
ARCN1,-0.554,0.969
BAG6,-0.238,0.969
BIN1,-0.455,0.969
CAMK2B,-0.29,0.969
CCDC6,-0.455,0.969
CCT8,-0.177,0.969
CLU,0.251,0.969
CTSD,0.499,0.969
DOCK3,-0.401,0.969
GAPDH,0.259,0.969
GLUL,0.596,0.969
GSTP1,0.458,0.969
ITSN1,0.345,0.969
LARS2,0.564,0.969
LMNB2,0.362,0.969
MCCC2,0.367,0.969
MYH14,0.166,0.969
NAP1L1,0.179,0.969
NDUFA12,0.627,0.969
P0DPI2,-0.507,0.969
PSMC1,-0.272,0.969
PTEN,-0.377,0.969
PYCR2,0.362,0.969
RANBP1,-0.348,0.969
SLC25A5,-0.195,0.969
TCEB2,0.283,0.969
TSSC1,-0.161,0.969
TTLL12,-0.168,0.969
TUBB3,-0.216,0.969
UBE4A,-0.455,0.969
VCAN,0.341,0.969
YWHAQ,-0.234,0.969
A1BG,0.813,0.97
ABCF1,0.232,0.97
AKR1C2,0.28,0.97
APPL1,-0.457,0.97
ATAD1,-0.319,0.97
BAG2,-0.44,0.97
CAPG,0.656,0.97
CSNK2B,-0.279,0.97
DDX3X,0.202,0.97
DSTN,-0.252,0.97
EIF2B5,-0.425,0.97
FAM126B,0.39,0.97
GIT1,-0.135,0.97
IQSEC1,-0.32,0.97
KIF3B,-0.376,0.97
KLC2,-0.459,0.97
KPNA6,-0.224,0.97
MAP2K2,-0.268,0.97
MAPK3,-0.206,0.97
PLAA,-0.282,0.97
PRDX6,0.251,0.97
RHOT1,-0.668,0.97
SAR1A,0.162,0.97
SAR1B,0.207,0.97
SNTB1,-0.653,0.97
TBCB,0.613,0.97
TIMM44,-0.212,0.97
USP5,-0.236,0.97
VPS35,-0.405,0.97
ARHGDIA,0.436,0.971
CDS2,0.413,0.971
CMPK1,-0.158,0.971
CSNK2A1,-0.256,0.971
DNAJB11,-0.376,0.971
EXOC5,-0.529,0.971
EXOC8,0.223,0.971
GPD1L,-0.503,0.971
IARS2,-0.191,0.971
KCNAB2,-0.32,0.971
MAP2K4,-0.384,0.971
MCCC1,-0.569,0.971
MYCBP2,0.609,0.971
NDUFB10,0.377,0.971
NDUFS8,-0.404,0.971
OGFRL1,0.249,0.971
PPP6C,0.511,0.971
RAB35,-0.19,0.971
SEPT10,-0.361,0.971
SLC25A6,-0.276,0.971
SLC3A2,0.604,0.971
STON2,0.604,0.971
TLN1,0.241,0.971
TXNDC17,-0.429,0.971
YARS2,0.22,0.971
ARMC8,-0.285,0.972
COPE,-0.62,0.972
DDX1,-0.224,0.972
FHL1,-0.383,0.972
GNAI1,0.156,0.972
HOMER1,0.488,0.972
IFIT5,-0.339,0.972
KIAA1033,-0.269,0.972
LIMK1,-0.297,0.972
LTN1,-0.343,0.972
MAP2,0.202,0.972
NDUFS1,-0.195,0.972
PLA2G16,-0.321,0.972
PLEC,0.227,0.972
RAB39B,-0.242,0.972
RCBTB2,-0.438,0.972
RSU1,0.304,0.972
SMC3,-0.413,0.972
STAT1,-0.182,0.972
SYNCRIP,0.341,0.972
TPM1,0.458,0.972
TUBB4A,-0.22,0.972
AIMP1,-0.341,0.973
AK1,-0.257,0.973
AKR1C1,0.333,0.973
ARF4,0.329,0.973
C16orf62,-0.314,0.973
CDK18,0.189,0.973
CDK5,-0.737,0.973
CHCHD3,0.187,0.973
CRABP1,-0.561,0.973
DCTN1,-0.167,0.973
DNAJA3,0.272,0.973
DNAJB1,-0.528,0.973
DYNC1LI2,-0.132,0.973
EEF1A1,0.133,0.973
EIF3A,-0.293,0.973
EMD,0.186,0.973
FKBP4,-0.459,0.973
FMNL2,-0.139,0.973
GCLC,-0.565,0.973
GLIPR2,-0.531,0.973
HAPLN2,0.499,0.973
HRAS,0.584,0.973
MAP1B,-0.145,0.973
MAPK10,-0.462,0.973
MYH7,-0.919,0.973
PFN1,0.552,0.973
PLCD3,0.221,0.973
