GeneSymbol,Type,Degree,DegreeCentrality,BetweennessCentrality,DatasetCount,InLargestComponent,Neighbors,ImportanceScore
SRPK1,seed,0,0.0,0.0,1,False,[],0.0
WDFY1,seed,0,0.0,0.0,1,False,[],0.0
UHMK1,seed,0,0.0,0.0,1,False,[],0.0
SNRK,seed,0,0.0,0.0,1,False,[],0.0
BTG1,seed,0,0.0,0.0,1,False,[],0.0
RELN,seed,0,0.0,0.0,1,False,[],0.0
RPL3,seed,0,0.0,0.0,1,False,[],0.0
HBE1,seed,0,0.0,0.0,1,False,[],0.0
IL2RB,seed,0,0.0,0.0,1,False,[],0.0
TMED5,seed,0,0.0,0.0,1,False,[],0.0
TMEM71,seed,0,0.0,0.0,2,False,[],0.0
HLA-C,seed,0,0.0,0.0,1,False,[],0.0
EEF1A1,seed,0,0.0,0.0,1,False,[],0.0
ARK2N,seed,0,0.0,0.0,1,False,[],0.0
NOL10,seed,0,0.0,0.0,1,False,[],0.0
NIN,seed,0,0.0,0.0,1,False,[],0.0
HSPA1A,seed,0,0.0,0.0,1,False,[],0.0
ESR1,seed,0,0.0,0.0,1,False,[],0.0
BNIP3L,seed,0,0.0,0.0,1,False,[],0.0
PRKAR1A,seed,0,0.0,0.0,1,False,[],0.0
TNFSF10,seed,0,0.0,0.0,1,False,[],0.0
TYRP1,seed,0,0.0,0.0,2,False,[],0.0
BAZ1A,seed,0,0.0,0.0,1,False,[],0.0
