node1,node2,node1_type,node2_type,combined_score,source
PSMB3,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMA6,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMA7,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMA8,neighbor,neighbor,0.998,added_ppi
PSMB3,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMD8,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMD11,neighbor,neighbor,0.998,added_ppi
PSMB3,PSMD3,neighbor,neighbor,0.999,added_ppi
PSMB3,SOD1,neighbor,neighbor,0.735,added_ppi
PSMB3,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMD1,neighbor,neighbor,0.998,added_ppi
PSMB3,PSMD2,neighbor,neighbor,0.998,added_ppi
PSMB3,PSMC5,neighbor,neighbor,0.998,added_ppi
PSMB3,PSMB5,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMD9,neighbor,neighbor,0.624,added_ppi
PSMB3,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMB3,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMD7,neighbor,seed,0.999,original
PSMD2,ADRM1,neighbor,neighbor,0.999,added_ppi
PSMD2,PRKN,neighbor,neighbor,0.881,added_ppi
PSMD2,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMA6,neighbor,neighbor,0.998,added_ppi
PSMD2,PSMA7,neighbor,neighbor,0.998,added_ppi
PSMD2,PSMA8,neighbor,neighbor,0.962,added_ppi
PSMD2,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMB5,neighbor,neighbor,0.997,added_ppi
PSMD2,PSMB6,neighbor,neighbor,0.996,added_ppi
PSMD2,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMC5,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMD1,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMD11,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMD8,neighbor,neighbor,0.999,added_ppi
PSMD2,PSMD3,neighbor,neighbor,0.999,added_ppi
PSMD2,SOD1,neighbor,neighbor,0.823,added_ppi
PSMD2,PSMD9,neighbor,neighbor,0.982,added_ppi
PSMD2,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMD7,neighbor,seed,0.999,original
PSMD8,ADRM1,neighbor,neighbor,0.999,added_ppi
PSMD8,PRKN,neighbor,neighbor,0.8,added_ppi
PSMD8,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMA5,neighbor,neighbor,0.998,added_ppi
PSMD8,PSMA6,neighbor,neighbor,0.998,added_ppi
PSMD8,PSMA7,neighbor,neighbor,0.997,added_ppi
PSMD8,PSMA8,neighbor,neighbor,0.962,added_ppi
PSMD8,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMB5,neighbor,neighbor,0.991,added_ppi
PSMD8,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMB7,neighbor,neighbor,0.993,added_ppi
PSMD8,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMC5,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMD1,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMD11,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMD3,neighbor,neighbor,0.999,added_ppi
PSMD8,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMD7,neighbor,seed,0.997,original
PSMA7,ADRM1,neighbor,neighbor,0.937,added_ppi
PSMA7,PRKN,neighbor,neighbor,0.912,added_ppi
PSMA7,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMA6,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMC4,neighbor,neighbor,0.998,added_ppi
PSMA7,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMD11,neighbor,neighbor,0.997,added_ppi
PSMA7,PSMD3,neighbor,neighbor,0.995,added_ppi
PSMA7,SOD1,neighbor,neighbor,0.727,added_ppi
PSMA7,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMD1,neighbor,neighbor,0.998,added_ppi
PSMA7,PSMC5,neighbor,neighbor,0.996,added_ppi
PSMA7,PSMA8,neighbor,neighbor,0.977,added_ppi
PSMA7,PSMB5,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMD9,neighbor,neighbor,0.525,added_ppi
PSMA7,PSMC3,neighbor,neighbor,0.997,added_ppi
PSMA7,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMA7,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMD7,neighbor,seed,0.998,original
PSMA6,ADRM1,neighbor,neighbor,0.967,added_ppi
PSMA6,PRKN,neighbor,neighbor,0.788,added_ppi
PSMA6,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMA6,TARDBP,neighbor,neighbor,0.445,added_ppi
PSMA6,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMD9,neighbor,neighbor,0.47,added_ppi
PSMA6,SOD1,neighbor,neighbor,0.754,added_ppi
PSMA6,PSMA8,neighbor,neighbor,0.993,added_ppi
PSMA6,PSMD3,neighbor,neighbor,0.997,added_ppi
PSMA6,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMD1,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMB5,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMD11,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMC5,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMD4,neighbor,neighbor,0.999,added_ppi
PSMA6,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMD7,neighbor,seed,0.999,original
PSMD4,ADRM1,neighbor,neighbor,0.999,added_ppi
PSMD4,PRKN,neighbor,neighbor,0.968,added_ppi
PSMD4,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMA8,neighbor,neighbor,0.981,added_ppi
PSMD4,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMB5,neighbor,neighbor,0.998,added_ppi
PSMD4,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMB7,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMC5,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMD1,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMD11,neighbor,neighbor,0.999,added_ppi
PSMD4,PSMD3,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMD7,neighbor,seed,0.999,original
PSMB7,ADRM1,neighbor,neighbor,0.921,added_ppi
PSMB7,PRKN,neighbor,neighbor,0.792,added_ppi
PSMB7,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMA8,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMB5,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMC4,neighbor,neighbor,0.998,added_ppi
PSMB7,PSMD9,neighbor,neighbor,0.473,added_ppi
PSMB7,SOD1,neighbor,neighbor,0.704,added_ppi
PSMB7,PSMC5,neighbor,neighbor,0.997,added_ppi
PSMB7,PSMC1,neighbor,neighbor,0.997,added_ppi
PSMB7,PSMD1,neighbor,neighbor,0.998,added_ppi
PSMB7,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMD11,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMD3,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMB7,PSMC6,neighbor,neighbor,0.999,added_ppi
BAD,PPP3R1,neighbor,seed,0.9,original
BAD,PPP3R2,neighbor,neighbor,0.901,added_ppi
BAD,PPP3CC,neighbor,neighbor,0.906,added_ppi
PSMB5,PSMD7,neighbor,seed,0.995,original
PSMB5,ADRM1,neighbor,neighbor,0.961,added_ppi
PSMB5,PRKN,neighbor,neighbor,0.793,added_ppi
PSMB5,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMB5,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMB5,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMB5,PSMA8,neighbor,neighbor,0.991,added_ppi
PSMB5,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMB5,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMB5,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMB5,PSMD11,neighbor,neighbor,0.994,added_ppi
PSMB5,PSMD3,neighbor,neighbor,0.992,added_ppi
PSMB5,SOD1,neighbor,neighbor,0.728,added_ppi
PSMB5,PSMB6,neighbor,neighbor,0.999,added_ppi
PSMB5,PSMD1,neighbor,neighbor,0.997,added_ppi
PSMB5,PSMC5,neighbor,neighbor,0.999,added_ppi
PSMB5,PSMD9,neighbor,neighbor,0.509,added_ppi
PSMB5,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMB5,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMB5,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMD11,PSMD7,neighbor,seed,0.999,original
PSMD11,ADRM1,neighbor,neighbor,0.999,added_ppi
PSMD11,PRKN,neighbor,neighbor,0.812,added_ppi
PSMD11,PSMA1,neighbor,neighbor,0.998,added_ppi
PSMD11,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMD11,PSMA5,neighbor,neighbor,0.999,added_ppi
PSMD11,PSMA8,neighbor,neighbor,0.867,added_ppi
PSMD11,PSMB2,neighbor,neighbor,0.999,added_ppi
PSMD11,PSMB6,neighbor,neighbor,0.995,added_ppi
PSMD11,PSMC1,neighbor,neighbor,0.999,added_ppi
PSMD11,PSMC2,neighbor,neighbor,0.999,added_ppi
PSMD11,PSMC3,neighbor,neighbor,0.999,added_ppi
PSMD11,PSMC4,neighbor,neighbor,0.999,added_ppi
PSMD11,PSMC5,neighbor,neighbor,0.999,added_ppi
PSMD11,PSMC6,neighbor,neighbor,0.999,added_ppi
PSMD11,PSMD1,neighbor,neighbor,0.999,added_ppi
PSMD11,SOD1,neighbor,neighbor,0.711,added_ppi
PSMD11,PSMD9,neighbor,neighbor,0.988,added_ppi
PSMD11,PSMD3,neighbor,neighbor,0.999,added_ppi
PSMC6,PSMD7,neighbor,seed,0.999,original
PSMC6,ADRM1,neighbor,neighbor,0.999,added_ppi
PSMC6,PRKN,neighbor,neighbor,0.791,added_ppi
PSMC6,PSMA1,neighbor,neighbor,0.999,added_ppi
PSMC6,PSMA2,neighbor,neighbor,0.999,added_ppi
PSMC6,PSMA5,neighbor,neighbor,0.999,added_ppi
