"probeid","logfc","aveexpr","t","p.value","adj.p.val","b","significant","entrezgene_id","hgnc_symbol","gene_display","logFC","P.Value","adj.P.Val","GeneSymbol","GeneSymbol_clean","Dataset"
"ILMN_1731714",0.624249152702735,8.28259173299775,8.89319526671289,4.48127182041945e-18,2.23913464661829e-16,30.2925449548851,TRUE,9586,"CREB5","CREB5",0.624249152702735,4.48127182041945e-18,2.23913464661829e-16,"CREB5","CREB5","GSE112676"
"ILMN_2195821",0.540820742272745,9.38752146092756,11.0934113249505,1.45748777908506e-26,3.01922642014635e-24,49.5013328259924,TRUE,153222,"CREBRF","CREBRF",0.540820742272745,1.45748777908506e-26,3.01922642014635e-24,"CREBRF","CREBRF","GSE112676"
"ILMN_1669905",0.608513090128265,8.03428868586073,12.0199972875266,1.56624698136435e-30,7.91883855154213e-28,58.5020978135311,TRUE,167227,"DCP2","DCP2",0.608513090128265,1.56624698136435e-30,7.91883855154213e-28,"DCP2","DCP2","GSE112676"
"ILMN_1781285",0.51143616424962,10.7367992539495,9.71293594054309,4.49560377948706e-21,3.53836044174404e-19,37.0701319340361,TRUE,1843,"DUSP1","DUSP1",0.51143616424962,4.49560377948706e-21,3.53836044174404e-19,"DUSP1","DUSP1","GSE112676"
"ILMN_1664776",0.593368478770869,7.94571109904057,11.7142529330375,3.37474285294139e-29,1.18433622709696e-26,55.4771905211703,TRUE,23167,"EFR3A","EFR3A",0.593368478770869,3.37474285294139e-29,1.18433622709696e-26,"EFR3A","EFR3A","GSE112676"
"ILMN_1733579",0.547423045822086,7.43492493314905,11.6512159916693,6.31368302283382e-29,2.02513080184014e-26,54.8601415934284,TRUE,2123,"EVI2A","EVI2A",0.547423045822086,6.31368302283382e-29,2.02513080184014e-26,"EVI2A","EVI2A","GSE112676"
"ILMN_1763452",0.584587393642279,11.3476904300387,9.90907236624466,8.04688578732918e-22,7.18678452203681e-20,38.7606043328515,TRUE,2124,"EVI2B","EVI2B",0.584587393642279,8.04688578732918e-22,7.18678452203681e-20,"EVI2B","EVI2B","GSE112676"
"ILMN_1739942",0.502810389522622,7.96228641370108,9.84542532849913,1.41030044841101e-21,1.22650910717494e-19,38.2091969148334,TRUE,150864,"FAM117B","FAM117B",0.502810389522622,1.41030044841101e-21,1.22650910717494e-19,"FAM117B","FAM117B","GSE112676"
"ILMN_2378100",0.557030443212266,9.32095878342532,11.4796552781189,3.4325911192688e-28,9.48094380442485e-26,53.1924293651554,TRUE,26234,"FBXL5","FBXL5",0.557030443212266,3.4325911192688e-28,9.48094380442485e-26,"FBXL5","FBXL5","GSE112676"
"ILMN_1752927",0.502577500478128,7.26407700077755,11.6921016385639,4.20677828748528e-29,1.44158400553252e-26,55.2600981632296,TRUE,57700,"FHIP2A","FHIP2A",0.502577500478128,4.20677828748528e-29,1.44158400553252e-26,"FHIP2A","FHIP2A","GSE112676"
"ILMN_1736510",0.645606912561044,7.98347510724941,11.4446673581164,4.83807635506858e-28,1.30017853758284e-25,52.8544255811382,TRUE,3344,"FOXN2","FOXN2",0.645606912561044,4.83807635506858e-28,1.30017853758284e-25,"FOXN2","FOXN2","GSE112676"
"ILMN_2381753",0.516265025348956,8.19033879912702,11.3686780401926,1.01698964427348e-27,2.59288898193828e-25,52.1228052052968,TRUE,9908,"G3BP2","G3BP2",0.516265025348956,1.01698964427348e-27,2.59288898193828e-25,"G3BP2","G3BP2","GSE112676"
"ILMN_1800602",0.816279327056176,10.1483795356982,9.08612734099704,9.20526460608695e-19,5.15183945965429e-17,31.845064130292,TRUE,25801,"GCA","GCA",0.816279327056176,9.20526460608695e-19,5.15183945965429e-17,"GCA","GCA","GSE112676"
"ILMN_1758906",0.586888575454148,8.01691832375405,9.47572439133043,3.47790638833846e-20,2.41269645497991e-18,35.0606232316747,TRUE,10672,"GNA13","GNA13",0.586888575454148,3.47790638833846e-20,2.41269645497991e-18,"GNA13","GNA13","GSE112676"
"ILMN_1708779",-0.556355789103295,11.2282679655688,-8.0202054969597,4.11751737201616e-15,1.27280355655173e-13,23.6091703228927,TRUE,10578,"GNLY","GNLY",-0.556355789103295,4.11751737201616e-15,1.27280355655173e-13,"GNLY","GNLY","GSE112676"
"ILMN_1778673",0.585532410005005,8.97625895245737,10.1975952480994,6.11447633080517e-23,6.560965070069e-21,41.294045511401,TRUE,51125,"GOLGA7","GOLGA7",0.585532410005005,6.11447633080517e-23,6.560965070069e-21,"GOLGA7","GOLGA7","GSE112676"
"ILMN_1792689",0.562673483505913,9.19251964010087,9.81134828861201,1.90238332420643e-21,1.61675483079994e-19,37.9150894494039,TRUE,8334,"H2AC6","H2AC6",0.562673483505913,1.90238332420643e-21,1.61675483079994e-19,"H2AC6","H2AC6","GSE112676"
"ILMN_1651358",0.733744316047273,10.7960186947995,4.66892493346673,3.59408402530569e-06,2.60475040026406e-05,3.64718770137718,TRUE,3046,"HBE1","HBE1",0.733744316047273,3.59408402530569e-06,2.60475040026406e-05,"HBE1","HBE1","GSE112676"
"ILMN_1787762",-0.515399517629874,8.36295215639286,-7.73808230129299,3.30582670321044e-14,8.8047152282828e-13,21.5726038466671,TRUE,55127,"HEATR1","HEATR1",-0.515399517629874,3.30582670321044e-14,8.8047152282828e-13,"HEATR1","HEATR1","GSE112676"
"ILMN_1700518",0.51034612829088,8.82466185294514,9.15911595453463,5.02352890205573e-19,2.93252186200239e-17,32.4393374878832,TRUE,10473,"HMGN4","HMGN4",0.51034612829088,5.02352890205573e-19,2.93252186200239e-17,"HMGN4","HMGN4","GSE112676"
"ILMN_1735367",0.52657028613875,9.32550930013372,8.86745705866016,5.52366270042332e-18,2.73705744773468e-16,30.0874556374694,TRUE,51170,"HSD17B11","HSD17B11",0.52657028613875,5.52366270042332e-18,2.73705744773468e-16,"HSD17B11","HSD17B11","GSE112676"
"ILMN_1675939",0.607255582538247,9.7056761534332,11.2838878634117,2.32049005906473e-27,5.45041090251188e-25,51.3104850650704,TRUE,3459,"IFNGR1","IFNGR1",0.607255582538247,2.32049005906473e-27,5.45041090251188e-25,"IFNGR1","IFNGR1","GSE112676"
"ILMN_1751708",0.535695208748088,12.5149403544895,10.9897826166465,3.92444025073602e-26,7.60169173243217e-24,48.5262822461022,TRUE,9445,"ITM2B","ITM2B",0.535695208748088,3.92444025073602e-26,7.60169173243217e-24,"ITM2B","ITM2B","GSE112676"
"ILMN_1764970",0.549724249400829,7.61954440041956,11.0264298690869,2.76678477527693e-26,5.46577416202058e-24,48.8703510165574,TRUE,221037,"JMJD1C","JMJD1C",0.549724249400829,2.76678477527693e-26,5.46577416202058e-24,"JMJD1C","JMJD1C","GSE112676"
"ILMN_1652128",0.62132772445281,8.18113466376896,9.89065081323161,9.46844571201449e-22,8.38111975042707e-20,38.6007292970571,TRUE,55788,"LMBRD1","LMBRD1",0.62132772445281,9.46844571201449e-22,8.38111975042707e-20,"LMBRD1","LMBRD1","GSE112676"
"ILMN_1724533",0.63920868110752,7.95784026183443,11.5854684678438,1.2104980571805e-28,3.70051215470544e-26,54.2190008524103,TRUE,23643,"LY96","LY96",0.63920868110752,1.2104980571805e-28,3.70051215470544e-26,"LY96","LY96","GSE112676"
"ILMN_1717337",0.904313521252757,8.45080125048823,13.3420680566726,1.50450745002412e-36,2.99196381561463e-33,72.1619482464798,TRUE,64844,"MARCHF7","MARCHF7",0.904313521252757,1.50450745002412e-36,2.99196381561463e-33,"MARCHF7","MARCHF7","GSE112676"
