Gene_Symbol,direction,source,n_up_sources
TMC6,UP,pathway_enrichment,1
TMED7-TICAM2,UP,pathway_enrichment,1
TMEM30A,UP,pathway_enrichment,1
TMEM63A,UP,pathway_enrichment,1
TNFRSF1B,UP,pathway_enrichment,1
TTR,UP,pathway_enrichment,1
TXNDC5,UP,pathway_enrichment,1
VAMP8,UP,pathway_enrichment,1
VAPA,UP,pathway_enrichment,1
VAT1,UP,pathway_enrichment,1
VCL,UP,pathway_enrichment,1
XRCC5,UP,pathway_enrichment,1
ARSB,UP,pathway_enrichment,1
SELL,UP,pathway_enrichment,1
ALDH3B1,UP,pathway_enrichment,1
ALOX5,UP,pathway_enrichment,1
AMPD3,UP,pathway_enrichment,1
ANO6,UP,pathway_enrichment,1
ANP32A,UP,SetA_multiomics_UP,1
ANXA2,UP,pathway_enrichment,1
APRT,UP,pathway_enrichment,1
ARG1,UP,pathway_enrichment,1
ARHGAP45,UP,pathway_enrichment,1
ARHGAP9,UP,pathway_enrichment,1
ARPC1B,UP,SetA_multiomics_UP,1
ARPC5,UP,pathway_enrichment,1
TICAM2,UP,pathway_enrichment,1
