Gene_Symbol,protein_logFC,protein_adjPval,protein_significant
MMAB,-0.857621947525674,0.0316463950747703,True
IVNS1ABP,0.443291039682744,0.0316475208153124,False
HMGCS1,-0.862592930035609,0.0316475208153124,True
GK,-0.489397662769443,0.0316475208153124,False
C2orf88,0.707645473260293,0.0318166146117414,True
NDUFB10,-0.659724821262893,0.0318254940606783,True
CSTA,1.66859877020736,0.0319775314471863,True
TVP23C,0.423947285837035,0.0321214800111816,False
FKBP3,0.530763903185994,0.032351166423185,False
MOCS2,-0.708964239157789,0.0323922075243224,True
SPARCL1,-0.797309549999534,0.0323922075243224,True
ATP1B2,-0.768470066253546,0.0323922075243224,True
FLAD1,0.612938009889305,0.0323922075243224,True
RPA1,0.400462543935053,0.0323922075243224,False
ABCC1,0.456840751092065,0.0323922075243224,False
FLII,0.262258158108759,0.0324134095598567,False
NHEJ1,0.279680628691075,0.0325925753319747,False
COQ5,-0.398057217176415,0.0325925753319747,False
ATPAF2,-0.345664708273381,0.0326312347337139,False
C1QC,1.42812273327088,0.0326386746414463,True
ARHGEF1,0.408165967445317,0.0326386746414463,False
SLTM,0.471380340891731,0.0326386746414463,False
NDUFA12,-0.577397070490036,0.0326386746414463,False
MRPL43,-0.549954508983747,0.0326386746414463,False
RPS6KA1,0.507396901550919,0.0326386746414463,False
NF1,-0.284517323760918,0.0326386746414463,False
NAAA,0.752393936191152,0.0326628460455517,True
RRBP1,0.755035276692482,0.0326628460455517,True
SPAG9,0.35178543339817,0.0330791222670783,False
CC2D1B,0.557000192262668,0.0330791222670783,False
FSCN1,0.512445383618637,0.0331219117435141,False
ATIC,0.636651284944747,0.0331219117435141,True
PSME1,0.567055932997489,0.0336046185831785,False
TRIM32,-0.408018772679455,0.0337579275218831,False
RPA2,0.376757608069413,0.0339409849854986,False
DMAC2L,-0.653724429617119,0.034298267433837,True
KNG1,2.25115117264158,0.034904583492974,True
SCRN3,0.751909216721039,0.034904583492974,True
QRSL1,-0.30345040083883,0.034904583492974,False
ELMOD1,-0.74165857283681,0.034904583492974,True
NNT,-0.490612755204943,0.034904583492974,False
MT-ND3,-0.544108636839677,0.034904583492974,False
PPP1R10,0.330996583704697,0.034904583492974,False
PLG,2.10497246030824,0.034904583492974,True
PRDX2,0.506845426942924,0.0356286076948302,False
TIGAR,0.43462907638065,0.0357953044857873,False
PLEK,0.888121505822451,0.0359928320325293,True
C2orf76,0.469240840913218,0.0359928320325293,False
STK4,0.28877035651707,0.0359928320325293,False
MTHFR,0.464346036091627,0.036011585108103,False
KLKB1,1.42428070470082,0.0360749620772819,True
MRPL40,-0.371014709367672,0.0367672209029168,False
MCCC1,-0.426439975675223,0.0367674692528354,False
TEFM,-0.25519338532075,0.0368437770590942,False
SVIP,1.87061480812542,0.0368437770590942,True
NUDT2,-0.649331160272148,0.0368896033232072,True
ABR,-0.492568353508045,0.0369062209531216,False
TMEM65,-0.529473112404032,0.0369062209531216,False
DHRS1,-1.1150005399872,0.0369062209531216,True
BZW2,0.335894074686218,0.0369062209531216,False
NCKAP1,-0.31506281085143,0.0371289458618429,False
MRPL48,-0.415298317240311,0.0371289458618429,False
CFDP1,0.491502051641634,0.0374171250715432,False
