"Protein_ID","Gene_Symbol","logFC","P.Value","adj.P.Val","significant","tissue","comparison"
"P16070","CD44",1.03,0.0135047271674215,0.717,FALSE,"SPC","TP7_vs_TP1"
"P23396","RPS3",1.41,0.0135640911634443,0.718,FALSE,"SPC","TP7_vs_TP1"
"P49802","RGS7",-1.04,0.0142739605967794,0.726,FALSE,"SPC","TP7_vs_TP1"
"P18206","VCL",0.719,0.0142302826247742,0.726,FALSE,"SPC","TP7_vs_TP1"
"P22059;Q969R2","OSBP",-1.28,0.0142917704075619,0.727,FALSE,"SPC","TP7_vs_TP1"
"P50454","SERPINH1",1.32,0.0147775182187674,0.732,FALSE,"SPC","TP7_vs_TP1"
"P23142","FBLN1",1.59,0.0150158231423325,0.735,FALSE,"SPC","TP7_vs_TP1"
"O15530;Q6A1A2","PDPK1",-0.587,0.0153508267569736,0.738,FALSE,"SPC","TP7_vs_TP1"
"Q9BQI7","PSD2",-1.73,0.0155992126806745,0.741,FALSE,"SPC","TP7_vs_TP1"
"Q13557","CAMK2D",0.432,0.0164046153458438,0.749,FALSE,"SPC","TP7_vs_TP1"
"Q13418","ILK",0.568,0.0163658763452571,0.749,FALSE,"SPC","TP7_vs_TP1"
"P55327","TPD52",1.05,0.0163666896412193,0.749,FALSE,"SPC","TP7_vs_TP1"
"Q92777","SYN2",-0.763,0.0166723272584005,0.752,FALSE,"SPC","TP7_vs_TP1"
"P14868","DARS",-0.517,0.0169352698128688,0.754,FALSE,"SPC","TP7_vs_TP1"
"Q8TB37","NUBPL",0.915,0.0170484601834313,0.755,FALSE,"SPC","TP7_vs_TP1"
"P35749","MYH11",1.65,0.0172447662646929,0.757,FALSE,"SPC","TP7_vs_TP1"
"P02545","LMNA",0.958,0.0177343907419755,0.761,FALSE,"SPC","TP7_vs_TP1"
"P52209","PGD",1.8,0.0178184034706545,0.762,FALSE,"SPC","TP7_vs_TP1"
"Q9Y2H1","STK38L",-0.595,0.018060954306624,0.764,FALSE,"SPC","TP7_vs_TP1"
"Q15049","MLC1",1.82,0.0190320157406606,0.772,FALSE,"SPC","TP7_vs_TP1"
"P06241","FYN",0.441,0.0193546979423902,0.774,FALSE,"SPC","TP7_vs_TP1"
"P42858","HTT",-0.641,0.0193385565760719,0.774,FALSE,"SPC","TP7_vs_TP1"
"P21695","GPD1",0.989,0.0194391183149802,0.775,FALSE,"SPC","TP7_vs_TP1"
"Q8IYQ7","THNSL1",0.432,0.0196681122352648,0.776,FALSE,"SPC","TP7_vs_TP1"
"P09874","PARP1",0.772,0.0201880633234162,0.78,FALSE,"SPC","TP7_vs_TP1"
"O15020","SPTBN2",-0.409,0.0209500425230435,0.785,FALSE,"SPC","TP7_vs_TP1"
"O43299","AP5Z1",1.24,0.0210052284822782,0.786,FALSE,"SPC","TP7_vs_TP1"
"P12036","NEFH",-0.546,0.0210557318405147,0.786,FALSE,"SPC","TP7_vs_TP1"
"Q9H008","LHPP",1.02,0.0223588540955101,0.794,FALSE,"SPC","TP7_vs_TP1"
"P31942","HNRNPH3",0.681,0.0224389225355416,0.795,FALSE,"SPC","TP7_vs_TP1"
"Q92616","GCN1L1",0.816,0.0226939827831841,0.796,FALSE,"SPC","TP7_vs_TP1"
"P31749","AKT1",-1.03,0.0230655813633799,0.798,FALSE,"SPC","TP7_vs_TP1"
"O95433","AHSA1",-0.575,0.0230779114934153,0.799,FALSE,"SPC","TP7_vs_TP1"
"O95757","HSPA4L",-0.534,0.0238909363005096,0.803,FALSE,"SPC","TP7_vs_TP1"
"P28838","LAP3",0.681,0.0241165702426423,0.804,FALSE,"SPC","TP7_vs_TP1"
"P08754","GNAI3",0.658,0.0244790019563094,0.806,FALSE,"SPC","TP7_vs_TP1"
"P37802","TAGLN2",1.27,0.024594953644442,0.807,FALSE,"SPC","TP7_vs_TP1"
"Q9ULU8","CADPS",-0.576,0.0249122006308033,0.808,FALSE,"SPC","TP7_vs_TP1"
"Q9BXF6","RAB11FIP5",-1.07,0.0248751215794951,0.808,FALSE,"SPC","TP7_vs_TP1"
"O75689","ADAP1",-0.864,0.0265008581443557,0.816,FALSE,"SPC","TP7_vs_TP1"
"Q06830","PRDX1",0.486,0.0264593436267006,0.816,FALSE,"SPC","TP7_vs_TP1"
"P11217","PYGM",-0.473,0.0268884485295834,0.818,FALSE,"SPC","TP7_vs_TP1"
"Q8WXG6","MADD",-0.735,0.0271827541956112,0.819,FALSE,"SPC","TP7_vs_TP1"
"Q9Y2X3","NOP58",1.12,0.0275197119172555,0.821,FALSE,"SPC","TP7_vs_TP1"
"Q9NUJ3","TCP11L1",-0.632,0.0276175557133211,0.821,FALSE,"SPC","TP7_vs_TP1"
"P40123","CAP2",-0.514,0.0278863088870643,0.822,FALSE,"SPC","TP7_vs_TP1"
"P62888","RPL30",1.5,0.0277534424102432,0.822,FALSE,"SPC","TP7_vs_TP1"
"Q9Y5L3","ENTPD2",1.37,0.0279701780979024,0.823,FALSE,"SPC","TP7_vs_TP1"
"P0DP25;P0DP24;P0DP23","P0DP25",0.864,0.0284321747876748,0.825,FALSE,"SPC","TP7_vs_TP1"
"Q16864","ATP6V1F",-1.36,0.0287259768994389,0.826,FALSE,"SPC","TP7_vs_TP1"
