SYMBOL	ORIGINAL_ID
CTDSPL	CTDSPL
OTTHUMG00000160745;RP11-148L24.1	OTTHUMG00000160745;RP11-148L24.1
RAB1B	RAB1B
PI4KAP1	PI4KAP1
EMP1	EMP1
FUBP3	FUBP3
GLT1D1	GLT1D1
ZNF804A	ZNF804A
MYO3A	MYO3A
SMOC1	SMOC1
RNU12	RNU12
PI4KAP2	PI4KAP2
GSTCD	GSTCD
OTTHUMG00000153472;RP11-321C1.1	OTTHUMG00000153472;RP11-321C1.1
BCMO1	BCMO1
TFAP2C	TFAP2C
PLXND1	PLXND1
SMAGP	SMAGP
AC069277.2;OTTHUMG00000154923	AC069277.2;OTTHUMG00000154923
ZIC5	ZIC5
CUL1	CUL1
NT5DC1	NT5DC1
UPK3B	UPK3B
TMEM254	TMEM254
KIAA1715	KIAA1715
CA3	CA3
RNA5SP359	RNA5SP359
ZNF25	ZNF25
NSF	NSF
RNA5SP256	RNA5SP256
ACAT2	ACAT2
MARCH3	MARCH3
NTAN1	NTAN1
OTTHUMG00000160040;RP11-281P23.1	OTTHUMG00000160040;RP11-281P23.1
RAB11FIP1	RAB11FIP1
GALNT7	GALNT7
VAV3	VAV3
LOC729966;PDE4C	LOC729966;PDE4C
ASTN2	ASTN2
PLS3	PLS3
ALG13	ALG13
OTTHUMG00000160044;RP11-281P23.2	OTTHUMG00000160044;RP11-281P23.2
C17orf97	C17orf97
OTTHUMG00000043709;RP4-704D21.2	OTTHUMG00000043709;RP4-704D21.2
CRYBB2P1	CRYBB2P1
HOOK3	HOOK3
ATP5O	ATP5O
MAP7D1	MAP7D1
VGLL1	VGLL1
ACSS3	ACSS3
CNTN6	CNTN6
NELL1	NELL1
OTTHUMG00000019964;RP11-88I18.2	OTTHUMG00000019964;RP11-88I18.2
MAF	MAF
PKP2	PKP2
AL353791.1;OTTHUMG00000066698	AL353791.1;OTTHUMG00000066698
HLA-DRB6	HLA-DRB6
SPIRE1	SPIRE1
IRS4	IRS4
CNTNAP3;CNTNAP3B	CNTNAP3;CNTNAP3B
ST8SIA4	ST8SIA4
BCORL1	BCORL1
CYP27A1	CYP27A1
PCDHGB5	PCDHGB5
PEF1	PEF1
SLC25A39	SLC25A39
WSB1	WSB1
OTTHUMG00000161787;RP1-167G20.1	OTTHUMG00000161787;RP1-167G20.1
OTTHUMG00000073688;RP1-90G24.6	OTTHUMG00000073688;RP1-90G24.6
PCDHGA1;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7;PCDHGC3;PCDHGC4;PCDHGC5	PCDHGA1;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7;PCDHGC3;PCDHGC4;PCDHGC5
GALNT14	GALNT14
GOLGA2P2Y;GOLGA2P3Y	GOLGA2P2Y;GOLGA2P3Y
NXT2	NXT2
LPL	LPL
AMMECR1	AMMECR1
LINC00491	LINC00491
DDR1	DDR1
GRK4	GRK4
CDH3	CDH3
MAMDC2	MAMDC2
CPB2-AS1	CPB2-AS1
PRPH	PRPH
AP1S2	AP1S2
MAL2	MAL2
SEPT6	SEPT6
SLITRK2	SLITRK2
EFCAB2	EFCAB2
THEM6	THEM6
UG0898H09	UG0898H09
KIAA1919	KIAA1919
AL583842.3;OTTHUMG00000013379	AL583842.3;OTTHUMG00000013379
HLA-DRB1;HLA-DRB4	HLA-DRB1;HLA-DRB4
NECAB1	NECAB1
TCEAL8	TCEAL8
HECW1	HECW1
LINC00395	LINC00395
WDR11	WDR11
OTTHUMG00000162354;RP11-434D9.2	OTTHUMG00000162354;RP11-434D9.2
ANK2	ANK2
OTTHUMG00000163798;RP11-136K7.3	OTTHUMG00000163798;RP11-136K7.3
KIAA1609;TLDC1	KIAA1609;TLDC1
ARHGEF12	ARHGEF12
COG8;PDF	COG8;PDF
OFD1	OFD1
ISLR2	ISLR2
PDE10A	PDE10A
ARL6IP1	ARL6IP1
CDC23	CDC23
LINC00669	LINC00669
RAC3	RAC3
ZFP41	ZFP41
AC113188.2;OTTHUMG00000059815;SAMD12	AC113188.2;OTTHUMG00000059815;SAMD12
PGM2L1	PGM2L1
MCOLN3	MCOLN3
KDM5B	KDM5B
LOC100134868	LOC100134868
L3MBTL2	L3MBTL2
PRR13	PRR13
AC069277.2;OTTHUMG00000154923	AC069277.2;OTTHUMG00000154923
ZNF90	ZNF90
AGMO	AGMO
RPL23AP4	RPL23AP4
RNA5SP336	RNA5SP336
HLA-DRB4	HLA-DRB4
FAM122C	FAM122C
RAC1P2	RAC1P2
WDFY2	WDFY2
CAPS2	CAPS2
CNTNAP3	CNTNAP3
GRHL2	GRHL2
CWF19L1	CWF19L1
WDR47	WDR47
HECW1-IT1	HECW1-IT1
PPP1CB	PPP1CB
SLITRK4	SLITRK4
LRRC34	LRRC34
RNU2-3P	RNU2-3P
OTUD5	OTUD5
IFITM4P	IFITM4P
IFITM4P	IFITM4P
DIS3L	DIS3L
DGCR5;LOC100287576;LOC100506454	DGCR5;LOC100287576;LOC100506454
BX571672.2;OTTHUMG00000013472	BX571672.2;OTTHUMG00000013472
RPS4Y2	RPS4Y2
RNA5SP463	RNA5SP463
AL953854.2;OTTHUMG00000066812	AL953854.2;OTTHUMG00000066812
OTTHUMG00000015498;RP11-374A22.1	OTTHUMG00000015498;RP11-374A22.1
RNA5SP251	RNA5SP251
CSPG5	CSPG5
CHM	CHM
OTTHUMG00000022220;RP5-964N17.1	OTTHUMG00000022220;RP5-964N17.1
NSUN7	NSUN7
RHNO1	RHNO1
COLEC11	COLEC11
CAMSAP2	CAMSAP2
SNORD14A	SNORD14A
BOC	BOC
HCG4B	HCG4B
HCG4B	HCG4B
RNA5SP449	RNA5SP449
RNA5SP162	RNA5SP162
RQCD1	RQCD1
KATNAL1	KATNAL1
DNAJC15	DNAJC15
RNA5SP478	RNA5SP478
TMBIM4	TMBIM4
PCMTD2	PCMTD2
DTX2;LOC100653244	DTX2;LOC100653244
LOC100132352	LOC100132352
AL035610.2;OTTHUMG00000078706	AL035610.2;OTTHUMG00000078706
HCG4B	HCG4B
DRAXIN;LOC100996614	DRAXIN;LOC100996614
HECW2	HECW2
COLGALT2;GLT25D2	COLGALT2;GLT25D2
ACOT9	ACOT9
