SYMBOL	ORIGINAL_ID
ZNF177;ZNF559-ZNF177	ZNF177;ZNF559-ZNF177
HDHD2	HDHD2
MADD	MADD
GRM1	GRM1
RANBP17	RANBP17
HIST2H3A;HIST2H3C;HIST2H3D	HIST2H3A;HIST2H3C;HIST2H3D
H2AFZ	H2AFZ
BMP3	BMP3
NIP7	NIP7
APOL4	APOL4
GOLGA5	GOLGA5
HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4	HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4A;HIST2H4B;HIST4H4
SPINK5	SPINK5
MAST2	MAST2
HMCN1	HMCN1
HFM1	HFM1
CD38	CD38
SNORD115-48	SNORD115-48
LOC101060281;VOPP1	LOC101060281;VOPP1
RFPL1-AS1;RFPL1S	RFPL1-AS1;RFPL1S
DCLK2	DCLK2
YIPF5	YIPF5
COLGALT2;GLT25D2	COLGALT2;GLT25D2
NUP160	NUP160
CBX2	CBX2
MYPN	MYPN
MFSD2A	MFSD2A
SLC30A4	SLC30A4
ZFP36L2	ZFP36L2
RAB28	RAB28
ATP6V1G2	ATP6V1G2
DIS3L	DIS3L
UBE4A	UBE4A
GEN1	GEN1
KDM4A	KDM4A
NR6A1	NR6A1
CLDN6	CLDN6
CITED2	CITED2
GOLGA2	GOLGA2
TPH1	TPH1
AC058791.1;LOC646329;OTTHUMG00000043895	AC058791.1;LOC646329;OTTHUMG00000043895
ABLIM3	ABLIM3
SLC25A27	SLC25A27
ZNF273	ZNF273
ZNF8	ZNF8
LOC100287934	LOC100287934
HERC2P3	HERC2P3
LOC100996620;ZNF644	LOC100996620;ZNF644
AC063976.6;OTTHUMG00000074115;P4HA2	AC063976.6;OTTHUMG00000074115;P4HA2
ATP6V1G2	ATP6V1G2
ATP6V1G2	ATP6V1G2
ATP6V1G2	ATP6V1G2
ATP6V1G2	ATP6V1G2
LAYN	LAYN
TMEM130	TMEM130
CYP20A1	CYP20A1
IDS	IDS
C1orf112	C1orf112
LRRN2	LRRN2
ZNF385A	ZNF385A
UBR4	UBR4
RAB18	RAB18
OTTHUMG00000163250;RP11-43D2.6;ZNF608	OTTHUMG00000163250;RP11-43D2.6;ZNF608
COG3	COG3
UPF3B	UPF3B
LOC101060433;PDXDC1	LOC101060433;PDXDC1
SNORD115-4	SNORD115-4
TMEM30A	TMEM30A
SLC7A2	SLC7A2
CNOT6	CNOT6
SMAD1	SMAD1
MAN1C1	MAN1C1
ZNF501	ZNF501
SAAL1	SAAL1
ATP6V1G2	ATP6V1G2
NDEL1	NDEL1
SMARCC1	SMARCC1
SYT16	SYT16
CD9;LOC100652804;LOC100653288	CD9;LOC100652804;LOC100653288
SNORD115-35	SNORD115-35
EXOSC10	EXOSC10
CTD-2001C12.1;OTTHUMG00000162801	CTD-2001C12.1;OTTHUMG00000162801
COLEC12	COLEC12
GPR173	GPR173
DSCAML1	DSCAML1
TRIL	TRIL
HMGN2;LOC100996852	HMGN2;LOC100996852
IFT88	IFT88
BCL2	BCL2
SPOCK3	SPOCK3
CA2	CA2
LARS2	LARS2
ANP32A	ANP32A
LOC100216479;LOC100996884	LOC100216479;LOC100996884
SC5D	SC5D
LOC101060716;POTEC	LOC101060716;POTEC
MAP4K5	MAP4K5
ZNF582-AS1	ZNF582-AS1
PI4K2A	PI4K2A
C17orf28;HID1	C17orf28;HID1
HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J	HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J
LINC00883;OTTHUMG00000159173;RP11-446H18.3	LINC00883;OTTHUMG00000159173;RP11-446H18.3
HIST3H2BB	HIST3H2BB
JAG1	JAG1
SLC44A5	SLC44A5
HCRTR1	HCRTR1
ZC3H4	ZC3H4
HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J	HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J
JMJD6	JMJD6
PARP2	PARP2
HN1L	HN1L
PTCHD1	PTCHD1
EZH2	EZH2
KCNE4	KCNE4
ZBBX	ZBBX
SASH1	SASH1
SLC5A6	SLC5A6
ADCK2	ADCK2
ESRP1	ESRP1
KIAA0586	KIAA0586
