PROBEID	SYMBOL	ORIGINAL_ID
ILMN_1675106	YIPF2	ILMN_1675106
ILMN_1706935	CCDC136	ILMN_1706935
ILMN_2092987	OR2G3	ILMN_2092987
ILMN_1747934	ISYNA1	ILMN_1747934
ILMN_2223922	AGTPBP1	ILMN_2223922
ILMN_1682494	RSRC1	ILMN_1682494
ILMN_2261076	NEDD9	ILMN_2261076
ILMN_1654946	ZSCAN18	ILMN_1654946
ILMN_2130525	TSPAN13	ILMN_2130525
ILMN_1730433	CD2AP	ILMN_1730433
ILMN_1725417	NELL2	ILMN_1725417
ILMN_1738684	NRXN2	ILMN_1738684
ILMN_1756578	CHRNA6	ILMN_1756578
ILMN_1708248	LILRB1	ILMN_1708248
ILMN_1803256	STOX2	ILMN_1803256
ILMN_1690682	B3GALT4	ILMN_1690682
ILMN_2270100	CEP85L	ILMN_2270100
ILMN_1655429	TNFAIP1	ILMN_1655429
ILMN_1793632	TMEM222	ILMN_1793632
ILMN_1810116	INPP5B	ILMN_1810116
ILMN_1743995	ALG12	ILMN_1743995
ILMN_1767992	SLC12A6	ILMN_1767992
ILMN_1688000	POLDIP3	ILMN_1688000
ILMN_1660345	NGRN	ILMN_1660345
ILMN_2103388	ZBTB49	ILMN_2103388
ILMN_1750092	SEPSECS	ILMN_1750092
ILMN_2191759	HNRNPA1	ILMN_2191759
ILMN_2399036	SELENON	ILMN_2399036
ILMN_1771179	CYB561	ILMN_1771179
ILMN_1661886	APEX1	ILMN_1661886
ILMN_1694385	YWHAB	ILMN_1694385
ILMN_2139125	LRFN5	ILMN_2139125
ILMN_1801584	CXCR4	ILMN_1801584
ILMN_1722186	NDUFAF7	ILMN_1722186
ILMN_1800935	ARV1	ILMN_1800935
ILMN_2331636	ACACA	ILMN_2331636
ILMN_1752923	IFNAR1	ILMN_1752923
ILMN_2257833	BBS7	ILMN_2257833
ILMN_1731174	RPSA	ILMN_1731174
ILMN_1731174	RPSA2	ILMN_1731174
ILMN_1774074	RXRB	ILMN_1774074
ILMN_2161508	PHTF2	ILMN_2161508
ILMN_1687403	MRPL40	ILMN_1687403
ILMN_1652631	GLIPR2	ILMN_1652631
ILMN_2128795	LRIG1	ILMN_2128795
