SYMBOL	ORIGINAL_ID
LYVE1	LYVE1
CNOT4	CNOT4
RPTOR	RPTOR
YIPF4	YIPF4
TNFSF13	TNFSF13
MED16	MED16
ZNF264	ZNF264
MIR3682	MIR3682
TOX3	TOX3
LINC00957	LINC00957
MER132:TcMar:DNA	MER132:TcMar:DNA
LRRC43	LRRC43
ARL15	ARL15
ACO2	ACO2
TP63	TP63
MAGOH	MAGOH
ZNF385C	ZNF385C
MAGOHB	MAGOHB
TOR1AIP2	TOR1AIP2
ESR1	ESR1
XRCC3	XRCC3
HMGA1	HMGA1
CHMP4A	CHMP4A
RILP	RILP
TRH	TRH
SPSB3	SPSB3
PRPF31	PRPF31
SKI	SKI
MIR3685	MIR3685
OXLD1	OXLD1
ZNF79	ZNF79
PLEKHO2	PLEKHO2
HR	HR
SAMD14	SAMD14
SNORA73B	SNORA73B
ZNF787	ZNF787
HNRNPA2B1	HNRNPA2B1
GPX1	GPX1
FDXR	FDXR
MIR4315-1	MIR4315-1
TMEM259	TMEM259
POLR3H	POLR3H
RNASEL	RNASEL
ETNK1	ETNK1
SLC2A8	SLC2A8
GNAI3	GNAI3
BOLA1	BOLA1
HNRNPH1	HNRNPH1
SGSM3	SGSM3
BHLHA15	BHLHA15
CCDC92B	CCDC92B
PPP1R26	PPP1R26
C5orf30	C5orf30
SLC9A3R2	SLC9A3R2
G6PD	G6PD
NDUFAF2	NDUFAF2
MIER2	MIER2
NANOS3	NANOS3
PEX10	PEX10
PCMTD1	PCMTD1
SPG7	SPG7
PPP1R37	PPP1R37
PIH1D1	PIH1D1
PROCR	PROCR
PDZD4	PDZD4
UNC50	UNC50
ABCB1	ABCB1
PAQR3	PAQR3
INO80D	INO80D
TMEM248	TMEM248
SNORA63	SNORA63
MGAT4B	MGAT4B
ABHD3	ABHD3
YTHDF3	YTHDF3
PHYHIPL	PHYHIPL
MAPK8IP1	MAPK8IP1
GMEB2	GMEB2
TGFBI	TGFBI
CRAT	CRAT
ZNF664-RFLNA	ZNF664-RFLNA
NACC1	NACC1
DNAJB6	DNAJB6
SEL1L	SEL1L
EBF4	EBF4
PPP2R3B	PPP2R3B
P3H4	P3H4
TMCC2	TMCC2
UBQLN4	UBQLN4
MEX3D	MEX3D
DERL1	DERL1
CLDN12	CLDN12
HSD17B14	HSD17B14
PANX2	PANX2
SAC3D1	SAC3D1
APLF	APLF
BAHCC1	BAHCC1
SPCS3	SPCS3
CLEC11A	CLEC11A
TBC1D17	TBC1D17
SNORA29	SNORA29
MDM1	MDM1
ZNF496	ZNF496
RNF169	RNF169
NF2	NF2
COL20A1	COL20A1
MAPK3	MAPK3
ST6GALNAC4	ST6GALNAC4
USP19	USP19
HRAS	HRAS
ABHD14A-ACY1	ABHD14A-ACY1
STRN4	STRN4
MIIP	MIIP
GFPT1	GFPT1
RBMS1	RBMS1
RNF144B	RNF144B
BTN2A3P	BTN2A3P
NPRL3	NPRL3
SCARA5	SCARA5
MAPK14	MAPK14
KDM3B	KDM3B
PDZD7	PDZD7
MFSD1	MFSD1
MAPKAPK3	MAPKAPK3
PARD6B	PARD6B
TM9SF2	TM9SF2
RPS6KB2	RPS6KB2
PPP6R2	PPP6R2
NFKBIL1	NFKBIL1
SSR1	SSR1
NRL	NRL
PDE5A	PDE5A
LDHD	LDHD
ZDHHC6	ZDHHC6
KIF1A	KIF1A
LKAAEAR1	LKAAEAR1
RASA4B	RASA4B
PIGQ	PIGQ
MAST2	MAST2
CD209	CD209
WRB	WRB
WASH2P	WASH2P
CBX6	CBX6
MAPK1IP1L	MAPK1IP1L
ZNF628	ZNF628
FBXL19	FBXL19
EXOC7	EXOC7
MAF	MAF
CHORDC1	CHORDC1
EMID1	EMID1
ATG16L2	ATG16L2
NFAT5	NFAT5
ZNF423	ZNF423
RAD23B	RAD23B
NT5M	NT5M
WDR45	WDR45
PHLDB2	PHLDB2
TALAM1	TALAM1
MISP3	MISP3
CCDC117	CCDC117
ERI3	ERI3
FRA10AC1	FRA10AC1
SNIP1	SNIP1
OLFM2	OLFM2
ATG12	ATG12
PPBP	PPBP
FUZ	FUZ
LRRC24	LRRC24
FAM83H	FAM83H
MER6B:TcMar-Tigger:DNA	MER6B:TcMar-Tigger:DNA
SYT14	SYT14
MAP2K7	MAP2K7
FOXD1	FOXD1
TSNARE1	TSNARE1
ZNF213-AS1	ZNF213-AS1
SLC25A6	SLC25A6
NAT9	NAT9
LRRC34	LRRC34
FZD9	FZD9
CHAF1A	CHAF1A
CPSF6	CPSF6
VPS9D1	VPS9D1
PNPLA2	PNPLA2
PIDD1	PIDD1
DESI2	DESI2
OCEL1	OCEL1
FBF1	FBF1
LINC00673	LINC00673
SVA_B:SVA_B:Other	SVA_B:SVA_B:Other
ZNF709	ZNF709
SNX15	SNX15
FBXL15	FBXL15
ASPN	ASPN
ZNF687	ZNF687
GRIN2C	GRIN2C
PPP1R16B	PPP1R16B
LYPLA2	LYPLA2
LOC100128242	LOC100128242
PHOSPHO2	PHOSPHO2
