drug_name,repurposing_score,avg_degree,avg_betweenness,hub_target_ratio,num_targets,is_approved,is_anti_neoplastic,rank,confidence
CABOZANTINIB S-MALATE,0.20481140912611878,92,0.10150708577025484,0.045454545454545456,22,TRUE,TRUE,142,low
MELPHALAN,0.20481140912611878,92,0.10150708577025484,0.045454545454545456,22,TRUE,TRUE,142,low
SAPANISERTIB,0.20481140912611878,92,0.10150708577025484,0.045454545454545456,22,TRUE,TRUE,142,low
ENCORAFENIB,0.20443503661518886,92,0.10150708577025484,0.1111111111111111,9,TRUE,TRUE,146,low
IDELALISIB,0.20443503661518886,92,0.10150708577025484,0.1111111111111111,9,TRUE,TRUE,146,low
TEMOZOLOMIDE,0.20443116476670958,92,0.10150708577025484,0.047619047619047616,21,TRUE,TRUE,148,low
IPILIMUMAB,0.20407726735438533,92,0.10150708577025484,0.05,20,TRUE,TRUE,149,low
ABEMACICLIB,0.2037538769334226,92,0.10150708577025484,0.05263157894736842,19,TRUE,TRUE,150,low
ALECTINIB,0.20372627382842057,92,0.10150708577025484,0.1,10,TRUE,TRUE,151,low
CERITINIB,0.20346607800238162,92,0.10150708577025484,0.05555555555555555,18,TRUE,TRUE,152,low
RUXOLITINIB,0.20346607800238162,92,0.10150708577025484,0.05555555555555555,18,TRUE,TRUE,152,low
BRIGATINIB,0.20326341588111163,92,0.10150708577025484,0.09090909090909091,11,TRUE,TRUE,154,low
CHLORAMBUCIL,0.20326341588111163,92,0.10150708577025484,0.09090909090909091,11,TRUE,TRUE,154,low
GRANISETRON,0.20326341588111163,92,0.10150708577025484,0.09090909090909091,11,TRUE,TRUE,154,low
ABIRATERONE ACETATE,0.20298498656339733,92,0.10150708577025484,0.08333333333333333,12,TRUE,TRUE,157,low
IFOSFAMIDE,0.20288741312863276,92,0.10150708577025484,0.06666666666666667,15,TRUE,TRUE,158,low
OSIMERTINIB,0.20288741312863276,92,0.10150708577025484,0.06666666666666667,15,TRUE,TRUE,158,low
ENZALUTAMIDE,0.20284842542229425,92,0.10150708577025484,0.07692307692307693,13,TRUE,TRUE,160,low
LENALIDOMIDE,0.20284842542229425,92,0.10150708577025484,0.07692307692307693,13,TRUE,TRUE,160,low
LORLATINIB,0.20284842542229425,92,0.10150708577025484,0.07692307692307693,13,TRUE,TRUE,160,low
CAPIVASERTIB,0.2028233321342428,92,0.10150708577025484,0.07142857142857142,14,TRUE,TRUE,163,low
INTERFERON ALFA-2B,0.2028233321342428,92,0.10150708577025484,0.07142857142857142,14,TRUE,TRUE,163,low
HEXACHLOROPHENE,0.20259117008315425,92,0.10150708577025484,0.023809523809523808,42,TRUE,FALSE,165,low
CLOTRIMAZOLE,0.20032138467573496,92,0.10150708577025484,0.02631578947368421,38,TRUE,FALSE,166,low
ZINC CHLORIDE,0.20022017329072742,92,0.10150708577025484,0.2,5,TRUE,FALSE,167,low
CHLORPROMAZINE,0.1997642447398806,92,0.10150708577025484,0.02702702702702703,37,TRUE,FALSE,168,low
PELCITOCLAX,0.19931592244998766,60,0.03617217052674572,1,2,FALSE,FALSE,169,low
DAUNORUBICIN HYDROCHLORIDE,0.19758815402337507,92,0.10150708577025484,0.030303030303030304,33,TRUE,FALSE,170,low
WARFARIN,0.19758815402337507,92,0.10150708577025484,0.030303030303030304,33,TRUE,FALSE,170,low
ALVESPIMYCIN,0.19735605694399505,92,0.10150708577025484,0.25,4,FALSE,TRUE,172,low
MULTI-NEO-EPITOPE VACCINE OSE 2101,0.19735605694399505,92,0.10150708577025484,0.25,4,FALSE,TRUE,172,low
MITOXANTRONE HYDROCHLORIDE,0.19705970808661308,92,0.10150708577025484,0.03125,32,TRUE,FALSE,174,low
ANISINDIONE,0.19680645726990523,92,0.10150708577025484,0.16666666666666666,6,TRUE,FALSE,175,low
MECHLORETHAMINE HYDROCHLORIDE,0.19680645726990523,92,0.10150708577025484,0.16666666666666666,6,TRUE,FALSE,175,low
NAVTEMADLIN,0.19632723829257182,92,0.10150708577025484,0.3333333333333333,6,FALSE,FALSE,177,low
TRIFLUOPERAZINE,0.1960258697917884,92,0.10150708577025484,0.03333333333333333,30,TRUE,FALSE,178,low
VITAMIN K3,0.1960258697917884,92,0.10150708577025484,0.03333333333333333,30,TRUE,FALSE,178,low
DOPAMINE,0.19552206733570499,92,0.10150708577025484,0.034482758620689655,29,TRUE,FALSE,180,low
THIORIDAZINE,0.19552206733570499,92,0.10150708577025484,0.034482758620689655,29,TRUE,FALSE,180,low
PROCHLORPERAZINE,0.19502825854920555,92,0.10150708577025484,0.03571428571428571,28,TRUE,FALSE,182,low
ANTI-CD19 CAR T CELLS AT101,0.19476753185754184,68,0.057872007813804076,0.6666666666666666,3,FALSE,TRUE,183,low
DUVELISIB,0.1945520069208204,92,0.10150708577025484,0.14285714285714285,7,TRUE,FALSE,184,low
ETHOPROPAZINE HYDROCHLORIDE,0.1945520069208204,92,0.10150708577025484,0.14285714285714285,7,TRUE,FALSE,184,low
LEVONORGESTREL,0.1945520069208204,92,0.10150708577025484,0.14285714285714285,7,TRUE,FALSE,184,low
SALMETEROL XINAFOATE,0.1945520069208204,92,0.10150708577025484,0.14285714285714285,7,TRUE,FALSE,184,low
APOMORPHINE,0.19454555384002153,92,0.10150708577025484,0.037037037037037035,27,TRUE,FALSE,188,low
NICLOSAMIDE,0.19454555384002153,92,0.10150708577025484,0.037037037037037035,27,TRUE,FALSE,188,low
ANTIMYCIN A,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
AZD1390,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CARBENDAZIM,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CAULIBUGULONE B,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CAULIBUGULONE C,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL261118,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL320361,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL411085,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL422942,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL528712,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL528807,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL578890,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL579550,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL582473,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL590665,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
CHEMBL:CHEMBL600334,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
IOXYNIL,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
KRESOXIM-METHYL,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
MAGROLIMAB,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
MPI-0479605,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
OLEAMIDE,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
P53/HDM2 INTERACTION INHIBITOR CGM097,0.19439609680179598,92,0.10150708577025484,0.3333333333333333,3,FALSE,FALSE,190,low
