drug_name,is_approved,is_anti_neoplastic,is_immunotherapy,avg_degree,max_degree,avg_betweenness,max_betweenness,avg_closeness,avg_eigenvector,avg_page_rank,avg_clustering_coef,num_communities,avg_edge_score,avg_neighbor_connectivity,num_targets,hub_target_ratio,bottleneck_target_ratio,avg_interaction_score,avg_interaction_type,drug_id
MIFANERTINIB,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.5352344463757549,-1,12146
MIFEPRISTONE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,28,0,0,0.1589390557489562,-0.09375,12147
MIGALASTAT,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,6,0,0,4.481385793417379,-0.14285714285714285,12148
MIGLITOL,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,4,0,0,4.690552701925991,-0.6666666666666666,12149
MIGLUSTAT,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,13.710336378209117,-0.5,12150
MIGOPROTAFIB,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,17.50255707856483,0,12151
MIK-BETA-1,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,4.039051633514961,-1,12152
MILADEMETAN,FALSE,FALSE,FALSE,92,92,0.10150708577025484,0.10150708577025484,0.589622641509434,0.44949666261067367,0.022796106189732285,0.2618357487922705,2,0.634891304347826,35.17391304347826,6,0.16666666666666666,0.16666666666666666,3.272330496098368,-0.16666666666666666,12153
MILADEMETAN TOSYLATE,FALSE,TRUE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,1.312691780892362,0,12154
MILAMELINE,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,4,0,0,0.1558630246834608,1,12155
MILATAXEL,FALSE,FALSE,FALSE,22,68,0.01635764253212818,0.057872007813804076,0.44064186843527536,0.14780040236440772,0.006271220631362193,0.19270435446906037,2,0.5632683823529412,69.47426470588235,17,0.058823529411764705,0.058823529411764705,0.049298185330819956,-0.8333333333333334,12156
MILATUZUMAB,FALSE,TRUE,TRUE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,45.94421233123268,-0.25,12157
MILBEMYCIN A4,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,1,0,0,0.058471794,0,12158
MILCICLIB,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,11,0,0,0.1788429113863415,-0.8333333333333334,12159
MILNACIPRAN,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,7,0,0,0.8910343042976369,-0.2857142857142857,12160
MILNACIPRAN HYDROCHLORIDE,TRUE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,2,0,0,0.2718509954057037,-1,12161
MILODISTIM,FALSE,FALSE,FALSE,0,-Inf,0,-Inf,0,0,0,0,1,0,0,3,0,0,3.1671293760941386,0,12162
