#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
TISSUES	BTO:0001486	Skeletal system	20	1307	0.68	0.87	8.69e-07	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000255416,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000363079,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000421736,9606.ENSP00000450540,9606.ENSP00000473980,9606.ENSP00000496959	MPO,TTR,C3,MYBPH,ORM1,CP,HPX,ITIH4,AHSG,CFHR1,A2M,HP,CD163,MBL2,C1S,ORM2,CR1L,SERPINA3,MRPL37,ITGAM
TISSUES	BTO:0000345	Digestive gland	29	2881	0.5	0.67	8.79e-07	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000259396,9606.ENSP00000263578,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000316228,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000350314,9606.ENSP00000352071,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000412733,9606.ENSP00000450540,9606.ENSP00000496959	MPO,HRG,TTR,C3,CFHR5,ORM1,FOXRED1,CP,HPX,AHSG,CFHR1,CLEC4M,A2M,HP,BCO2,CD163,CFHR2,CFHR4,CFHR3,MBL2,ABCA1,HLA-C,CYBB,GP2,C1S,ORM2,OSBPL9,SERPINA3,ITGAM
TISSUES	BTO:0000121	Bile	4	20	1.8	1.16	0.00023	9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000394936	ORM1,CP,HPX,ORM2
TISSUES	BTO:0001279	Spinal cord	8	233	1.03	0.9	0.00023	9606.ENSP00000237014,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000273784,9606.ENSP00000348170,9606.ENSP00000394936,9606.ENSP00000496959	TTR,ORM1,CP,HPX,AHSG,HP,ORM2,ITGAM
TISSUES	BTO:0001202	Saliva	5	57	1.44	1.04	0.00032	9606.ENSP00000225275,9606.ENSP00000259396,9606.ENSP00000265983,9606.ENSP00000273784,9606.ENSP00000348170	MPO,ORM1,HPX,AHSG,HP
TISSUES	BTO:0001491	Viscus	32	5378	0.27	0.31	0.0115	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000259396,9606.ENSP00000263578,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000316228,9606.ENSP00000323929,9606.ENSP00000342848,9606.ENSP00000348170,9606.ENSP00000350314,9606.ENSP00000352071,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000380450,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000412733,9606.ENSP00000450540,9606.ENSP00000496959	MPO,HRG,TTR,C3,CFHR5,ORM1,FOXRED1,CP,HPX,AHSG,CFHR1,CLEC4M,A2M,NOXA1,HP,BCO2,CD163,CR2,CFHR2,CFHR4,CFHR3,MBL2,ABCA1,HLA-C,CYBB,GP2,NOXO1,C1S,ORM2,OSBPL9,SERPINA3,ITGAM
COMPARTMENTS	GOCC:0072562	Blood microparticle	14	118	1.57	3.35	1.13e-14	9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000356395,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000450540	HRG,C3,ORM1,CP,HPX,ITIH4,AHSG,CFHR1,A2M,HP,CFHR3,C1S,ORM2,SERPINA3
COMPARTMENTS	GOCC:0005615	Extracellular space	21	1027	0.81	1.17	5.09e-09	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000450540,9606.ENSP00000496959	MPO,HRG,TTR,C3,ORM1,CP,HPX,ITIH4,AHSG,CFHR1,A2M,HP,CR2,CFHR3,MBL2,ABCA1,HLA-C,C1S,ORM2,SERPINA3,ITGAM
COMPARTMENTS	GOCC:0005576	Extracellular region	27	2079	0.61	0.85	3.84e-08	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000256649,9606.ENSP00000256785,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000450540,9606.ENSP00000496959	MPO,HRG,TTR,C3,TRIM45,CFHR5,ORM1,CP,HPX,ITIH4,AHSG,CFHR1,A2M,HP,CD163,CR2,CFHR2,CFHR4,CFHR3,MBL2,ABCA1,HLA-C,GP2,C1S,ORM2,SERPINA3,ITGAM
COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	14	473	0.97	1.28	1.80e-07	9606.ENSP00000225275,9606.ENSP00000237014,9606.ENSP00000245907,9606.ENSP00000259396,9606.ENSP00000264613,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000365402,9606.ENSP00000450540,9606.ENSP00000496959	MPO,TTR,C3,ORM1,CP,HPX,ITIH4,AHSG,A2M,HP,CR2,HLA-C,SERPINA3,ITGAM
