Gene_Symbol,logFC,adjPval,tissue,omic,direction
HP,2.4590143385754,0.0180908474060927,spinal_cord,protein,UP
PTPMT1,-0.505713012994047,0.0181678743922792,spinal_cord,protein,DOWN
SAA4,2.16224307509348,0.0185513673607691,spinal_cord,protein,UP
SPARCL1,-0.917165973869068,0.0186401880520877,spinal_cord,protein,DOWN
FLAD1,0.702990507845588,0.0190926494631171,spinal_cord,protein,UP
SPHK2,-0.605120672191711,0.0192807070874754,spinal_cord,protein,DOWN
NDUFB5,-0.703145987063023,0.0192807070874754,spinal_cord,protein,DOWN
LCP1,0.828317893268482,0.0192807070874754,spinal_cord,protein,UP
ATPAF2,-0.396251480195877,0.0192807070874754,spinal_cord,protein,DOWN
COX5A,-0.686253635876486,0.0192807070874754,spinal_cord,protein,DOWN
PNPLA4,-0.494701026694669,0.019548218433067,spinal_cord,protein,DOWN
ARHGAP9,0.584768563379307,0.019548218433067,spinal_cord,protein,UP
IL4I1,1.30556778020393,0.019548218433067,spinal_cord,protein,UP
NIT1,-1.03592012521577,0.019548218433067,spinal_cord,protein,DOWN
TIGAR,0.504715948148567,0.019548218433067,spinal_cord,protein,UP
MRPL21,-0.532973123492023,0.0198154803760819,spinal_cord,protein,DOWN
IGKV3-11,3.78713417270497,0.0198422604347506,spinal_cord,protein,UP
CPN1,1.02094807804365,0.021001010780125,spinal_cord,protein,UP
MRPL20,-0.466072918585854,0.0210203163055223,spinal_cord,protein,DOWN
HCK,0.803549408224757,0.0217679317505945,spinal_cord,protein,UP
VGF,-1.24435580053516,0.0217679317505945,spinal_cord,protein,DOWN
ACSL1,0.696257920543763,0.0217974085884292,spinal_cord,protein,UP
WARS2,-0.566628225348991,0.0217974085884292,spinal_cord,protein,DOWN
NDUFA5,-0.886986857031294,0.0217974085884292,spinal_cord,protein,DOWN
NDUFB8,-0.697070193544334,0.022921127410555,spinal_cord,protein,DOWN
PSME2,0.663791992817888,0.022921127410555,spinal_cord,protein,UP
NADSYN1,-0.524986522619229,0.022921127410555,spinal_cord,protein,DOWN
FMNL1,0.476965843728566,0.0238458464886946,spinal_cord,protein,UP
APOE,1.48033851976096,0.0242990089992697,spinal_cord,protein,UP
MARS2,-0.545678224850544,0.0245995806874942,spinal_cord,protein,DOWN
SYPL1,0.737259515922508,0.0249801424238077,spinal_cord,protein,UP
NPL,1.28241382481985,0.0250279298896245,spinal_cord,protein,UP
CD163,2.25464810433299,0.0250969985984746,spinal_cord,protein,UP
CD2AP,0.447753086470936,0.0252017499979474,spinal_cord,protein,UP
SLIRP,-0.601175282809088,0.0252017499979474,spinal_cord,protein,DOWN
MT-ND3,-0.608955810428812,0.0252017499979474,spinal_cord,protein,DOWN
