Gene_Symbol,direction,LCM_SMD,LCM_FDR
CD93,UP,0.817,0.0341
LRCH3,UP,0.814,0.0491
C1orf216,DOWN,-0.813,0.0334
SLITRK1,DOWN,-0.811,0.023
B3GALT5,DOWN,-0.81,0.0351
FBXO9,DOWN,-0.806,0.0246
SORCS3,DOWN,-0.806,0.0352
KAT7,DOWN,-0.806,0.0349
ORC5,DOWN,-0.803,0.0356
RCOR1,DOWN,-0.802,0.0351
NKTR,UP,0.801,0.0469
