Gene_Symbol,direction,mRNA_source,mRNA_logFC_mean,LCM_SMD
LIG4,DOWN,GEO_merged,-1.192544638535684,
PTPN9,DOWN,GEO_merged,-0.9044365004532812,
EIF3A,DOWN,GEO_merged,-0.4735243089290298,
GSTP1,UP,GEO_merged,0.9798218844606066,
DLG4,DOWN,GEO_merged,-0.7581693880798969,
SMARCB1,DOWN,GEO_merged,-1.5425091119916192,
GLRA2,DOWN,GEO_merged,-1.278139968625039,
ABHD2,DOWN,GEO_merged,-1.725261462268664,
HOXB3,DOWN,GEO_merged,-1.2791637920864536,
CHD8,DOWN,GEO_merged,-0.5282126316610282,
QSOX1,DOWN,GEO_merged,-0.5892466849115124,
FUBP3,DOWN,GEO_merged,-0.257460202380116,
DYNLL1,DOWN,GEO_merged,-0.3697967493586377,
DCC,DOWN,GEO_merged,-0.6119271734066765,
FAM155A,DOWN,GEO_merged,-0.5000486433533038,
GRB2,DOWN,GEO_merged,-0.5027483092742557,
KCNMA1,DOWN,GEO_merged,-0.7397211564516499,
EXOC5,DOWN,GEO_merged,-0.947714927823705,
EIF4G2,DOWN,GEO_merged,-0.4486104629052888,
CDH8,DOWN,GEO_merged,-0.029118257891499,
PPIG,DOWN,GEO_merged,-1.0050431300521387,
APLP2,UP,GEO_merged,0.4262267268472167,
DR1,UP,GEO_merged,1.660950773492148,
APBB2,DOWN,GEO_merged,-1.2998602270484931,
EIF4A3,UP,GEO_merged,0.308950844231493,
ERCC4,DOWN,GEO_merged,-0.3072641619630389,
AP3B2,DOWN,GEO_merged,-1.427689273056535,
EZH1,DOWN,GEO_merged,-1.0891103729153864,
FKBP4,DOWN,GEO_merged,-0.3904147383176288,
PIK3R4,UP,GEO_merged,1.1388004030687584,
SLC25A11,UP,GEO_merged,1.5513994222895486,
HCCS,DOWN,GEO_merged,-0.6657090498495802,
PEBP1,DOWN,GEO_merged,-0.351850708348399,
CBLN1,DOWN,GEO_merged,-0.9653896209164496,
BDH1,DOWN,GEO_merged,-0.4257576212876418,
CCNA1,DOWN,GEO_merged,-1.362618574530586,
CSF3R,UP,GEO_merged,2.757836238756525,
PAX6,UP,GEO_merged,0.960846298675627,
GRM5,DOWN,GEO_merged,-0.567461653087686,
PTMS,UP,GEO_merged,2.25542109384558,
VAV2,UP,GEO_merged,1.7896203261197774,
TALDO1,DOWN,GEO_merged,-0.2319106196407024,
PRDX1,DOWN,GEO_merged,-0.3111075530827242,
AKAP1,UP,GEO_merged,1.885046010276567,
WIPF2,DOWN,GEO_merged,-0.5129621058583707,
R3HDM1,UP,GEO_merged,1.1929500680790248,
PRKACB,DOWN,GEO_merged,-0.4234502399900773,
MAN1A1,DOWN,GEO_merged,-1.1989117602408157,
AKAP6,DOWN,GEO_merged,-1.2457027594984398,
AMPD2,DOWN,GEO_merged,-0.649875588214467,
SDC2,UP,GEO_merged,1.855694771991422,
COPS5,DOWN,GEO_merged,-0.324463994795639,
NEFM,DOWN,GEO_merged,-1.103036860576735,
EPS8,UP,GEO_merged,2.0887415676728347,
YBX1,UP,GEO_merged,0.8713296004894799,
PTPRC,UP,GEO_merged,1.0432547187994865,
PSMB5,DOWN,GEO_merged,-0.228186275765532,
HTR2C,DOWN,GEO_merged,-0.9197213560181714,
RCAN1,UP,GEO_merged,1.43048288316721,
ACLY,DOWN,GEO_merged,-0.3574330157316188,
PTPRU,DOWN,GEO_merged,-0.7541525881578865,
SNRK,DOWN,GEO_merged,-1.0580610828795598,
GPM6B,DOWN,GEO_merged,-0.225819485860029,
PAK1,DOWN,GEO_merged,-0.535971992811105,
CDH18,DOWN,GEO_merged,-1.4163918215396134,
ACTB,DOWN,GEO_merged,-0.3741562172996535,
BRE,DOWN,GEO_merged,-0.2788000541901606,
ZNF22,UP,GEO_merged,1.602560704324925,
GNAI3,UP,GEO_merged,1.2377661484013394,
TMED2,DOWN,GEO_merged,-0.801533772348207,
ME2,UP,GEO_merged,0.9477603854776429,
C16orf45,DOWN,GEO_merged,-0.2959016051640974,
NAIP,UP,GEO_merged,1.4048899407486664,
KRAS,DOWN,GEO_merged,-0.9990902247076892,
ANXA11,UP,GEO_merged,0.6002743766848805,
NEO1,DOWN,GEO_merged,-0.9659141505014328,
GCLM,UP,GEO_merged,1.0121488048293128,
MAPK14,UP,GEO_merged,1.0472540770959735,
KIF20B,DOWN,GEO_merged,-1.8175072877203364,
THRA,DOWN,GEO_merged,-0.5808714632215365,
KAL1,UP,GEO_merged,2.2029362188358697,
TCEAL1,UP,GEO_merged,1.4114436483414443,
GFPT1,DOWN,GEO_merged,-0.9918494682762696,
CDK9,DOWN,GEO_merged,-1.122414606382173,
TMPO,DOWN,GEO_merged,-0.1472762986345249,
CCT5,UP,GEO_merged,1.7842398112702504,
TP53BP1,DOWN,GEO_merged,-0.4596792784389802,
NDUFA12,DOWN,GEO_merged,-0.3108990279250325,
VSNL1,DOWN,GEO_merged,-0.7109104370168685,
SOD1,DOWN,GEO_merged,-0.3350379204848059,
PIK3C3,DOWN,GEO_merged,-0.9565677279602096,
MTMR2,UP,GEO_merged,1.09562833233254,
PTCH1,DOWN,GEO_merged,-0.1233386562114784,
RALGDS,UP,GEO_merged,0.8583773942876456,
BPHL,DOWN,GEO_merged,-1.6253256673027243,
