"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BC022313",1.37924966532482,1.20074282562464,4.26756851598019,0.000263367914982413,0.0461530839868014,0.512523537797203
"TPT1",0.123581166461985,2.69561738854603,4.23867146459626,0.000264073567019375,0.0461530839868014,0.501638992190009
"CFI",1.57500002693445,0.433963077189723,4.3897596021835,0.000276960345070048,0.0475089569700714,0.474327749987597
"AL133111",0.246517022511836,1.76311774412849,4.20556149310992,0.000287734284144943,0.0484596849824475,0.424107479530349
"TSPAN14",2.35606467679566,-0.144187717932896,4.29781235121829,0.000312801759313753,0.0487871676793266,0.376946422611158
"APOD",0.623937167771067,2.24795038962052,4.1830717665694,0.00030499300705502,0.0487871676793266,0.371479824850983
"RPL19",0.196680786538933,2.13948681059076,4.17701861417124,0.000309810976769176,0.0487871676793266,0.357320126003043
"IGF2",1.42160547823378,1.34140957145216,4.17534734173687,0.000311154454683812,0.0487871676793266,0.353411034084555
"PTPRA",0.492461972596601,1.17418242441075,4.16936227742287,0.000316013177238432,0.0487871676793266,0.339413435500862
"SFRS7",0.404041151886108,1.23132634940732,4.15433886819426,0.00032854303849404,0.0498900682880376,0.304287306987808
"AK056852",1.42830237610494,0.317771341580938,4.21524080287214,0.000350712828293488,0.050208228206155,0.269418327202526
"PHKA1",0.902690332394313,0.977694568272116,4.13646882787756,0.000344089289745876,0.050208228206155,0.262524629618023
"RBP1",1.26827187090761,0.831311475854073,4.12732961492638,0.000352319424959525,0.050208228206155,0.241174408670655
"ZFP36L2",1.41923059335226,0.789774871240015,4.14188174089154,0.000362734127394112,0.0506583409813257,0.22547683237367
"RPL14",0.307267949355047,1.62304431902688,4.11215657031358,0.000366415723388624,0.0506583409813257,0.205741346766616
"NEK9",0.533797731755583,1.28172298991632,4.09972771947275,0.000378377374585407,0.0515427885409503,0.176729012493946
"SAMD9L",1.71968488762245,0.563087529702256,4.50532580049277,0.00034895035808022,0.050208228206155,0.166067576466678
"ACTN1",2.23834208761317,-0.285628783525506,4.10494711160978,0.000398457057069593,0.052727253137652,0.141260434341527
"PABPC1",0.224303651172294,2.00074453822536,4.06369506529241,0.000415282866158748,0.0541797913975843,0.0926847210583173
"SEMA3G",2.80909626007475,-0.221822535043416,4.33422108675543,0.000390284834328028,0.0523943249330511,0.0909379595654833
"FBXL7",2.14647165479188,-0.00530365143144513,4.14780053543043,0.000448525394041596,0.0569135715754426,0.0595753813625475
"RND3",0.328021375769318,1.55670422610897,4.04585829040601,0.000434847125379662,0.0559442905887752,0.0511193598458988
