"Probe_ID","Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1899387","HS.313142",-0.00610150693321287,6.59474156522926,-0.70078610877597,0.483656442342388,0.636658592022414,-6.7810216730231
"ILMN_1885891","HS.561057",-0.00652323074380767,6.59759434718965,-0.70076002666819,0.483672712450953,0.636658592022414,-6.78103982129446
"ILMN_1803220","PODNL1",-0.0059595815213358,6.60620641917634,-0.700604688724257,0.483769618958455,0.636758052046539,-6.78114789349299
"ILMN_2129886","ABCA8",0.00480540564047161,6.54262145800374,0.700561557046046,0.483796528231291,0.636765374035449,-6.78117789695442
"ILMN_1736060","GLT6D1",-0.00915351982654311,6.74756312610447,-0.700194353078493,0.484025654787339,0.6370388388399,-6.78143325840463
"ILMN_2342903","GIPC1",0.00932644758064693,6.66052251839026,0.700087136475552,0.484092566523097,0.637084797853564,-6.78150779389176
"ILMN_1793466","ANKRD5",0.006008148775412,6.51269274289821,0.700009765460672,0.484140855346962,0.637084797853564,-6.78156157406145
"ILMN_1749676","KIAA1704",0.00705152492709882,6.60061788716416,0.700005600132778,0.484143455087054,0.637084797853564,-6.78156446918973
"ILMN_1862509","HS.563605",0.00615906218204998,6.60734247935122,0.700001517153553,0.484146003437561,0.637084797853564,-6.78156730706449
"ILMN_2241679","UBE2D3",0.00521333037381666,6.4866880813807,0.699696725563494,0.484336256627677,0.637293228840652,-6.78177910578951
"ILMN_2345564","TGM5",0.00642767245877707,6.53263382812086,0.699679313245307,0.484347126753149,0.637293228840652,-6.7817912027735
"ILMN_2120965","NPAT",-0.0255106574618447,7.49358386187218,-0.699578050226655,0.484410345644353,0.637328630047483,-6.78186154799429
"ILMN_2403566","CSHL1",0.00835236523855354,6.65865025767666,0.699567772011997,0.484416762623754,0.637328630047483,-6.78186868747847
"ILMN_1739847","EIF3D",0.0162107782988716,10.2923139408207,0.699393977417049,0.484525274483551,0.637443280314206,-6.78198939333841
"ILMN_1869432","PXMP3",0.014047005354862,6.72646821919609,0.699355367857348,0.484549382866005,0.637446883832103,-6.78201620483648
"ILMN_1700847","PMS1",-0.00632847758808097,6.59555149793753,-0.699239755540376,0.484621576809364,0.63751374299803,-6.78209648024319
"ILMN_2403006","TJP1",-0.00585619876159438,6.53580995173574,-0.698823410419492,0.484881611299896,0.637827687307664,-6.7823854596482
"ILMN_1735292","C10ORF63",-0.00934351796885657,6.77042108356454,-0.69867348411041,0.484975268533364,0.637922755990398,-6.78248947933794
"ILMN_1838320","ONECUT2",0.0100262432613949,6.62523973552765,0.698318295681526,0.485197189821421,0.638166043129693,-6.78273582205132
"ILMN_1653385","KIF3A",0.00502326244320628,6.53821548891545,0.698308977833847,0.485203012342656,0.638166043129693,-6.78274228280729
"ILMN_1746135","PHF23",0.0293432274652465,7.45365696623322,0.69824729798021,0.48524155570359,0.638188598678986,-6.78278504786044
"ILMN_2049184","DNASE1L3",0.00762932096865754,6.6472853684083,0.698123143798832,0.48531914392447,0.638262501687105,-6.78287111736736
"ILMN_1827779","HS.505364",0.00556607550034016,6.60093755778439,0.698004263701269,0.485393442496,0.638332072021147,-6.78295351630702
"ILMN_1809307","DNAJB7",0.00605116491354352,6.59028815527392,0.697947014898068,0.485429224481737,0.638350985994102,-6.78299319196723
"ILMN_1713024","PCDHA7",0.00566521275881815,6.52574618018717,0.697853367994989,0.485487759307605,0.638399817506981,-6.78305808592844
"ILMN_1652424","OR1S1",-0.00514902018861196,6.5392704561938,-0.697804312125046,0.485518423641337,0.638403904108288,-6.78309207642446
"ILMN_1789653","PBLD",-0.00715816963350058,6.68188928941903,-0.697779922281689,0.485533669879475,0.638403904108288,-6.78310897510153
"ILMN_1689251","SPG3A",0.00751508955725733,6.65460084429669,0.697690541342493,0.485589544662773,0.638449229429237,-6.78317089828145
"ILMN_2162465","RKHD1",0.00559659222724651,6.54400062428264,0.697593065444417,0.485650483829542,0.638477421857446,-6.78323842062417
"ILMN_2406151","UMOD",0.00537740708474921,6.51577925523439,0.69758776937192,0.48565379490263,0.638477421857446,-6.78324208898653
