"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol"
"D50912_at",0.531822464809892,9.9687061164657,0.746802688473873,0.470843448529844,0.776864219628005,-6.04248803851332,"RBM10"
"M18700_s_at",-1.38097076440039,6.56921983792789,-0.746455483242748,0.471044752748266,0.776893743147103,-6.04274840582696,"CELA3A /// CELA3B"
"M80333_at",0.91928179516597,9.75106844202577,0.74639277787479,0.471081114126115,0.776893743147103,-6.04279541661864,"CHRM5"
"U17969_at",1.30160131154166,7.66155310567771,0.745932500407705,0.47134807236305,0.777112796674258,-6.0431403820137,"EIF5A"
"X82125_at",-0.818918439021445,5.88128583835176,-0.745702910573449,0.471481268707652,0.777112796674258,-6.04331238169144,"ZNF239"
"M94172_s_at",-0.256059128801835,10.9719724526618,-0.74536505652667,0.47167731750743,0.777112796674258,-6.04356540194088,"CACNA1B"
"U27768_at",1.08102528310075,6.53330669339307,0.745243923476796,0.471747620670676,0.777112796674258,-6.04365609381535,"RGS4"
"X84195_at",0.717201271655886,8.04518715292393,0.745032942673834,0.47187008538296,0.777112796674258,-6.04381402267478,"ACYP2 /// LOC101927144"
"Y08417_s_at",-0.782320314058973,6.02281094959201,-0.745027160129255,0.471873442167269,0.777112796674258,-6.04381835060892,"CHRNB3"
"X54941_at",0.633891812499687,8.08673160969222,0.744680747973027,0.472074562850617,0.777262962122465,-6.04407756690185,"CKS1B"
"X87767_at",-0.740881777786875,8.61848076085188,-0.744306522490559,0.472291892005564,0.777439738411953,-6.04435747355321,"FCAR"
"X92475_at",-0.206291099522117,10.2370179733015,-0.743862127621997,0.472550053271812,0.777521743810255,-6.04468969962599,"TMEM187"
"U32986_s_at",0.215462987427061,12.3002910195013,0.743817904296201,0.47257574867492,0.777521743810255,-6.04472275085183,"DDB1"
"X73501_at",0.219436128605745,4.46156926763647,0.743652892640574,0.472671634355937,0.777521743810255,-6.04484606012792,"KRT20"
"L09234_at",0.73885945310062,5.23876047369682,0.743241895782306,0.472910511304678,0.777733732245656,-6.04515308110157,""
