Gene_Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
OTTHUMG00000066734;RP11-95K23.5,0.171471666666667,3.34145714285714,2.49699583711828,0.0164619042136401,0.0597008572898561,-3.88062704998255
FAM195A,-0.0951344444444473,6.29506357142857,-2.49672799150975,0.0164727201860984,0.0597247260132754,-3.88121634176442
SIRPA,-0.121542083333332,5.69577071428571,-2.4962486456698,0.0164920929590025,0.0597849867525532,-3.88227084181419
IGLV3-32,0.118421666666666,3.69286619047619,2.49622719944698,0.0164929601925476,0.0597849867525532,-3.8823180172734
FOXN2,-0.295041666666664,9.3336180952381,-2.49617675023979,0.0164950004003565,0.0597870644618566,-3.88242898968598
OTTHUMG00000003685;RP5-893G23.1,0.181625972222223,3.75224738095238,2.49605257912531,0.0165000229608162,0.0597916243999316,-3.8827021200542
IRF2BP2,-0.21770027777778,9.93864928571429,-2.49603882143654,0.0165005795270348,0.0597916243999316,-3.88273238124322
OTTHUMG00000163011;RP11-395P13.5,0.207202777777778,3.76031547619048,2.49603364121811,0.0165007890967885,0.0597916243999316,-3.88274377553557
OTTHUMG00000014380;RP3-425P12.2,0.196895138888889,3.77162428571429,2.49601988919096,0.0165013454574517,0.0597916243999316,-3.88277402410115
FCGBP,0.0610550000000014,4.13535523809524,2.49597101431016,0.0165033229084137,0.0597957172970644,-3.88288152689023
LINGO4,0.117451111111111,4.49685547619048,2.49574215950839,0.0165125851154292,0.0598253381847282,-3.8833848838997
RNU6-51,-0.274130277777777,6.59179023809524,-2.49570667574337,0.0165140216368186,0.0598253381847282,-3.88346292595895
OTTHUMG00000013955;RP11-353N4.5,0.153748055555557,5.33722047619048,2.49570614668434,0.0165140430560541,0.0598253381847282,-3.88346408955124
MIR4263,-0.161299166666667,6.12665571428571,-2.49521022372713,0.0165341318727588,0.0598888845435319,-3.88455472311141
NIPSNAP3A,0.292205000000004,6.83896095238095,2.495050703795,0.0165405984176856,0.059909230250652,-3.88490550508823
CELF4,0.235553194444444,6.91101571428571,2.49499365223494,0.0165429117055201,0.0599145317485824,-3.88503095658609
CD70,-0.191925277777779,5.23302952380952,-2.49496133673522,0.0165442221429004,0.0599162008002754,-3.88510201465978
MUC22;OTTHUMG00000133710;XXbac-BPG118E17.9,0.0905773611111114,4.89048904761905,2.49488101266368,0.0165474798018878,0.0599187676149379,-3.88527863511186
CKM,0.093033888888888,4.264235,2.49469797367836,0.0165549053916419,0.0599402887442072,-3.88568109431605
OTTHUMG00000159357;RP11-340E6.1,0.0997674999999996,3.42235833333333,2.49459357636959,0.0165591419748575,0.0599517618713934,-3.88591062935866
GFM2,-0.106920138888887,9.08106333333333,-2.49413917288836,0.0165775937640532,0.0600062436494547,-3.88690962878144
OTTHUMG00000017954;RP11-324I22.2,0.241666805555556,3.68954476190476,2.49403565299965,0.0165817999701612,0.0600183883851201,-3.88713719685218
SPDEF,0.0806720833333339,4.97844166666667,2.49384723915284,0.0165894580661558,0.0600399441239612,-3.88755136956117
ATAD3B,-0.0695590277777782,6.64363976190476,-2.49343089371476,0.0166063918638314,0.0600888955060535,-3.88846650079426
MYO7B,0.0569011111111086,4.43663214285714,2.49329416232788,0.0166119564938484,0.0601059467351941,-3.88876701293805
OTTHUMG00000157083;RP11-13J8.1,-0.136492361111112,4.56340047619048,-2.49324702351366,0.016613875320152,0.0601098055203714,-3.88887061313274
MIR4721;TUFM,-0.134540277777777,9.77902761904762,-2.4930352960016,0.0166224963572414,0.0601379115888644,-3.88933592322438
OR5AC2,-0.133891388888888,3.00903785714286,-2.49293888464789,0.0166264233439286,0.0601428628171869,-3.88954779515765
KCTD19,0.0858484722222226,4.18161238095238,2.49242012559873,0.0166475676998743,0.0602008212951613,-3.89068770667531
AP001422.3;OTTHUMG00000090768,0.115464444444446,4.33352023809524,2.49236724910358,0.0166497242911509,0.06020244596928,-3.89080388661177
NRG1-IT3,0.238279027777778,3.89614666666667,2.4923240810325,0.0166514851083385,0.0602057259315742,-3.89089873389649
ADCK4,-0.0942318055555553,6.18752880952381,-2.49202305888133,0.0166637684495337,0.0602408725838869,-3.89156009468475
OTTHUMG00000018055;RP11-20J15.2,0.158058749999999,3.64197595238095,2.49179471595262,0.0166730915759716,0.0602683976018579,-3.89206173599698
OTTHUMG00000007814;RP5-1109J22.2,0.121729305555555,2.82161404761905,2.49116562028251,0.0166988017644782,0.0603489595591009,-3.89344360514294
IFNA7,0.22778375,3.49808214285714,2.49103429497821,0.0167041733752289,0.0603590930440779,-3.89373204110317
ACSM5,0.0889880555555553,4.07721476190476,2.49062741593148,0.0167208259577693,0.0604130749023906,-3.89462561702584
HLA-G,0.143067083333333,5.29077428571429,2.49028231929069,0.0167349617589467,0.0604571369584357,-3.89538342322752
RNU5A-4P,0.308433333333333,4.60293428571429,2.4902700295076,0.0167354653715793,0.0604571369584357,-3.89541040922572
RNY1P7,0.174725138888888,3.45490904761905,2.49005007477706,0.0167444810401454,0.060479950647589,-3.89589337074397
OTTHUMG00000151104;RP3-370M22.8,0.153436944444445,2.88266047619048,2.48995861732926,0.0167482310653455,0.0604903973891919,-3.89609417740741
OTTHUMG00000158838;RP11-508O18.1,0.220693472222222,3.74439,2.48990956585059,0.0167502426351417,0.0604914666815904,-3.89620187401926
RGS8,0.530924444444449,7.89914428571429,2.48980825195151,0.0167543981485483,0.0604974455742117,-3.89642431214217
PSMD3,-0.112700555555557,8.95633857142857,-2.48980681327354,0.0167544571644299,0.0604974455742117,-3.89642747076032
C7orf62,0.153930277777778,4.29276404761905,2.48980645830293,0.0167544717256771,0.0604974455742117,-3.89642825009826
MAST4-AS1,0.172294166666667,4.07769714285714,2.48964222470041,0.0167612099849667,0.0605186776453925,-3.89678881609525
METTL7A,-0.282519861111113,6.58651119047619,-2.48961512917771,0.016762321910424,0.0605195939225326,-3.89684830115214
LINC00308,0.135388888888887,4.14540785714286,2.48951845554124,0.0167662896759058,0.0605261221570315,-3.89706053291454
TDRD3,0.183202916666668,7.50060071428571,2.48922861758557,0.0167781905795456,0.0605613846986024,-3.89769678984707
MIR1264,-0.376189861111112,5.17089714285714,-2.48911786814752,0.0167827400382922,0.0605716382016532,-3.89793989425291
RNA5SP487,0.169957499999998,4.42656023809524,2.48911764907235,0.0167827490387576,0.0605716382016532,-3.89794037513352
GMIP,0.146984305555556,6.46706214285714,2.48902418517723,0.0167865893015032,0.0605823978972371,-3.89814553003877
RNY4P31,0.276857916666665,4.71638785714286,2.48892214648389,0.0167907827990392,0.0605929238932804,-3.89836950024018
MIR550A2;MIR550B2,-0.223837500000001,5.43050285714286,-2.48885805096174,0.0167934174278969,0.0605929238932804,-3.89851018344995
C10orf88,0.0730302777777787,8.98546547619048,2.48841377522382,0.0168116895893562,0.0606326472798489,-3.89948524988115
HAVCR1,-0.11804861111111,4.99948976190476,-2.48835810761355,0.0168139803586801,0.0606378080713474,-3.899607416276
EGFL7,0.0659434722222212,6.0155730952381,2.48822364090884,0.0168195149476392,0.0606524395714453,-3.89990250431582
WBSCR17,0.132239999999999,5.87406071428571,2.48821774797935,0.0168197575358217,0.0606524395714453,-3.89991543611596
GLMN,-0.131945694444447,8.08938857142857,-2.4878864657713,0.0168334002051066,0.060695428327866,-3.9006423851696
AC073218.2;OTTHUMG00000152144,0.117190555555554,4.06837714285714,2.48709077994619,0.0168662087595962,0.0607919677171113,-3.90238810420803
AC116609.3;OTTHUMG00000151376,0.156132083333334,6.42799,2.48669755073899,0.0168824442426312,0.0608410999234205,-3.90325068803526
OTTHUMG00000019426;RP11-59O6.3,0.14552138888889,4.00388785714286,2.48661826437794,0.0168857195044546,0.0608410999234205,-3.90342459755097
SPZ1,0.151658749999999,3.30957714285714,2.48636093801379,0.0168963534470666,0.0608757297510717,-3.90398899791074
RAB33B,0.153454027777778,7.42346190476191,2.48619025980947,0.0169034100337573,0.0608949318456613,-3.90436332672862
GNAO1,0.469524999999999,11.6152166666667,2.48616859414759,0.016904305978885,0.0608950488097719,-3.90441084215867
OTTHUMG00000021356;RP11-87M18.2,0.103670277777778,4.04160571428571,2.48609569157688,0.0169073210526188,0.0609027991926568,-3.9045707240961
RNF111,0.118606111111111,9.38197214285714,2.48593738576415,0.0169138698800704,0.0609170545708699,-3.90491789106719
EMR4P,0.0944683333333329,3.96928523809524,2.48588330359544,0.0169161076904617,0.0609188920315799,-3.90503649028867
CCDC102B,-0.176158333333336,6.78171142857143,-2.48581772353813,0.0169188216210111,0.0609255543902452,-3.90518030117282
CCT6P3,0.137315555555556,9.77604714285714,2.48504246635213,0.0169509344489106,0.0610318451085169,-3.90688015321814
OTTHUMG00000156059;RP11-115N4.1,-0.0691291666666678,3.40350261904762,-2.4849289862133,0.0169556396846954,0.0610425533454374,-3.90712894006194
IGLJ4,0.354860972222224,6.71169380952381,2.4847259219664,0.0169640623146927,0.0610697583776966,-3.9075741044724
LINC00254;MEIOB,0.0777238888888903,4.09545642857143,2.48453352334153,0.0169720460661718,0.0610887063112589,-3.90799586236756
FAM98B,-0.313696527777779,9.51724095238095,-2.48449866066214,0.0169734930891935,0.0610887063112589,-3.90807228240406
DTNA,-0.278064444444443,8.39689880952381,-2.48440088684356,0.0169775519227398,0.0610953955055763,-3.90828660128354
LINC00507,0.133742499999999,3.50562428571429,2.48372138100257,0.0170057842599845,0.0611793563927401,-3.90977589545491
WIPF1,0.0996693055555529,5.705415,2.48367753872301,0.0170076072975411,0.0611827937892516,-3.90987197553653
