Gene_Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ROR2,-0.654113333333333,6.08873388888889,-17.5191867399763,2.05740961948144e-19,2.37860161630639e-16,34.1385084365512
ARF4,1.50573888888889,14.1380472222222,17.4749144554193,2.23587141673275e-19,2.5305510677221897e-16,34.0572841532116
CD177P1,4.72797888888889,7.18421444444444,17.4327514063958,2.42057846456135e-19,2.6262531547117e-16,33.9797633008534
TMOD1,2.16128611111111,8.06061194444444,17.3991373325867,2.57898703318841e-19,2.6829673113023197e-16,33.9178440147007
NSD1,-0.726509444444444,9.43656694444445,-17.397497187671,2.5869826463502403e-19,2.6829673113023197e-16,33.9148201115908
HIST1H2BH,-2.92846277777778,7.1234775,-17.3443439392736,2.86032401164754e-19,2.9234584097597e-16,33.8166887142665
FGFR2,-1.72392,6.97983833333333,-17.3102839121375,3.05086524959126e-19,3.07365957138464e-16,33.7536704285503
GALNT6,0.77725,5.06069944444444,17.2313035106653,3.54434975444607e-19,3.4716413574e-16,33.6071272831359
OTTHUMG00000067411;RP11-706O15.3,-1.21280944444444,10.8576897222222,-17.2070218399633,3.71195077748997e-19,3.57290299909873e-16,33.5619579157221
CLIP4,1.26972611111111,7.79230527777778,17.20179772579,3.74905806521711e-19,3.57290299909873e-16,33.5522327230793
HSPA13,0.905933333333332,12.5836055555556,17.0664627747931,4.85506049134399e-19,4.565245747080689e-16,33.2994058841511
OTTHUMG00000161955;RP11-184E9.4,-3.06223777777778,6.41929,-17.0203983409264,5.3035698944407e-19,4.92136394296897e-16,33.212958622844
HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J,-2.17786666666667,6.16828666666667,-16.9803419286528,5.72800049089659e-19,5.24617894311039e-16,33.1376238146085
TTC13,0.852139444444447,8.95339416666667,16.8791410995353,6.96224787506113e-19,6.29283108925318e-16,32.9466169843413
CLCN6;NPPA-AS1,1.46700833333333,9.90485138888889,16.8727170443853,7.04924146804591e-19,6.29283108925318e-16,32.9344593588457
SYT13,1.08348611111111,5.96461972222222,16.8209417906331,7.79229541569519e-19,6.83903338391564e-16,32.8363302116037
ZNF217,-0.992124444444443,7.33623888888889,-16.8168030764161,7.85505018358787e-19,6.83903338391564e-16,32.8284750965006
PTPRG,-1.21127944444444,9.21957361111111,-16.8086617387128,7.98001064559887e-19,6.863101106824019e-16,32.8130183802673
