"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"R-HSA-1296041","Activation of G protein gated Potassium channels",-1.90510091797406,0.00127140252096178,0.0131601313573236,11,"2782/2785/3766/2783/2786/10681/9568/2550"
"R-HSA-1296059","G protein gated Potassium channels",-1.90510091797406,0.00127140252096178,0.0131601313573236,11,"2782/2785/3766/2783/2786/10681/9568/2550"
"R-HSA-997272","Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",-1.90510091797406,0.00127140252096178,0.0131601313573236,11,"2782/2785/3766/2783/2786/10681/9568/2550"
"R-HSA-6805567","Keratinization",1.87356942132522,0.00126146334203567,0.0131601313573236,17,"1475/1832/5318/3857/3848/3875/1829/1823/1828/3728/23581"
"R-HSA-6809371","Formation of the cornified envelope",1.87356942132522,0.00126146334203567,0.0131601313573236,17,"1475/1832/5318/3857/3848/3875/1829/1823/1828/3728/23581"
"R-HSA-9707616","Heme signaling",1.81549023784642,0.00122660771670878,0.0131601313573236,14,"335/338/3043"
"R-HSA-3000480","Scavenging by Class A Receptors",1.81336790573047,0.00131071707406676,0.0134490969339024,14,"335/1277/338/1278/1281/348/2512/1284/2495"
"R-HSA-6802948","Signaling by high-kinase activity BRAF mutants",1.82931881596601,0.0013516247332147,0.013749286079253,32,"2243/2266/2244/2335/3690/8826"
"R-HSA-8875878","MET promotes cell motility",1.82720713780095,0.00137642449758206,0.0138818880952721,32,"1277/1278/2335/3912/3910/1281/1280/3908/1290/50509/3915/2549/10319"
"R-HSA-5668599","RHO GTPases Activate NADPH Oxidases",1.85448593935041,0.00149142354211734,0.0149142354211734,16,"6280/6279/1535/1536"
"R-HSA-416993","Trafficking of GluR2-containing AMPA receptors",-1.85248452872336,0.00211052858489034,0.0209279305056353,16,"1175/9463/160/163/23426/1173/5578/5582/2890/2892/2893/7102/2891"
"R-HSA-1296071","Potassium Channels",-1.79237233330746,0.00260174032915064,0.0255837799033146,32,"3778/2782/2785/3746/3748/3766/7881/3739/3782/2783/3781/3751/2786/10681/9568/2550"
"R-HSA-202733","Cell surface interactions at the vascular wall",1.67340848782246,0.00268216523553295,0.0261566527101561,79,"2147/57126/1277/3512/338/1278/2335/5627/857/3690/3689/3683/972/6383/3687/5777/10544/3684/2995/2207/4099/5175/3655/50848/4267"
"R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance",1.7831455817001,0.00280496188280516,0.027129959194345,38,"335/4023/338/345/2/336/341/348/5360/55911"
"R-HSA-6806834","Signaling by MET",1.6626927487074,0.00286768033357677,0.0275110796229317,62,"1277/1278/2335/3912/3910/1281/1280/3908/1290/50509/3915"
"R-HSA-418597","G alpha (z) signalling events",-1.86714654955149,0.00299661146277043,0.028516141339267,27,"2782/2785/26575/2771/2781/109/2773/5581/8601/5578/5582/2783/114/2786/10681/108"
"R-HSA-2187338","Visual phototransduction",1.70493252612397,0.00302280610802106,0.0285352896597188,44,"335/4023/338/345/336/3339/55937/348/7276/6383/2342"
"R-HSA-8964539","Glutamate and glutamine metabolism",-1.91662322968803,0.00346121977679787,0.0321593648552873,13,"5831/5832/284716/2746/2806/2744/2752/27165/29920"
"R-HSA-8949664","Processing of SMDT1",-1.91449425859391,0.00346121977679787,0.0321593648552873,13,"6687/5245/23203/9512/90550/30968/79568/10367/10939/10730/286097/55486"
"R-HSA-264642","Acetylcholine Neurotransmitter Release Cycle",-1.91287380139285,0.00356082152936846,0.0328263234738655,13,"6616/6812/8499/22999/6804/6844/5864/6857"
"R-HSA-70221","Glycogen breakdown (glycogenolysis)",-1.81039090088686,0.00389182939980227,0.035599679781137,14,"2992/8908/5257/5260/178/5255"
"R-HSA-9865881","Complex III assembly",-1.87398267313528,0.00398178233424282,0.0359810444575808,19,"617/3313/150274/7388/7384/1537/2395/7385/55245/9054/3954/84300/54902/23479"
"R-HSA-420092","Glucagon-type ligand receptors",-1.79610673208293,0.00402499819355989,0.0359810444575808,10,"2778/2782/2785/2783/2786/10681/117"
"R-HSA-375165","NCAM signaling for neurite out-growth",1.69679550386752,0.00400313892742465,0.0359810444575808,39,"6708/6710/1293/1291/1292/1281/1280/1290/50509"
"R-HSA-9660821","ADORA2B mediated anti-inflammatory cytokines production",-1.76228185597133,0.00413337697641818,0.0366720664073192,24,"5567/2782/2785/2771/2781/109/2773/5577/2783/114/2786/10681/108"
"R-HSA-936837","Ion transport by P-type ATPases",-1.77700346743779,0.00443477529891902,0.0384781974465033,31,"476/488/818/53826/490/23250/23400/817/481/816/815/492/493/478/477/10079/10396/491/482"
"R-HSA-9635486","Infection with Mycobacterium tuberculosis",1.74115132602748,0.00442408609856429,0.0384781974465033,21,"1511/4057/4360/567"
"R-HSA-6794361","Neurexins and neuroligins",-1.69087845881717,0.00443320451059429,0.0384781974465033,40,"8573/9455/54413/6812/9379/57669/57502/6804/9369/9456/58512/127833/57555/1742/2915/9066/6857/2902"
"R-HSA-392170","ADP signalling through P2Y purinoceptor 12",-1.84282683993936,0.00471432713755526,0.0400494450995672,12,"2782/2785/2771/2773/2783/2786/10681/64805"
"R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins",1.75123962977546,0.00467186768247575,0.0400494450995672,14,"2243/2266/2244/2335/3690"
"R-HSA-1474165","Reproduction",1.66458037330822,0.00471768887189817,0.0400494450995672,31,"928/4000/25777/85236/8970/6117/23224/6118/5885/8243/6119/23353/3306/84329/7329/10735/9126/3014"
"R-HSA-446652","Interleukin-1 family signaling",1.59057960951452,0.00490928827010548,0.0413782868480319,99,"6288/1511/5777/5720/5699/79792/5721/3606/5696/3146/6285/9491/4792"
"R-HSA-375276","Peptide ligand-binding receptors",1.75442819380772,0.00522818062811905,0.0437535683771666,27,"6288/718/2147/5473/727/3827"
"R-HSA-372708","p130Cas linkage to MAPK signaling for integrins",1.7396117062047,0.00535140428117048,0.0444694158576138,14,"2243/2266/2244/2335/3690"
"R-HSA-9656223","Signaling by RAF1 mutants",1.69114747931975,0.00550831280392554,0.0454532105498751,37,"2243/2266/2244/2335/3690/8826"
"R-HSA-5339562","Uptake and actions of bacterial toxins",-1.72403346458375,0.00583718349738958,0.0478324758813868,24,"6843/6804/112755/6844/127833/22987/9899/6857/9900"
