"Gene_Symbol","logFC","adjPval"
"GRAP2",0.578650375663806,0.00255493731545243
"M6PR",0.576682012719965,0.0301046991430989
"VASP",0.573551629100207,0.0960237251342035
"FMOD",0.570223274386397,0.839907499162735
"SLC30A7",0.567808212757594,0.0791767843393455
"NPC2",0.564930685324603,0.141465707478214
"KANK2",0.562621525423038,0.629352766157039
"TRAP1",0.561995550488332,0.0948474425348991
"ARHGEF10",0.560066118599252,0.0666257154650942
"RCSD1",0.558713364574244,0.0335756402450224
"CD53",0.557822622365221,0.0393729034668001
"HVCN1",0.557390549131389,0.0778351439491619
"LRRFIP1",0.556106181942665,0.0595782202308319
"PRG2",0.554563917291573,0.596121490650835
"ACADM",0.552539269188433,0.098155257402935
"FNTB",0.550863221614769,0.110663479572443
"ACOX3",0.54959288242946,0.0451276491588058
"KLHL41",0.548279291420183,0.408403652535049
"PDLIM1",0.547322874438231,0.330781463045685
"ITGAL",0.546773467358355,0.0531810544089119
"NES",0.545802083156119,0.652016035366919
"FTL",0.545059623922569,0.162070818073534
"P2RX4",0.544734038973711,0.111314923616262
"TAGLN2",0.542378397646791,0.294165413102732
"FKBP5",0.542260038406289,0.441644080883498
"TNXB",0.541053271755006,0.762072004000713
"DPYSL5",0.540863844825543,0.241369710290036
"MTHFS",0.540629512341356,0.037991818107561
"FGD3",0.539961320310942,0.122332759346535
"GLRX3",0.539780420302863,0.258343193833035
"OSBPL9",0.536865949941717,0.0177126210832516
"SLC39A14",0.534715831365644,0.00787657175798794
"FCGR2C",0.533189241640491,0.224738169261899
"BID",0.532154403058682,0.0126536883679375
"SCPEP1",0.531897429701958,0.00915610425881052
"STAT6",0.53165666089196,0.198204058460192
"EFEMP2",0.530955982354942,0.381682089153875
"CTSS",0.530715434321368,0.343855846879605
"SP100",0.528992647087628,0.219837924046378
"RAI14",0.527587540078839,0.0771126446596072
"SORBS2",0.526846895215522,0.580214061969265
"PRPH",0.525908461032689,0.691191383636264
"DDX24",0.52563120843152,0.0431245370036151
"PDIA5",0.524813006620694,0.169065499138568
"PLEKHA4",0.524656136436588,0.602588768188395
"IGFBP6",0.523914755950979,0.601773661118112
"UBL3",0.520859225056778,0.17011660706975
"ABCB9",0.520803871689766,0.161220954602505
"USP26",0.520440007199196,0.166380830524107
"CEMIP2",0.519670670518057,0.342557800436002
"C4B; C4B_2",0.518077582973116,0.488931629953942
"HDDC2",0.517100618632755,0.00314536759011681
"AGPAT4",0.517000497907043,0.216955002275542
"COL5A3",0.516639021796956,0.278418895538546
"SNX18",0.516622006468765,0.0451656225854988
"RNASE4",0.516170725630047,0.483447748865497
"PECAM1",0.514075338133592,0.256625556698464
"BCAS1",0.512529178850178,0.361995403067671
"MYO1A",0.512375905593284,0.647124352651114
"STEAP3",0.512139410741108,0.407599268002013
"ATP2A3",0.511155982570748,0.343838380153365
"SVIL",0.510749292652985,0.413049268974915
"FKBP15",0.509600018651101,0.114759869674274
"CLU",0.508223761084164,0.571923723116453
"LIMA1",0.507050893115927,0.294165413102732
"ARPC5",0.505625774048896,0.0284125728172484
"SFN",0.505336575048567,0.563063491292662
"TIGAR",0.504715948148567,0.019548218433067
