"Gene_Symbol","logFC","adjPval"
"HLA-DPA1",1.65932473333624,0.211050708636791
"IQCB1",1.65717157605944,0.919344816241497
"TGFBR2",1.64355708773505,0.500408208548823
"ABCE1",1.64145872471458,0.543197318982829
"HIP1",1.62746607962659,0.639489104960224
"EFEMP1",1.62130865479141,0.392902580545241
"CTSO",1.6179389466335,0.891481356340722
"STC1",1.61556698565313,0.889433527316552
"NCBP2",1.60915195859615,0.612703545925402
"ZNF22",1.60256070432493,0.37589411339447
"NUP88",1.6019110123477,0.947860880438591
"LAPTM5",1.59862425514051,0.449189023281369
"PRKX",1.59531144721988,0.452554539256259
"PDXK",1.58954044512533,0.624101470801635
"HLA-DRA",1.58673209692943,0.286829347484783
"IFITM1",1.58083190868206,0.450470744020792
"SERPINA3",1.57841036950172,0.673456147681913
"LTBR",1.57703127772108,0.514432052662429
"NFIX",1.57393307306598,0.550508358913773
"ITGA2",1.57230382910647,0.550508358913773
"THBS1",1.56911982103754,0.822136144276097
"HLA-DRB5",1.55205392671626,0.614792468547831
"SLC25A11",1.55139942228955,0.822136144276097
"CD163",1.54960984127958,0.507765387094101
"ITGAV",1.54842502201946,0.285958872630548
"DNMT1",1.54654064250754,0.403231860684421
"NCOA6",1.54088094248849,0.400428485286326
"KLF3",1.53640592304044,0.137245984057856
"EMG1",1.5311291975087,0.475235360629942
"KAT5",1.53105527233893,0.771594040874636
"TGFBI",1.52992893934742,0.373489257654326
"MEF2C",1.51739395327769,0.469640293390252
"RBPMS",1.5077611130534,0.588920397802444
"TM4SF1",1.50751070961928,0.737323385963666
"ANXA1",1.5068155654907,0.784219883089867
"NIPA2",1.50448388646104,0.616006343358089
"GPNMB",1.50148343697443,0.128315568394001
"P4HB",1.49976424606071,0.550508358913773
"PKN2",1.49185403254497,0.300488064247222
"MAPT",1.4844582250166,0.463816753406968
"TAF13",1.47902925677052,0.870113679545114
"COL1A2",1.47893051130275,0.900234597157009
"VIM",1.47872431357731,0.246867829296813
"ARHGDIB",1.47447304500093,0.173180608596597
"RCN1",1.47309415795873,0.570862159043244
"SERPINB1",1.46786538522626,0.514432052662429
"NID1",1.46683151255773,0.958120496431073
"AKT3",1.45537361300628,0.822136144276097
"TUFM",1.44619055526965,0.971400925280805
"FAM3C",1.43937536460177,0.995480409940824
"PLOD2",1.4343940383567,0.635376233524986
"RCAN1",1.43048288316721,0.372156042903217
"POLD3",1.42589654036243,0.300488064247222
"PTPRF",1.42140960558352,0.527473412698379
"EMP2",1.4182651598702,0.404197634632639
"F3",1.41659670004248,0.78911782281189
"TCEAL1",1.41144364834144,0.822136144276097
"CX3CL1",1.41097380192695,0.921641971360164
"TOB1",1.40783378936589,0.621304922169123
"NAIP",1.40488994074867,0.822136144276097
"MTMR3",1.40267491442224,0.822136144276097
"EMP1",1.40125735604376,0.283899047537189
"FYB",1.3901461844486,0.90513316847463
"CDR2L",1.3890872630612,0.995480409940824
"SF1",1.37905989806907,0.822136144276097
"LPL",1.37317088480931,0.545286200176367
"ZNF45",1.3720686520355,0.511004764113604
"C3",1.36614586742936,0.821566915114905
"KDELR1",1.36432090105758,0.822136144276097
"MASP1",1.36039835872715,0.747590994113012
"MAP3K5",1.35873912480825,0.822136144276097
"PRDX3",1.35374570272294,0.822136144276097
"NDUFA9",1.35335430017011,0.994911621869132
"ZNF160",1.35121956285301,0.451633895920899
"C7",1.34730407456402,0.539676790650895
"HELZ",1.34720636670501,0.527473412698379
"BMP6",1.34205670612941,0.767240390672075
"TEAD1",1.33999118543511,0.549096557808742
"CTSS",1.33856972000921,0.648493711843851
"BCL9",1.3383675099174,0.605601801804837
"OXA1L",1.33758803572647,0.942653848857742
"GPR183",1.32997907351713,0.550508358913773
"TCF12",1.32722949142035,0.508256191704159
"ATP13A3",1.32427285006471,0.924272077092678
"CPT1A",1.32139616359205,0.654808102240908
"TTLL4",1.3185671195012,0.889286713276747
"APOC1",1.31753208471746,0.758268197314981
"NFIL3",1.30836950461897,0.449189023281369
"C1QB",1.30552868210323,0.520072635798653
"ITGA6",1.30215351696849,0.5646185213048
"FCGR2B",1.30155695236451,0.822136144276097
"DTNA",1.29799531787068,0.0797418410926729
"EVI2B",1.29747727494156,0.475235360629942
"HMGA1",1.29660908753656,0.822136144276097
"TMEM151B",1.29489345286229,0.822136144276097
"DAP",1.2869637712883,0.67764483196647
"SCARB1",1.28304620847842,0.846146536404131
"SCP2",1.27814048215585,0.822136144276097
"SUPT6H",1.27677724308692,0.822136144276097
"TROVE2",1.26180139847359,0.523437227714434
"SKIV2L2",1.25965302867293,0.711872388508489
"CALR",1.25626394587561,0.513187866303401
"TRIM25",1.25005942981522,1
"SNX19",1.24808384467646,0.475235360629942
"CYBB",1.24570135942691,0.510789540279084
"GNAI3",1.23776614840134,0.37589411339447
"CTGF",1.23558673068064,0.58859646052474
"FKBP1B",1.23440276766577,0.822136144276097
"ID3",1.23303907912428,0.621192161167302
"ZFX",1.21933574532466,0.476983588252636
"LTBP1",1.20813451296243,0.590098801243575
"ICAM1",1.20632444149506,0.671812452458296
"SMARCD3",1.20521000604248,0.724696226156014
"ATP5A1",1.20517288249623,0.543722529645012
"HLA-E",1.20496513484859,0.452554539256259
"P4HA1",1.19552690357553,0.627522800461346
"R3HDM1",1.19295006807902,0.764723227282641
"ANXA7",1.19011402968203,0.991943598288885
"CCND1",1.18823307168597,0.739059949521633
"GCH1",1.18146432626765,0.550508358913773
"CYP2J2",1.17877640017031,0.78911782281189
"RELA",1.17064567943817,0.588313014215823
"PSEN1",1.16906618971513,0.510789540279084
"AHR",1.16822278487733,0.16397957337023
"PTPRG",1.15815847099336,0.822136144276097
"NNT",1.15247646830031,0.886013612584118
"RBM42",1.15195330356869,0.837420944916614
"TUBG1",1.1503589870777,0.665316240473948
"RARS",1.14467258782113,0.78390426048725
"NEK3",1.14433164791612,0.84530043026265
"LRRC16A",1.14027517777878,0.801332106604879
"PIK3R4",1.13880040306876,0.822136144276097
"TTF1",1.12877380911016,0.668192921263969
"PHKG2",1.12359943068953,0.665096397415528
"AIF1",1.12102379806343,0.67678688561189
"RAB2A",1.11917132068344,0.822136144276097
"KCNN3",1.11529218291969,0.894784691465748
"SEL1L",1.104162917174,0.886906690937006
"PSEN2",1.09801106262631,0.481090551995735
"TM9SF4",1.09634490481413,0.822136144276097
"MTMR2",1.09562833233254,0.890091832162102
"CYP27A1",1.09268063339894,0.667855366093078
"SND1",1.08705370584442,0.822136144276097
"SLC6A11",1.08335389917998,0.698618403715163
"EXOSC7",1.08056343484382,0.759840505066487
"MLC1",1.08004385168037,0.449189023281369
"NF1",1.0780041195413,0.822136144276097
"POLR2J",1.07775525385251,0.822136144276097
"RGS1",1.07679236774277,0.764623668886108
"RPS18",1.07579712944238,0.518650511803548
"KCNA3",1.0747620581496,1
"UBE2H",1.07266384104685,0.866976307358808
"PCYT1A",1.07135992118006,0.822136144276097
"TFPI",1.07060832238568,1
"FLT1",1.06775173921553,0.770800470451102
"CSTF1",1.06705252747343,0.822136144276097
"AQP1",1.0642691516267,0.128315568394001
"HNMT",1.05590176823169,0.889494243589341
"NR6A1",1.05459365223354,0.822136144276097
"MAPK14",1.04725407709597,0.542938867329728
"GSTM5",1.04666514579097,0.718661667565577
"PTPRC",1.04325471879949,0.560302171672678
"PLP2",1.04243055827849,1
"NR2F6",1.04100574568883,0.810050892631538
"RAB28",1.04039803372777,0.676150203598021
"ABCD3",1.03965872475081,0.822136144276097
"SLC7A6",1.03525408866152,0.693106296061605
"CRK",1.03435871591368,0.77247200584202
"IGFBP5",1.03426972381198,0.296313805554313
"RAB5B",1.03119341092419,0.527473412698379
"REST",1.02905192653426,0.895400550515432
"HK2",1.02710498898302,0.764623668886108
"RTF1",1.0240559171123,0.880571986310782
"SERPING1",1.01998519928313,0.441832003528865
"ARSB",1.01855466552382,0.510789540279084
"NDUFV2",1.01797842302885,0.822136144276097
"NEU1",1.01654928438024,0.822136144276097
"EPAS1",1.01576956673913,0.822136144276097
"RPL36AL",1.01448362094965,0.326160428055982
"H2AFZ",1.01353886853686,0.526822437979683
"AFF2",1.01324453599994,0.490547073161795
"UBL4A",1.01270494554823,0.822136144276097
"HEXB",1.01266550355291,0.541062622383624
"GCLM",1.01214880482931,0.912023765462897
"PIAS1",1.01135967162454,0.661421633141565
"SLC2A3",1.00515349361836,0.855516840909156
"HLA-DMB",1.00499788563456,0.5030226991096
"MT1E",1.00488687156649,0.273163915276192
"NUP153",1.0044945464379,0.601700723605214
"SUOX",1.0032953028604,0.534150838993233
"CALD1",0.992160422598837,0.531719451452974
"CTAGE5",0.984416405539487,0.883082036225223
"FOXN3",0.982566071512059,0.576733535623425
"GSTP1",0.979821884460607,0.364902445731945
"PGD",0.97972158819914,0.764538236957103
"PPP2R2B",0.973557473968936,0.510773675141119
"DRP2",0.973164664047535,0.822136144276097
"ID4",0.972245813212153,0.514432052662429
"LCP1",0.969570014725749,0.569847252307164
"MNX1",0.967643226455858,0.527473412698379
"MTMR1",0.96346089557338,0.996896294055364
"STT3A",0.963109917750227,0.637936205801501
"PAX6",0.960846298675627,0.356666878446822
"UBE2N",0.953975771695197,0.822136144276097
"PIGB",0.953600398012529,0.508994221007869
"ARF6",0.948306921108021,0.540732049635059
"ME2",0.947760385477643,0.728553653655459
"CX3CR1",0.940024017396159,0.652447878678013
"USF2",0.93950614503869,0.503895242001572
"TWF1",0.938210521241246,0.724696226156014
"MYH10",0.929821178695862,0.510789540279084
"TK2",0.92952047814167,0.983418449145676
"MAPK4",0.927001204211427,0.818066654007205
"MAP2",0.922445827007916,0.441758858700505
"RPS6KB1",0.921293512057577,0.91811907542248
"ITPKB",0.913263594636813,0.90651507101608
"HMGN3",0.912961881654836,0.588313014215823
"CREB1",0.911423949612848,0.809992425543539
"SNRPC",0.908745592488973,0.806956385244486
"CXCL12",0.907993278192846,0.666975292346223
"PTPRS",0.903150753648598,0.790602444785248
"NRG1",0.900659976892522,0.60993269911303
"GNA13",0.899990618074163,0.538110105784586
"ME3",0.898776885757983,0.647038731306546
"PTPN11",0.898381760059227,0.575592706127104
"CACNA1D",0.897681752163049,0.670763298754505
"ASAH1",0.89603345713053,0.225197777790571
"TNFAIP1",0.89578540188197,0.857875451613546
"UBE2D2",0.895213902007423,0.665316240473948
"PSMB1",0.894221160128901,0.975682425937169
"ALAD",0.892434887836827,0.775444348205677
"RPL12",0.891521563976242,0.430624745842832
"PDIA3",0.890221322660899,0.57053493489043
"B4GALNT1",0.888613795146291,0.896578520082818
"UBE2L3",0.888496627272587,0.969347733350333
"EIF3B",0.884512507354264,0.508994221007869
"LGALS3",0.882743131638141,0.970190077703563
"MRPL3",0.878610824727798,0.616118861383549
"MGP",0.878288801896526,0.920277049247399
"AP3B1",0.878281560347199,0.678896866041282
"APEX1",0.876117036888212,0.822136144276097
"TJP2",0.871845245566522,0.508994221007869
"GLIPR1",0.871335999806026,0.615937466094035
"YBX1",0.87132960048948,0.369363230176318
"ST5",0.871075560612835,0.865514021455434
"SMAD3",0.87103171990676,1
"DARS",0.865776662350108,0.457884714750817
"ADAR",0.864626374099963,0.811284787603093
"NFX1",0.862551169759979,0.793584149139768
"PCCB",0.858377940927924,0.569088622304005
"RALGDS",0.858377394287646,0.404287061189353
"NCOA4",0.854994646317435,0.488713907200796
"MGAT2",0.852480016924876,0.822136144276097
"HOXD10",0.852446566008587,0.603216429695419
"EYA2",0.85181949041687,0.827193177195251
"APPBP2",0.849237039489884,0.665407579203506
"RHOB",0.843401055429936,0.655731232753254
"RGN",0.842344661193176,0.822136144276097
"SSFA2",0.841434497595261,0.727588817150632
"LMO2",0.840236177283118,0.605601801804837
"DUSP6",0.83817182950164,0.870535706676678
"CCT8",0.836555766617997,0.822136144276097
"PLD3",0.834884554521756,0.822136144276097
"HINT1",0.834871771761869,0.883923528974029
"CP",0.834081581828986,1
"B2M",0.833877677084844,0.484098415815851
"LAMB1",0.833674286370198,1
"SLC1A5",0.832973946028752,0.899498031014782
"CST3",0.832669835045914,0.920499147055204
"HEXA",0.831922164861453,0.672617494399483
"IGFBP4",0.830816958388787,0.911430094685253
"PABPC1",0.830342470827532,0.447515795822756
"TERF1",0.829419396881321,0.684694420988975
"SERINC3",0.828771335333009,0.946317177773753
"ZNF3",0.828133018216046,0.876252567278803
"TFDP2",0.827930237708848,0.620681614328679
"RER1",0.824266063766526,0.543645658908674
"ALDH1A1",0.824014730459999,0.338380654530771
"ZIC1",0.821937722312074,0.785475262339636
"CCND2",0.818536200183872,0.576053243939626
"PFKM",0.814829016865172,0.967873869288382
"SYP",0.814225875928495,0.915872971687778
"MCFD2",0.813299576327565,0.549096557808742
"OCRL",0.812801975628034,0.822136144276097
"PTGDS",0.811704208946195,0.889494243589341
"DAP3",0.811204595982821,0.993695050311779
"PTAFR",0.8096312934223,0.822136144276097
"WRN",0.809292086756328,0.890500474058969
"MAOB",0.808393336432394,0.338804249979426
"TCEA2",0.808229254381556,0.822136144276097
"KCNA4",0.807972884089265,0.854098188553042
"RBM5",0.807129637948508,0.695729900691439
"DAG1",0.802295237385306,0.651406598765903
"SRPR",0.800245553562101,0.74949664743236
"INPP1",0.799642418510232,0.793150148005867
"CKB",0.797892527454467,0.515108252150754
"MYL6B",0.791708272529282,0.665396213140501
"CCT2",0.790388422823711,0.911370275079141
"PSMC2",0.787866937980984,0.997834667556435
"CYFIP1",0.787033815404977,0.409519490625113
"SLC20A2",0.785341290754485,0.623484202833157
"ARSD",0.782446429240343,0.911370275079141
"SRI",0.777441855360175,0.680478146533324
"FAM168A",0.776363606205612,0.507348055664807
"MAPK1",0.77588668998714,0.818863931281039
"PMP2",0.773524548514256,0.449189023281369
"XRCC1",0.772610624489288,0.718587828285883
"EFNB2",0.77241721381623,0.554798228838868
"TRIM14",0.77045568521987,0.980014915734609
"LBR",0.769082397020556,0.535434704805066
"NUP98",0.769048025485999,0.809992425543539
"CD53",0.76233381730536,0.812124986964943
"SIK1",0.759577940417156,0.616087145910269
"KRT10",0.758771485433666,0.765067162838261
"EPHA4",0.758458866433992,0.822136144276097
"YAP1",0.755843216209727,0.805975715452126
"IFNAR2",0.747520482905424,0.866558952941934
"PROCR",0.747222462031885,0.607529987640583
"TSNAX",0.739782619189421,0.623175200222288
"MAGI1",0.739434474638725,0.822136144276097
"ANGPT1",0.736764823409037,0.808510444692815
"ETS2",0.73371916050752,0.639264895102443
"ACVR2B",0.730242149272498,0.764623668886108
"HIST1H4H",0.727465362807416,0.822136144276097
"TSN",0.725481168991304,0.619640653996986
"GTF2E2",0.723518245306893,0.695729900691439
"CHN2",0.721728442144653,0.956537792078305
"SALL1",0.721687162327265,0.414925287589892
"ZBTB16",0.721002186970478,0.822136144276097
"RRAGB",0.719896052547605,0.357110734694963
"SLC35F2",0.719504771869172,0.639029325444004
"LRP1",0.716548057452688,0.598094294648261
"POLR2C",0.716241769533929,0.754094462772767
"GDI2",0.714906096418298,0.822136144276097
"GAP43",0.714438594637451,0.715829722713765
"ESRRA",0.70989740227401,0.662757003441365
"HCLS1",0.708594231675302,0.822136144276097
"STK3",0.705972229820958,0.623175200222288
"NUP205",0.705405454310272,0.945307593422948
"PBXIP1",0.705183426679429,0.552115962357324
"RND3",0.704456713225984,0.623300870748228
"F8",0.704287533036378,0.727464040914245
"AEBP1",0.701908029791997,0.508994221007869
"IL1R1",0.699814095454647,1
"TFCP2",0.698486673453861,0.822136144276097
"POLR2A",0.697903527766491,0.660270821034909
"PML",0.694283979250761,0.822136144276097
"ADK",0.687812172315383,0.822136144276097
"RPL14",0.687289261444389,0.327973984303357
"EIF5A",0.683811050218933,0.822136144276097
