"Database","ID","Description","direction","mRNA_NES","mRNA_padj","protein_NES","protein_padj"
"KEGG","hsa04145","Phagosome","UP",2.13907456729939,4.59832930973957e-05,1.97103308151918,4.83914831671621e-05
"GO","GO:0045765","regulation of angiogenesis","UP",1.77702508061175,0.0146428648431152,1.94470594989496,6.10204672399663e-05
"GO","GO:0002698","negative regulation of immune effector process","UP",1.76230338929214,0.0379054199016479,2.07799802422284,6.55719527413778e-05
"GO","GO:0019882","antigen processing and presentation","UP",2.1508845908454,0.000324374051387322,2.00229849246463,7.09438971409601e-05
"GO","GO:0071621","granulocyte chemotaxis","UP",1.91235628578201,0.0131778900249938,2.07508434968854,7.15889491903848e-05
"Reactome","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","UP",1.79955621355039,0.0372083888316813,2.05808918668028,7.70728917555202e-05
"GO","GO:0051093","negative regulation of developmental process","UP",1.57071650455501,0.0128093129950211,1.70331918489106,9.33810827287216e-05
"GO","GO:0050729","positive regulation of inflammatory response","UP",1.6945664117084,0.047837507824851,2.05665702778957,9.70185217247155e-05
"GO","GO:0071674","mononuclear cell migration","UP",1.79087928582219,0.0180065956712978,1.95211928559995,0.000106714733994097
"GO","GO:0030335","positive regulation of cell migration","UP",1.54746947381972,0.031325444710421,1.73344574879153,0.000126368176582916
"GO","GO:2000147","positive regulation of cell motility","UP",1.51139471730702,0.039531376558461,1.74089172261185,0.000172354743831389
"GO","GO:0040017","positive regulation of locomotion","UP",1.55464386667658,0.0254391862609587,1.71735821919399,0.000181362349260838
"GO","GO:0048002","antigen processing and presentation of peptide antigen","UP",2.0678154824861,0.00081838448406777,2.02615115504203,0.0001857475117694
"Reactome","R-HSA-3000170","Syndecan interactions","UP",2.01563521335539,0.00739999948561329,2.06984999453359,0.000209740889802134
"GO","GO:0071222","cellular response to lipopolysaccharide","UP",1.85695197880603,0.0123117167773042,1.94105388692923,0.000271791049229016
"GO","GO:0071219","cellular response to molecule of bacterial origin","UP",1.89319755592644,0.00390190708900373,1.9355248909846,0.000288143233346952
"KEGG","hsa05152","Tuberculosis","UP",1.78924672040783,0.0139271825595969,1.90863373999643,0.000304421687276853
"GO","GO:0032640","tumor necrosis factor production","UP",1.74090580402087,0.0354505154588272,1.96374929377692,0.000304821517453712
"GO","GO:0032680","regulation of tumor necrosis factor production","UP",1.74090580402087,0.0354505154588272,1.96374929377692,0.000304821517453712
"GO","GO:0071706","tumor necrosis factor superfamily cytokine production","UP",1.74090580402087,0.0354505154588272,1.96374929377692,0.000304821517453712
"GO","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","UP",1.74090580402087,0.0354505154588272,1.96374929377692,0.000304821517453712
"GO","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","UP",2.09712952702838,0.000409963356968105,1.8657124970243,0.0107089243177905
"GO","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","UP",2.09712952702838,0.000409963356968105,1.83872760798049,0.0188447581861632
"GO","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","UP",2.12859255628185,0.000430272092652406,1.89692156857175,0.0048789361772833
"GO","GO:0002694","regulation of leukocyte activation","UP",1.86542977902068,0.000430272092652406,1.72611594175783,0.000990429976814324
"GO","GO:0030593","neutrophil chemotaxis","UP",1.89229711895572,0.0150428237114029,1.9887419877381,0.000455116451072347
"KEGG","hsa04612","Antigen processing and presentation","UP",1.83696286961695,0.0257351919284313,1.98991717887681,0.000513625630476305
"GO","GO:0002366","leukocyte activation involved in immune response","UP",1.84536527054387,0.0103886856336628,1.86456586139543,0.000521569777303111
"GO","GO:1903037","regulation of leukocyte cell-cell adhesion","UP",1.70562299111645,0.0144289925885507,1.81433846524266,0.000535607280300094
"GO","GO:0002274","myeloid leukocyte activation","UP",1.99822878274398,0.00113294139608876,1.87346902343052,0.000656376882940693
"GO","GO:0002286","T cell activation involved in immune response","UP",2.03482685627553,0.0018136653596521,1.97244306903148,0.000683594415840285
"GO","GO:0050764","regulation of phagocytosis","UP",1.78060655252305,0.0339127726615784,1.95447692438736,0.000698418320341359
"GO","GO:0070661","leukocyte proliferation","UP",1.92348123470648,0.00081838448406777,1.7759900862421,0.000705494455330341
"GO","GO:0002285","lymphocyte activation involved in immune response","UP",1.84956984697623,0.0126404855637047,1.92885282249689,0.000743657059681918
"GO","GO:0002263","cell activation involved in immune response","UP",1.7803461095216,0.0150428237114029,1.85510136121691,0.000865343079714608
"GO","GO:0046649","lymphocyte activation","UP",1.64495612849836,0.00471624163234546,1.6362681938265,0.000921465865801154
"GO","GO:1903706","regulation of hemopoiesis","UP",1.58731198514892,0.0449050131566728,1.76346892903968,0.001040260805291
"GO","GO:0042110","T cell activation","UP",1.6842867025265,0.00606555574064587,1.70251218711504,0.0010896245138838
"GO","GO:0071216","cellular response to biotic stimulus","UP",1.88307756034808,0.00606555574064587,1.84996970688177,0.00116486028497156
"GO","GO:0030099","myeloid cell differentiation","UP",1.53897356646537,0.0436190103858924,1.70896980942587,0.00146952519258545
"GO","GO:2000116","regulation of cysteine-type endopeptidase activity","UP",1.84646351630537,0.0146428648431152,1.85953112369831,0.00168660234173927
"GO","GO:0070663","regulation of leukocyte proliferation","UP",1.88341008233221,0.00331781053836351,1.82960546329102,0.00171082416249912
"KEGG","hsa05140","Leishmaniasis","UP",1.76638883818999,0.0257351919284313,1.86692302545396,0.00175163512476182
"GO","GO:0042116","macrophage activation","UP",2.00814852414089,0.00196588103406613,1.83129561309995,0.00613713805044631
"GO","GO:0032612","interleukin-1 production","UP",1.71393583637485,0.0426251592417421,1.91061785062351,0.00203048461245277
"GO","GO:0032652","regulation of interleukin-1 production","UP",1.71393583637485,0.0426251592417421,1.91061785062351,0.00203048461245277
"GO","GO:1904018","positive regulation of vasculature development","UP",1.74369475763133,0.0354505154588272,1.8345152774192,0.00208056990158453
"GO","GO:0032943","mononuclear cell proliferation","UP",1.8846432635545,0.00223701555534446,1.75844473493579,0.00294630471926106
"GO","GO:0019884","antigen processing and presentation of exogenous antigen","UP",2.02931510236807,0.00223723240071968,1.8634480503363,0.00905109396119024
"KEGG","hsa04640","Hematopoietic cell lineage","UP",1.99319206648184,0.00234321425210498,1.79196925100649,0.0139882953698454
"GO","GO:0032944","regulation of mononuclear cell proliferation","UP",1.86967351650592,0.00370745812487841,1.83650300524145,0.00239635003058052
"GO","GO:0002478","antigen processing and presentation of exogenous peptide antigen","UP",2.0601138560157,0.00261803198623942,1.8211011906909,0.00981438339729707
"GO","GO:0002920","regulation of humoral immune response","UP",1.77902105661048,0.0362151501317982,1.96948485493862,0.00294630471926106
"Reactome","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","UP",1.92969680448218,0.0173540564656406,1.98226976192294,0.00316632647689438
"GO","GO:1903556","negative regulation of tumor necrosis factor superfamily cytokine production","UP",1.79451076316797,0.043325835349072,1.93761740933319,0.00374948079971129
"GO","GO:0046651","lymphocyte proliferation","UP",1.85886265602964,0.00419978055327382,1.60904343629587,0.0268260876789769
"GO","GO:0043903","regulation of biological process involved in symbiotic interaction","UP",1.79279673608809,0.039531376558461,1.89297433605574,0.00424819745778403
"GO","GO:1903039","positive regulation of leukocyte cell-cell adhesion","UP",1.67312759495039,0.0280201362132302,1.71662723170252,0.00432936691495215
"GO","GO:0050867","positive regulation of cell activation","UP",1.70500807802198,0.0152969087784924,1.68905137954199,0.00487809802521115
"GO","GO:0099024","plasma membrane invagination","UP",1.77777982712926,0.0362151501317982,1.87175299497949,0.00493754594784909
"Reactome","R-HSA-202733","Cell surface interactions at the vascular wall","UP",1.90735708226511,0.00954975737287041,1.79317504201275,0.00518826781059756
"GO","GO:0010324","membrane invagination","UP",1.77777982712926,0.0362151501317982,1.86904233958577,0.00551102564438898
"GO","GO:0032720","negative regulation of tumor necrosis factor production","UP",1.79451076316797,0.043325835349072,1.88633409753342,0.00571474015751383
"GO","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","UP",1.77426122448827,0.0462711920262386,1.81511395766189,0.00579306381917777
"GO","GO:0002685","regulation of leukocyte migration","UP",1.78698958767841,0.0183330613456405,1.76309967416496,0.00586260907981744
"GO","GO:0022603","regulation of anatomical structure morphogenesis","UP",1.63732004236902,0.00606555574064587,1.45183362093962,0.00635152333456131
"GO","GO:0051249","regulation of lymphocyte activation","UP",1.71551445802446,0.00782179817475827,1.63780713724703,0.00630302165221582
"KEGG","hsa05168","Herpes simplex virus 1 infection","UP",1.71598610468783,0.028782708346896,1.68973015189308,0.00809964966921819
"GO","GO:0071396","cellular response to lipid","UP",1.5349043041815,0.0300542924125864,1.54020965888584,0.00921117224606013
"GO","GO:0006911","phagocytosis, engulfment","UP",1.77672802796499,0.0449050131566728,1.86316014209663,0.00998485073070691
"KEGG","hsa04514","Cell adhesion molecule (CAM) interaction","UP",1.83500531670444,0.0164398183322212,1.68600464522847,0.0108433512128449
"GO","GO:0050670","regulation of lymphocyte proliferation","UP",1.84609301487664,0.011062278413747,1.71474222750454,0.0114346653405347
"GO","GO:0002696","positive regulation of leukocyte activation","UP",1.73906845300978,0.0111019305313025,1.62031492063269,0.0115557381139787
"GO","GO:0019221","cytokine-mediated signaling pathway","UP",1.6406735748508,0.0288235798540522,1.63172922721416,0.0112251825584805
"GO","GO:0007492","endoderm development","UP",1.79987953209652,0.043325835349072,1.82707337666482,0.0117145030418996
"KEGG","hsa04670","Leukocyte transendothelial migration","UP",1.72715198282774,0.0361788352884993,1.65944899072942,0.0158448168350079
"KEGG","hsa05323","Rheumatoid arthritis","UP",1.81872083800191,0.0257351919284313,1.63763327265907,0.0492333033474905
"KEGG","hsa04060","Cytokine-cytokine receptor interaction","UP",1.79346680741096,0.0257351919284313,1.67761549827127,0.030520926325248
"GO","GO:0052372","modulation by symbiont of entry into host","UP",1.79279673608809,0.039531376558461,1.75610510581119,0.0271972102797251
"GO","GO:0002687","positive regulation of leukocyte migration","UP",1.78201224224829,0.0300662928037431,1.61251200182163,0.0447096072920893
"GO","GO:2001056","positive regulation of cysteine-type endopeptidase activity","UP",1.81612657975835,0.0313736780029735,1.65371874942679,0.0372367527749648
"GO","GO:1902476","chloride transmembrane transport","DOWN",-1.88904003186551,0.0409376450516577,-1.65968380806507,0.0326148463318894
"GO","GO:0002269","leukocyte activation involved in inflammatory response","UP",1.78568594303454,0.0409376450516577,1.72103990622463,0.0363791554438079
"GO","GO:0002292","T cell differentiation involved in immune response","UP",1.76111524319309,0.0423312894115333,1.73439510850197,0.0367991863010829
