"Gene_Symbol","logFC","adjPval"
"THBS1",2.47649328010864,0.0538738655121007
"FBLN1",2.46881725462749,0.084563619639991
"F2",2.46314140023785,0.018634738802142
"RNASE3",2.4551039746812,0.026425922279937
"GC",2.43419266917421,0.010727473345292
"PMP2",2.40803828732813,0.0158912693960334
"PPBP",2.40683708828451,0.0161940405043605
"LBP",2.36937046667968,0.00202868715802928
"PRG4",2.35619211399847,0.0236654470522675
"C5",2.34951109916056,0.0101083015053869
"NQO1",2.3246679367763,0.254521572513194
"CD177",2.31290817396964,0.118245850653984
"SERPINC1",2.29860051676265,0.0463920283179635
"CDH1",2.27295737901461,0.0206138305913943
"CKM",2.2659301634653,0.147770742429843
"CA3",2.26354001476014,0.101486070133647
"KNG1",2.25115117264158,0.034904583492974
"APOA1",2.24980974775895,0.141081390692205
"COL1A1",2.23446243546211,0.323589948439066
"CFI",2.22293745129964,0.00404000823722038
"HLA-B",2.20361094050976,0.00606944029121767
"HLA-C",2.19717408125903,0.0542607679066734
"SPTA1",2.18893548733381,0.0663634744603362
"IGHG2",2.18137923914472,0.0312407385753946
"C1S",2.17436598096572,0.00311113514067827
"PRELP",2.16852366836416,0.325920926969044
"SLC4A1",2.15258559110962,0.0748641164467782
"F9",2.12850804219165,0.00271498875290352
"JCHAIN",2.1193708012361,0.0206138305913943
"PLG",2.10497246030824,0.034904583492974
"CA1",2.06706498006204,0.0764004515288016
"LTF",2.06472893426209,0.0925254442483296
"LPL",2.06108066594635,0.0866351618352599
"SERPING1",2.05277326944198,0.0300619215092451
"FGL2",2.04919469828435,0.147418153523587
"A1BG",2.03656221204476,0.0177825489051728
"EMILIN2",2.03109006454559,0.00755481266230676
"AHSG",2.00218762156051,0.0695594433725463
"TGFBI",1.98254861957174,0.154932253546904
"COL12A1",1.97811905757027,0.27523921283343
"APOB",1.9768668275939,0.038057206808706
"COL16A1",1.96684524674966,0.169033753200634
"IGHV3-7",1.96664775879928,0.0239826465038422
"IGKV1D-33",1.96581339716544,0.000715466545905082
"EPX",1.95284172252197,0.131331755310199
"SERPINF2",1.94702220875784,0.0046779387420658
"FCGBP",1.94376882321353,0.0316463950747703
