Gene_Symbol,logFC,adjPval,tissue,omic,direction
C5,2.34951109916056,0.0101083015053869,cortex,protein,UP
BLVRA,0.343987591973143,0.0101083015053869,cortex,protein,UP
MRPL23,-0.541290937621713,0.0102146955987488,cortex,protein,DOWN
TMEM63A,0.803790969480443,0.0104554836469725,cortex,protein,UP
MYORG,-0.847676476506781,0.0105367425376439,cortex,protein,DOWN
AHCY,0.407147625316146,0.0105422675057697,cortex,protein,UP
TMX2,-0.462895939674944,0.0106189633018731,cortex,protein,DOWN
GC,2.43419266917421,0.010727473345292,cortex,protein,UP
IGF1R,-0.6169486880604,0.0108332852220145,cortex,protein,DOWN
PRTN3,2.93088702771158,0.0110285908193328,cortex,protein,UP
ELANE,3.86917905429459,0.0110317475327086,cortex,protein,UP
NDRG2,-0.685360930510091,0.0110984955627586,cortex,protein,DOWN
PDCD5,0.598027860388678,0.0110984955627586,cortex,protein,UP
TMEM160,-0.727264539469848,0.0110984955627586,cortex,protein,DOWN
MRPL37,-0.548460610511809,0.0110984955627586,cortex,protein,DOWN
APRT,0.712110957925161,0.011380975401271,cortex,protein,UP
PCCA,-0.508400307451467,0.0118446647236853,cortex,protein,DOWN
GATD3B,-0.62674776990823,0.0118874438120487,cortex,protein,DOWN
NADK2,-0.577643723862543,0.0123657050807313,cortex,protein,DOWN
TARS2,-0.40080854892171,0.0125631783253941,cortex,protein,DOWN
NDUFAF7,-0.575941823938759,0.0129638017243348,cortex,protein,DOWN
MRPL21,-0.550819718353478,0.0130289922765213,cortex,protein,DOWN
GCLM,0.491466444943462,0.0130289922765213,cortex,protein,UP
CD2AP,0.47760943103534,0.0130289922765213,cortex,protein,UP
IGHA1,3.71000311671032,0.0132476031614901,cortex,protein,UP
EXOG,-0.736824085637053,0.0134580296422429,cortex,protein,DOWN
NDUFB6,-0.634805375220248,0.0134580296422429,cortex,protein,DOWN
RAB32,0.622451139466869,0.0134580296422429,cortex,protein,UP
THTPA,0.411823581659526,0.0135555757769711,cortex,protein,UP
MT-ND5,-0.644738288305416,0.0135667802721281,cortex,protein,DOWN
RTL8C,-0.525905032192145,0.014139203090888,cortex,protein,DOWN
MT-ND4,-0.603140808512496,0.0145327867677546,cortex,protein,DOWN
MECR,-0.575384944131729,0.0147443182774925,cortex,protein,DOWN
CCS,0.796923964737605,0.0148590938621671,cortex,protein,UP
UAP1L1,0.835576849043743,0.0150345069769298,cortex,protein,UP
EHD4,1.30355820917713,0.0151088278689231,cortex,protein,UP
BDH1,-0.873584392973781,0.0153840813425621,cortex,protein,DOWN
HMBS,1.25749744528637,0.0154716322098816,cortex,protein,UP
CYB5R2,1.60095662294235,0.0156501394597101,cortex,protein,UP
MRPL14,-0.427076632492359,0.015651678885748,cortex,protein,DOWN
PMP2,2.40803828732813,0.0158912693960334,cortex,protein,UP
